,Date,Weights,Profit,Base Profit,Volume,JKHY,EBIX,STRM,UIS,ATRI,CRY,TFX,MMM,CIGI,TRC,FRPH,CTO,cash
783,2017-02-14,"[0.24645539 0.         0.         0.         0.         0.17770371
 0.15943733 0.12992585 0.16554302 0.         0.         0.
 0.12093471]",1.4507869079309403,1.4544341615968777,0.014002974607064782,0.0,0.0,0.0,0.0,0.17770370841026306,0.15943732857704163,0.12992584705352783,0.16554301977157593,0.0,0.0,0.0,0.12093470990657806,0.2464553862810135
784,2017-02-15,"[0.24602719 0.         0.         0.         0.         0.17829648
 0.15912184 0.12985477 0.16583645 0.         0.         0.
 0.12086324]",1.4488682975775984,1.4507732219734049,0.006213566563795398,0.0,0.0,0.0,0.0,0.17829647660255432,0.15912184119224548,0.12985476851463318,0.16583645343780518,0.0,0.0,0.0,0.12086324393749237,0.24602718651294708
785,2017-02-16,"[0.24558204 0.         0.         0.         0.         0.17771779
 0.15922435 0.12977347 0.16624163 0.         0.         0.
 0.12146074]",1.4568213354206636,1.4621876416172213,0.008532635348285378,0.0,0.0,0.0,0.0,0.17771779000759125,0.15922434628009796,0.12977346777915955,0.1662416309118271,0.0,0.0,0.0,0.12146074324846268,0.24558204412460327
786,2017-02-17,"[0.24551368 0.         0.         0.         0.         0.17814748
 0.15897954 0.12967798 0.1664934  0.         0.         0.
 0.12118796]",1.4597202438581334,1.478039061557149,0.010519125812421632,0.0,0.0,0.0,0.0,0.17814747989177704,0.15897953510284424,0.12967798113822937,0.16649340093135834,0.0,0.0,0.0,0.1211879551410675,0.2455136775970459
787,2017-02-21,"[0.24269874 0.         0.         0.         0.         0.17850158
 0.1586459  0.13040677 0.16726741 0.         0.         0.
 0.12247965]",1.4339843751612438,1.4679189049135457,0.0041240583594027245,0.0,0.0,0.0,0.0,0.17850157618522644,0.158645898103714,0.13040676712989807,0.16726741194725037,0.0,0.0,0.0,0.12247965484857559,0.24269874393939972
788,2017-02-22,"[0.24361461 0.         0.         0.         0.         0.1788533
 0.1584228  0.12999314 0.16724999 0.         0.         0.
 0.12186616]",1.4490343295103127,1.4858899931030962,0.04688475071234359,0.0,0.0,0.0,0.0,0.17885330319404602,0.1584227979183197,0.12999314069747925,0.16724999248981476,0.0,0.0,0.0,0.12186615914106369,0.24361461400985718
789,2017-02-23,"[0.24274017 0.         0.         0.         0.         0.17845687
 0.15860327 0.13039447 0.16718802 0.         0.         0.
 0.12261718]",1.4454798748455646,1.4775859253132044,0.01608579869170911,0.0,0.0,0.0,0.0,0.1784568727016449,0.1586032658815384,0.13039447367191315,0.16718801856040955,0.0,0.0,0.0,0.12261717766523361,0.24274016916751862
790,2017-02-24,"[0.2429909  0.         0.         0.         0.         0.17870972
 0.15849946 0.13016488 0.16724071 0.         0.         0.
 0.12239427]",1.451034620008403,1.4880757481195663,0.024642839009276052,0.0,0.0,0.0,0.0,0.1787097156047821,0.15849946439266205,0.13016487658023834,0.167240709066391,0.0,0.0,0.0,0.12239427119493484,0.2429908961057663
791,2017-02-27,"[0.24293286 0.         0.         0.         0.         0.17790335
 0.1591371  0.12996724 0.1668338  0.         0.         0.
 0.12322561]",1.450379815210529,1.4888558488621004,0.013798643758062985,0.0,0.0,0.0,0.0,0.17790335416793823,0.15913709998130798,0.12996724247932434,0.1668338030576706,0.0,0.0,0.0,0.1232256069779396,0.24293285608291626
792,2017-02-28,"[0.24289972 0.         0.         0.         0.         0.17804281
 0.15907453 0.12995431 0.16686869 0.         0.         0.
 0.12315996]",1.4701832458101873,1.5121618567428736,0.009096867051174504,0.0,0.0,0.0,0.0,0.17804281413555145,0.15907453000545502,0.12995430827140808,0.1668686866760254,0.0,0.0,0.0,0.12315995991230011,0.24289971590042114
793,2017-03-01,"[0.24201344 0.         0.         0.         0.         0.17816922
 0.1590545  0.13016897 0.16692698 0.         0.         0.
 0.12366687]",1.465016659851604,1.5236698605240369,0.01980990895872215,0.0,0.0,0.0,0.0,0.17816922068595886,0.15905450284481049,0.13016897439956665,0.16692698001861572,0.0,0.0,0.0,0.12366686761379242,0.24201343953609467
794,2017-03-02,"[0.24125485 0.         0.         0.         0.         0.1779449
 0.159152   0.1303884  0.16699818 0.         0.         0.
 0.12426173]",1.4656121282001275,1.5318855264900302,0.011694688027946461,0.0,0.0,0.0,0.0,0.17794489860534668,0.15915200114250183,0.13038839399814606,0.16699817776679993,0.0,0.0,0.0,0.12426172941923141,0.24125485122203827
795,2017-03-03,"[0.24130322 0.         0.         0.         0.         0.17775512
 0.15924902 0.13047086 0.16702263 0.         0.         0.
 0.1241991 ]",1.469457105143027,1.5363434136341096,0.013593320797083882,0.0,0.0,0.0,0.0,0.17775511741638184,0.15924902260303497,0.1304708570241928,0.16702263057231903,0.0,0.0,0.0,0.12419909983873367,0.2413032203912735
796,2017-03-06,"[0.241263   0.         0.         0.         0.         0.17767636
 0.15929124 0.13045569 0.16698621 0.         0.         0.
 0.12432746]",1.4660487738041494,1.5338769843732503,0.009098454436450196,0.0,0.0,0.0,0.0,0.17767636477947235,0.15929123759269714,0.13045568764209747,0.16698621213436127,0.0,0.0,0.0,0.12432745844125748,0.2412630021572113
797,2017-03-07,"[0.24098973 0.         0.         0.         0.         0.17762922
 0.15936206 0.13052204 0.16699967 0.         0.         0.
 0.12449729]",1.459383849934736,1.5261342751351668,0.007349531924162296,0.0,0.0,0.0,0.0,0.17762921750545502,0.1593620628118515,0.13052204251289368,0.1669996678829193,0.0,0.0,0.0,0.12449729442596436,0.24098972976207733
798,2017-03-08,"[0.24052513 0.         0.         0.         0.         0.17774086
 0.15940069 0.13054496 0.16696258 0.         0.         0.
 0.1248258 ]",1.4495082816693527,1.5122474707663291,0.004207675908906774,0.0,0.0,0.0,0.0,0.17774085700511932,0.15940068662166595,0.13054496049880981,0.16696257889270782,0.0,0.0,0.0,0.12482579797506332,0.24052512645721436
799,2017-03-09,"[0.24077208 0.         0.         0.         0.         0.1772993
 0.15966266 0.13058329 0.16673657 0.         0.         0.
 0.12494611]",1.4424442815769414,1.5081743901163571,0.008010865764350669,0.0,0.0,0.0,0.0,0.17729930579662323,0.159662663936615,0.1305832862854004,0.16673657298088074,0.0,0.0,0.0,0.12494610995054245,0.24077208340168
800,2017-03-10,"[0.2407811  0.         0.         0.         0.         0.17695935
 0.1598999  0.1306502  0.16648568 0.         0.         0.
 0.12522373]",1.4323890010109255,1.5009164959027759,0.013934164452129338,0.0,0.0,0.0,0.0,0.1769593507051468,0.15989990532398224,0.13065020740032196,0.16648568212985992,0.0,0.0,0.0,0.12522372603416443,0.24078109860420227
801,2017-03-13,"[0.2409158  0.         0.         0.         0.         0.17704692
 0.15989926 0.13054425 0.16641536 0.         0.         0.
 0.12517835]",1.4455778916394348,1.5004209125033914,0.015011097515162752,0.0,0.0,0.0,0.0,0.17704692482948303,0.1598992645740509,0.1305442452430725,0.16641536355018616,0.0,0.0,0.0,0.12517835199832916,0.24091580510139465
802,2017-03-14,"[0.2410962  0.         0.         0.         0.         0.17700273
 0.1599017  0.13051386 0.1664855  0.         0.         0.
 0.12500003]",1.4409611271776452,1.501205317770775,0.009498108653358678,0.0,0.0,0.0,0.0,0.17700272798538208,0.1599016934633255,0.13051386177539825,0.1664855033159256,0.0,0.0,0.0,0.1250000298023224,0.24109619855880737
803,2017-03-15,"[0.24081112 0.         0.         0.         0.         0.17718218
 0.15981108 0.13062695 0.16659328 0.         0.         0.
 0.12497541]",1.4395573382959734,1.4979054009711505,0.011219710514952715,0.0,0.0,0.0,0.0,0.1771821826696396,0.1598110795021057,0.13062694668769836,0.1665932834148407,0.0,0.0,0.0,0.12497541308403015,0.24081112444400787
804,2017-03-16,"[0.240857   0.         0.         0.         0.         0.17720295
 0.15978995 0.1305959  0.16664892 0.         0.         0.
 0.12490525]",1.4427444857824785,1.5019781202866238,0.0053747546291657705,0.0,0.0,0.0,0.0,0.1772029548883438,0.15978994965553284,0.13059589266777039,0.16664892435073853,0.0,0.0,0.0,0.12490525096654892,0.24085700511932373
805,2017-03-17,"[0.24082164 0.         0.         0.         0.         0.17705373
 0.15982758 0.13073026 0.16672379 0.         0.         0.
 0.12484303]",1.4549240758523634,1.5194898067442704,0.0061802864597336905,0.0,0.0,0.0,0.0,0.17705373466014862,0.1598275750875473,0.1307302564382553,0.16672378778457642,0.0,0.0,0.0,0.12484303116798401,0.24082164466381073
