,Date,Weights,Profit,Base Profit,Volume,KAMN,LAWS,WLFC,HDSN,BCRX,TTNP,TECH,NBIX,SUP,STRT,DORM,MOD,cash
694,2016-10-06,"[0.         0.         0.38677852 0.17309382 0.14417441 0.
 0.         0.         0.14650549 0.         0.         0.
 0.14944776]",1.5728673554609574,1.4693207237940722,0.00873633876655597,0.0,0.3867785223055619,0.17309382181027014,0.14417440530797504,0.0,0.0,0.0,0.14650549368367208,0.0,0.0,0.0,0.1494477568925207,0.0
695,2016-10-07,"[0.         0.         0.38915184 0.17297647 0.14282918 0.
 0.         0.         0.14598601 0.         0.         0.
 0.14905651]",1.5588890821487513,1.471362805947615,0.021492917508081657,0.0,0.3891518366061913,0.1729764724571366,0.1428291757927898,0.0,0.0,0.0,0.145986008186001,0.0,0.0,0.0,0.1490565069578811,0.0
696,2016-10-10,"[0.         0.         0.38722012 0.17257016 0.14397813 0.
 0.         0.         0.14419682 0.         0.         0.
 0.15203477]",1.5579455643282027,1.4533653976242942,0.020996103435260205,0.0,0.38722012292942304,0.17257016005915543,0.14397812667172402,0.0,0.0,0.0,0.14419682441551449,0.0,0.0,0.0,0.15203476592418305,0.0
697,2016-10-11,"[0.         0.         0.38889369 0.1738727  0.1437135  0.
 0.         0.         0.14093271 0.         0.         0.
 0.1525874 ]",1.5476766890610874,1.4452824001618703,0.023347922410909973,0.0,0.3888936934490087,0.1738726969573684,0.14371349855044563,0.0,0.0,0.0,0.14093271456013726,0.0,0.0,0.0,0.15258739648303998,0.0
698,2016-10-12,"[0.         0.         0.38955293 0.17382151 0.14236555 0.
 0.         0.         0.14101086 0.         0.         0.
 0.15324914]",1.5799658942706047,1.4521147479346694,0.014566011789895758,0.0,0.3895529331775437,0.17382151252102068,0.14236555366072776,0.0,0.0,0.0,0.1410108563179156,0.0,0.0,0.0,0.15324914432279238,0.0
699,2016-10-13,"[0.         0.         0.39307955 0.17196731 0.14180861 0.
 0.         0.         0.13912513 0.         0.         0.
 0.1540194 ]",1.516303118590766,1.4130755766019467,0.022515133745326623,0.0,0.39307955395809496,0.1719673075212835,0.14180861136638,0.0,0.0,0.0,0.1391251251187322,0.0,0.0,0.0,0.1540194020355094,0.0
700,2016-10-14,"[0.         0.09682888 0.35023186 0.15764585 0.12813859 0.
 0.         0.         0.12431946 0.         0.         0.
 0.14283535]",1.5073991405127245,1.386185803953285,0.2936438780031087,0.09682888414686437,0.3502318649659736,0.15764585121967248,0.12813859390960933,0.0,0.0,0.0,0.12431946025426922,0.0,0.0,0.0,0.14283534550361104,0.0
701,2016-10-17,"[0.         0.10743232 0.34628731 0.15525788 0.1269698  0.
 0.         0.         0.12319408 0.         0.         0.
 0.14085861]",1.5174450328252014,1.4034239948923146,0.05477198190437236,0.10743232171542631,0.34628730689605414,0.15525788247666927,0.12696979722987733,0.0,0.0,0.0,0.12319407778009712,0.0,0.0,0.0,0.14085861390187596,0.0
702,2016-10-18,"[0.         0.11052864 0.34294769 0.15560222 0.1256576  0.
 0.         0.         0.12228574 0.         0.         0.
 0.14297811]",1.5056724269781228,1.3733403763905836,0.03659498338613398,0.11052863785409098,0.3429476916687388,0.155602222573685,0.12565759755963396,0.0,0.0,0.0,0.1222857379511897,0.0,0.0,0.0,0.1429781123926617,0.0
703,2016-10-19,"[0.         0.11159941 0.34177918 0.15568101 0.12610975 0.
 0.         0.         0.12054313 0.         0.         0.
 0.14428752]",1.5229533573780987,1.3866224248553052,0.015376543799013787,0.1115994133220944,0.34177917550373194,0.15568100541567434,0.12610975022377313,0.0,0.0,0.0,0.12054313132494922,0.0,0.0,0.0,0.14428752420977697,0.0
