,Date,Weights,Profit,Base Profit,Volume,RES,ENSV,HLX,CLB,AAME,GL,CIA,FFG,ATRI,TFX,MMM,CRY,cash
195,2014-10-14,"[0.08105648 0.         0.13931759 0.         0.         0.12048911
 0.09623027 0.10762613 0.13550818 0.09524078 0.         0.11119489
 0.11333658]",1.0634875584974404,0.9947312413300142,0.039350390958518146,0.0,0.139317587018013,0.0,0.0,0.12048910558223724,0.09623026847839355,0.10762613266706467,0.13550817966461182,0.09524077922105789,0.0,0.11119488626718521,0.11333657801151276,0.08105648308992386
196,2014-10-15,"[0.08116374 0.         0.13924365 0.         0.         0.1194185
 0.09606196 0.10952929 0.13694356 0.09404518 0.         0.11140874
 0.11218536]",1.0632172790273546,0.990907138715507,0.02845098434940088,0.0,0.13924364745616913,0.0,0.0,0.11941850185394287,0.09606195986270905,0.1095292866230011,0.13694356381893158,0.09404518455266953,0.0,0.11140874028205872,0.11218535900115967,0.08116374164819717
197,2014-10-16,"[0.08137474 0.         0.13941137 0.         0.         0.11839614
 0.09599122 0.11070249 0.13851064 0.09321984 0.         0.11145173
 0.11094178]",1.048798450193524,0.9734152705683174,0.017292323309001177,0.0,0.13941137492656708,0.0,0.0,0.11839614063501358,0.09599121659994125,0.11070249229669571,0.13851064443588257,0.09321983903646469,0.0,0.11145173013210297,0.11094178259372711,0.08137474209070206
198,2014-10-17,"[0.08200559 0.         0.1389149  0.         0.         0.11766058
 0.09626317 0.11161196 0.13951966 0.09272776 0.         0.11172413
 0.1095722 ]",1.048555850411694,0.9692374358652515,0.013584644541020343,0.0,0.13891489803791046,0.0,0.0,0.11766058206558228,0.09626317024230957,0.11161196231842041,0.13951966166496277,0.09272775799036026,0.0,0.1117241308093071,0.10957220196723938,0.0820055902004242
199,2014-10-20,"[0.0823039  0.         0.13841908 0.         0.         0.11754972
 0.09645617 0.11206206 0.13946302 0.09260761 0.         0.11195052
 0.10918796]",1.0906141436669359,1.0185494055110407,0.024870718104239797,0.0,0.13841907680034637,0.0,0.0,0.11754972487688065,0.09645617008209229,0.11206205934286118,0.13946302235126495,0.09260760992765427,0.0,0.11195051670074463,0.10918796062469482,0.08230390399694443
200,2014-10-21,"[0.08141437 0.         0.13887458 0.         0.         0.11933678
 0.09630813 0.10929053 0.1383377  0.09379201 0.         0.1115673
 0.11107857]",1.0941223627061425,1.0183268280408795,0.03665525480957212,0.0,0.1388745754957199,0.0,0.0,0.11933678388595581,0.096308134496212,0.10929052531719208,0.13833770155906677,0.09379200637340546,0.0,0.11156730353832245,0.11107856780290604,0.0814143717288971
201,2014-10-22,"[0.08169121 0.         0.13845544 0.         0.         0.11887563
 0.09640032 0.11054992 0.13857621 0.09323218 0.         0.11179774
 0.11042131]",1.0989100950047566,1.027975335997706,0.03429576159126005,0.0,0.13845543563365936,0.0,0.0,0.11887563019990921,0.09640032052993774,0.1105499193072319,0.1385762095451355,0.0932321846485138,0.0,0.1117977425456047,0.1104213073849678,0.081691212952137
202,2014-10-23,"[0.08105873 0.         0.13886832 0.         0.         0.12048777
 0.09633142 0.10739823 0.13770187 0.09463832 0.         0.11143436
 0.11208098]",1.118592431788289,1.0549015559619297,0.02326147365705967,0.0,0.1388683170080185,0.0,0.0,0.1204877719283104,0.09633141756057739,0.10739823430776596,0.1377018690109253,0.09463831782341003,0.0,0.11143436282873154,0.11208097636699677,0.08105873316526413
203,2014-10-24,"[0.         0.         0.1518011  0.         0.         0.1308454
 0.10454994 0.11674329 0.14983547 0.10298478 0.         0.12094719
 0.12229284]",1.0974575511463305,1.0327878016922483,0.08906683243567479,0.0,0.15180109441280365,0.0,0.0,0.13084539771080017,0.10454994440078735,0.1167432889342308,0.149835467338562,0.10298477858304977,0.0,0.12094718962907791,0.12229283899068832,0.0
204,2014-10-27,"[0.         0.         0.15174626 0.         0.         0.13203758
 0.10447818 0.1139529  0.15098882 0.1035823  0.         0.12075084
 0.12246315]",1.0919044448198956,1.0290494337030622,0.017203187788493952,0.0,0.1517462581396103,0.0,0.0,0.13203758001327515,0.10447818040847778,0.11395290493965149,0.15098881721496582,0.10358230024576187,0.0,0.12075084447860718,0.1224631518125534,0.0
