,Date,Weights,Profit,Base Profit,Volume,JNJ,PFE,ABT,BMY,F,OSK,SPAR,PCAR,LAWS,KAMN,WLFC,HDSN,cash
311,2015-04-01,"[0.09751619 0.         0.         0.0813481  0.11548558 0.10187965
 0.10694973 0.12096282 0.09172237 0.08645065 0.         0.09362572
 0.10405923]",1.0911882929057082,1.1468242773904305,0.004769933223225036,0.0,0.0,0.08134809881448746,0.11548557877540588,0.10187964886426926,0.10694973170757294,0.12096282094717026,0.09172236919403076,0.08645065128803253,0.0,0.09362571686506271,0.10405922681093216,0.09751618653535843
312,2015-04-02,"[0.10276671 0.         0.08859173 0.08362696 0.0856574  0.08566833
 0.09341836 0.09810516 0.10435002 0.         0.08558729 0.09611308
 0.07611498]",1.0893020576404078,1.1421809908836924,0.42237793847352334,0.0,0.08859173208475113,0.08362696319818497,0.08565739542245865,0.08566833287477493,0.09341835975646973,0.09810516238212585,0.1043500155210495,0.0,0.0855872854590416,0.09611307829618454,0.07611498236656189,0.10276671499013901
313,2015-04-06,"[0.10333135 0.         0.08831907 0.08394488 0.08524754 0.08539676
 0.09359757 0.09836581 0.10360722 0.         0.08619858 0.09596529
 0.07602589]",1.0829316146248933,1.1299812014510775,0.006722200088046085,0.0,0.0883190706372261,0.0839448794722557,0.08524753898382187,0.08539675921201706,0.09359756857156754,0.09836581349372864,0.10360722243785858,0.0,0.0861985832452774,0.09596528857946396,0.07602588832378387,0.10333134979009628
314,2015-04-07,"[0.10356389 0.         0.08695842 0.0857662  0.08361772 0.08566414
 0.0950181  0.09705646 0.10261027 0.         0.08595072 0.09655873
 0.07723536]",1.075241071919359,1.126159396736681,0.018176872425144402,0.0,0.08695841580629349,0.08576620370149612,0.08361772447824478,0.08566413819789886,0.09501809626817703,0.09705645591020584,0.1026102676987648,0.0,0.08595071732997894,0.09655872732400894,0.07723536342382431,0.10356388986110687
315,2015-04-08,"[0.         0.         0.12281257 0.11645862 0.         0.09910133
 0.09498932 0.08145101 0.08830496 0.09587549 0.08825813 0.13267785
 0.08007075]",1.0921573965072264,1.1461746829900739,0.349230015679293,0.0,0.12281256914138794,0.11645861715078354,0.0,0.09910132735967636,0.09498932212591171,0.08145101368427277,0.08830495923757553,0.09587548673152924,0.08825813233852386,0.1326778531074524,0.08007074892520905,0.0
316,2015-04-09,"[0.09520673 0.         0.08847553 0.09542321 0.         0.09174365
 0.0936297  0.0886334  0.10125392 0.07812997 0.08591352 0.10233153
 0.07925887]",1.0864425330744103,1.1405686915213133,0.1471146412250734,0.0,0.08847552537918091,0.09542320668697357,0.0,0.09174364805221558,0.09362970292568207,0.08863339573144913,0.1012539193034172,0.07812996953725815,0.0859135240316391,0.10233152657747269,0.07925886660814285,0.09520673006772995
317,2015-04-10,"[0.09733872 0.         0.08806896 0.09416921 0.07699705 0.09014501
 0.09456909 0.08979557 0.10266102 0.         0.08552267 0.10066351
 0.08006919]",1.0893254673768595,1.1461208040051705,0.17963556995285607,0.0,0.08806896209716797,0.09416920691728592,0.0769970491528511,0.09014500677585602,0.09456908702850342,0.08979557454586029,0.10266102105379105,0.0,0.08552266657352448,0.10066351294517517,0.08006919175386429,0.0973387211561203
318,2015-04-13,"[0.09802511 0.         0.08780355 0.09346229 0.07811329 0.08940309
 0.0949103  0.09020407 0.10280742 0.         0.08523554 0.09989929
 0.08013602]",1.0918650221680024,1.1395573343793073,0.00674629994275582,0.0,0.08780355006456375,0.09346228837966919,0.07811328768730164,0.08940309286117554,0.09491030126810074,0.09020406752824783,0.1028074249625206,0.0,0.08523554354906082,0.0998992919921875,0.0801360160112381,0.0980251133441925
319,2015-04-14,"[0.09844798 0.         0.08764672 0.0930051  0.07876058 0.08899675
 0.09509827 0.09050003 0.10283662 0.         0.08506873 0.09950287
 0.08013638]",1.090534583352703,1.1382559736439837,0.007618574629592632,0.0,0.0876467227935791,0.09300509840250015,0.07876057922840118,0.0889967530965805,0.09509827196598053,0.09050002694129944,0.10283662378787994,0.0,0.0850687250494957,0.09950286895036697,0.08013638108968735,0.09844797849655151
320,2015-04-15,"[0.09873632 0.         0.08756894 0.0926172  0.07917099 0.08874631
 0.09519242 0.09076492 0.10288171 0.         0.08498769 0.0992675
 0.08006602]",1.0845740610375016,1.136866516044375,0.009603731302070652,0.0,0.08756893873214722,0.09261719882488251,0.07917099446058273,0.08874630928039551,0.09519242495298386,0.09076491743326187,0.10288170725107193,0.0,0.08498768508434296,0.09926749765872955,0.08006601780653,0.09873632341623306
