,Date,Weights,Profit,Base Profit,DORM,STRT,SUP,MOD,MCD,JACK,PZZA,EAT,MXIM,INTC,KOPN,XLNX,cash
1256,2019-01-02,"[0.         0.09965437 0.08207823 0.         0.10563163 0.07820045
 0.10531156 0.06875388 0.13761725 0.08523433 0.         0.08909277
 0.14842553]",1.3245922219977981,1.1570905472249344,0.09965437262470765,0.0820782313571677,0.0,0.10563163022716235,0.07820044989434594,0.105311561751485,0.06875387764940301,0.13761725341542635,0.08523432804736583,0.0,0.08909276946858867,0.14842552556434752,0.0
1257,2019-01-03,"[0.         0.10008804 0.08186046 0.         0.10522225 0.07791641
 0.10540698 0.06913463 0.13736579 0.08550003 0.         0.08910773
 0.14839767]",1.3001579807014119,1.1434478185328127,0.10008803724496115,0.08186045623038259,0.0,0.10522225361464004,0.07791641277224141,0.1054069810881741,0.069134634754882,0.13736579326775686,0.08550003086600771,0.0,0.08910772718181748,0.14839767297913664,0.0
1258,2019-01-04,"[0.         0.10038746 0.08169702 0.         0.10504813 0.07771198
 0.10545415 0.06935195 0.13726426 0.08551183 0.         0.08911032
 0.14846289]",1.32628960004753,1.1539729553172513,0.1003874648658075,0.08169702110695436,0.0,0.10504812902525454,0.07771197859206411,0.10545415426090522,0.06935194842417171,0.13726425919320648,0.08551183102245666,0.0,0.08911031919397164,0.14846289431520773,0.0
1259,2019-01-07,"[0.         0.1002357  0.08179515 0.         0.10511228 0.07784244
 0.10543968 0.06922167 0.13729887 0.08551973 0.         0.08911358
 0.14842089]",1.33229439250024,1.1556025752091708,0.1002357017736386,0.08179514930436214,0.0,0.10511228414107193,0.07784244071192735,0.1054396754285495,0.06922167099597111,0.13729887118133735,0.08551973221307668,0.0,0.08911358382458945,0.14842089042547585,0.0
1260,2019-01-08,"[0.         0.10054894 0.08159776 0.         0.1049599  0.077649
 0.10545981 0.06941756 0.13722647 0.08552739 0.         0.08910702
 0.14850615]",1.3648957727643325,1.1760554726792474,0.10054893966682579,0.08159775862006476,0.0,0.10495989882527555,0.07764899759074388,0.1054598104891014,0.06941756235849722,0.13722647009692815,0.08552739132640387,0.0,0.08910701738222297,0.14850615364393646,0.0
1261,2019-01-09,"[0.         0.10084698 0.08141405 0.         0.1048331  0.0774115
 0.10548863 0.06964766 0.13715246 0.08550238 0.         0.08909675
 0.1486065 ]",1.4328711853320422,1.2139750651784766,0.10084697762820033,0.08141405337375159,0.0,0.10483309913198896,0.07741150054348818,0.1054886319949007,0.06964765954715323,0.13715245876044763,0.0855023757034772,0.0,0.08909674748162591,0.1486064958349663,0.0
1262,2019-01-10,"[0.         0.1010884  0.08127365 0.         0.10469937 0.07725735
 0.10551453 0.0698064  0.13707682 0.0855123  0.         0.08909798
 0.1486732 ]",1.4281239115867195,1.2067654778762182,0.10108840033334923,0.08127364905595551,0.0,0.10469936726815639,0.07725734732751076,0.10551452522698326,0.06980640287775235,0.13707682381268857,0.08551229957335447,0.0,0.08909797972493184,0.1486732047993176,0.0
1263,2019-01-11,"[0.         0.10105036 0.0813094  0.         0.10471864 0.07722579
 0.10552657 0.06983729 0.13707296 0.08549591 0.         0.08909712
 0.14866598]",1.431718357897653,1.2100304758362703,0.10105035760118869,0.08130939697585432,0.0,0.10471863661203755,0.07722578885151093,0.10552657301358113,0.0698372851403935,0.1370729606898321,0.0854959061740307,0.0,0.08909711830069514,0.148665976640876,0.0
1264,2019-01-14,"[0.         0.10114784 0.08124923 0.         0.10467033 0.0771812
 0.10552544 0.06988053 0.13705244 0.08550741 0.         0.08909501
 0.14869056]",1.4442288810406114,1.219049680929287,0.10114783710337277,0.08124923063367934,0.0,0.10467033429896086,0.07718119604454962,0.10552544041026729,0.06988053162753638,0.13705243864388322,0.08550741369913115,0.0,0.08909501320653608,0.1486905643320833,0.0
1265,2019-01-15,"[0.         0.10144415 0.08108212 0.         0.10452045 0.07698293
 0.10555519 0.07007749 0.13697368 0.08549163 0.         0.08910145
 0.14877092]",1.4544708203199834,1.2227476002833637,0.10144414848144444,0.08108211532719903,0.0,0.10452044751516348,0.07698293235655301,0.10555518826002934,0.07007748864723831,0.13697368035315816,0.085491634345798,0.0,0.08910144868120129,0.14877091603221504,0.0
1266,2019-01-16,"[0.         0.10119283 0.08121527 0.         0.10460362 0.0772263
 0.10551923 0.06985437 0.13701417 0.08560618 0.         0.08909504
 0.148673  ]",1.44950703197477,1.2214738865577401,0.10119282861462116,0.08121526956371636,0.0,0.10460361702670784,0.07722630058725367,0.10551923490667918,0.06985436518946767,0.1370141694787868,0.0856061766398966,0.0,0.08909503944896356,0.1486729985439071,0.0
