,Date,Weights,Profit,Base Profit,JACK,EAT,MCD,PZZA,HUBB,MRCY,IIN,AVX,PMD,AMS,LH,DGX,cash
33,2014-02-24,"[0.         0.255108   0.         0.32349953 0.         0.
 0.15083506 0.         0.         0.         0.         0.27055741
 0.        ]",1.0571010439001043,1.0721257536753728,0.2551079959855513,0.0,0.32349953258072794,0.0,0.0,0.1508350589678108,0.0,0.0,0.0,0.0,0.27055741246591003,0.0,0.0
34,2014-02-25,"[0.         0.25476054 0.         0.32362247 0.         0.
 0.1509295  0.         0.         0.         0.         0.27068749
 0.        ]",1.0568539831094375,1.0650902748416704,0.25476053808511656,0.0,0.3236224708851576,0.0,0.0,0.15092950143901168,0.0,0.0,0.0,0.0,0.27068748959071415,0.0,0.0
35,2014-02-26,"[0.         0.2541608  0.         0.32377092 0.         0.
 0.15075009 0.         0.         0.         0.         0.27131819
 0.        ]",1.0605764806623998,1.0777069941055653,0.25416080451181305,0.0,0.32377091788039397,0.0,0.0,0.15075008872252413,0.0,0.0,0.0,0.0,0.2713181888852688,0.0,0.0
36,2014-02-27,"[0.         0.25335801 0.         0.32405554 0.         0.
 0.15061325 0.         0.         0.         0.         0.2719732
 0.        ]",1.0474879676727955,1.073443644362765,0.25335801194377927,0.0,0.3240555374903989,0.0,0.0,0.15061325183181112,0.0,0.0,0.0,0.0,0.27197319873401066,0.0,0.0
37,2014-02-28,"[0.         0.25339996 0.         0.32405124 0.         0.
 0.15037719 0.         0.         0.         0.         0.27217161
 0.        ]",1.0496318506014062,1.073974781271493,0.2533999647725405,0.0,0.32405124201269836,0.0,0.0,0.15037718662225968,0.0,0.0,0.0,0.0,0.27217160659250145,0.0,0.0
38,2014-03-03,"[0.         0.25323454 0.         0.32409687 0.         0.
 0.15040788 0.         0.         0.         0.         0.27226071
 0.        ]",1.0543383958016865,1.0821424044562025,0.25323454134388357,0.0,0.32409686867905946,0.0,0.0,0.15040787578208678,0.0,0.0,0.0,0.0,0.27226071419497017,0.0,0.0
39,2014-03-04,"[0.         0.25199215 0.         0.3245894  0.         0.
 0.15032044 0.         0.         0.         0.         0.27309801
 0.        ]",1.0438054417321068,1.074961983833545,0.2519921542740404,0.0,0.32458939941448334,0.0,0.0,0.1503204372138019,0.0,0.0,0.0,0.0,0.2730980090976743,0.0,0.0
40,2014-03-05,"[0.         0.25209005 0.         0.32453638 0.         0.
 0.1502099  0.         0.         0.         0.         0.27316368
 0.        ]",1.0553419924912597,1.084040414311578,0.25209004506979027,0.0,0.3245363779812206,0.0,0.0,0.15020989627669665,0.0,0.0,0.0,0.0,0.2731636806722926,0.0,0.0
41,2014-03-06,"[0.         0.25159744 0.         0.32470229 0.         0.
 0.15005714 0.         0.         0.         0.         0.27364313
 0.        ]",1.0571255158225805,1.0916169781543517,0.25159744287224417,0.0,0.3247022872497198,0.0,0.0,0.15005714165922704,0.0,0.0,0.0,0.0,0.27364312821880904,0.0,0.0
42,2014-03-07,"[0.         0.24741104 0.         0.32624901 0.         0.
 0.14850334 0.         0.         0.         0.         0.27783661
 0.        ]",1.0603340050930932,1.0888120379281438,0.24741104496461472,0.0,0.3262490109650263,0.0,0.0,0.1485033354878258,0.0,0.0,0.0,0.0,0.277836608582533,0.0,0.0
43,2014-03-10,"[0.         0.24593124 0.         0.32676416 0.         0.
 0.14815668 0.         0.         0.         0.         0.27914792
 0.        ]",1.066117983712919,1.0928646358576048,0.2459312355404325,0.0,0.32676416162532057,0.0,0.0,0.14815667938843952,0.0,0.0,0.0,0.0,0.2791479234458075,0.0,0.0
44,2014-03-11,"[0.         0.24511761 0.         0.32703437 0.         0.
 0.14797196 0.         0.         0.         0.         0.27987606
 0.        ]",1.067603635277802,1.1040670399615895,0.2451176060383848,0.0,0.32703437090649573,0.0,0.0,0.14797196247580202,0.0,0.0,0.0,0.0,0.2798760605793174,0.0,0.0
45,2014-03-12,"[0.         0.24549665 0.         0.32686245 0.         0.
 0.14800207 0.         0.         0.         0.         0.27963883
 0.        ]",1.065465753540187,1.0996760090907391,0.24549665392342762,0.0,0.32686244915004553,0.0,0.0,0.1480020665945201,0.0,0.0,0.0,0.0,0.2796388303320066,0.0,0.0
46,2014-03-13,"[0.         0.24672116 0.         0.32642808 0.         0.
 0.14833128 0.         0.         0.         0.         0.27851948
 0.        ]",1.0753054363503687,1.0907516222121356,0.24672115893507598,0.0,0.32642807914411115,0.0,0.0,0.14833128296242357,0.0,0.0,0.0,0.0,0.27851947895838935,0.0,0.0
47,2014-03-14,"[0.         0.2471583  0.         0.32630772 0.         0.
 0.14845125 0.         0.         0.         0.         0.27808273
 0.        ]",1.0894219851903033,1.1006446824277087,0.24715830480301312,0.0,0.3263077158713996,0.0,0.0,0.14845124600861442,0.0,0.0,0.0,0.0,0.278082733316973,0.0,0.0
48,2014-03-17,"[0.         0.24704899 0.         0.32635092 0.         0.
 0.14838682 0.         0.         0.         0.         0.27821326
 0.        ]",1.0720542145387493,1.081374663842276,0.2470489942000946,0.0,0.3263509228752468,0.0,0.0,0.14838681820077593,0.0,0.0,0.0,0.0,0.27821326472388264,0.0,0.0
49,2014-03-18,"[0.         0.24705471 0.         0.32639296 0.         0.
 0.14841444 0.         0.         0.         0.         0.27813789
 0.        ]",1.0902398364721932,1.0901117536336702,0.2470547145971989,0.0,0.32639295736014273,0.0,0.0,0.14841444098777704,0.0,0.0,0.0,0.0,0.2781378870548814,0.0,0.0
50,2014-03-19,"[0.         0.24674515 0.         0.32651652 0.         0.
 0.14828002 0.         0.         0.         0.         0.27845831
 0.        ]",1.085078202554534,1.0946820862718147,0.2467451484666732,0.0,0.3265165222922553,0.0,0.0,0.14828002415983765,0.0,0.0,0.0,0.0,0.2784583050812338,0.0,0.0
