,Date,Weights,Profit,Base Profit,CTO,TRC,FRPH,CIGI,FLEX,CTS,SANM,IEC,CLB,ENSV,RES,HLX,cash
748,2016-12-22,"[0.         0.         0.10564175 0.07793841 0.08185702 0.08703744
 0.12683998 0.14597024 0.         0.11424092 0.179931   0.08054324
 0.        ]",1.4636538025999217,1.0953203607951019,0.0,0.10564174582286116,0.07793840644570803,0.08185701665221559,0.08703744433188872,0.12683997846860726,0.1459702410165606,0.0,0.11424092463164946,0.17993099862554207,0.08054324400496715,0.0,0.0
749,2016-12-23,"[0.         0.         0.10527098 0.0778257  0.08224396 0.08706167
 0.12717876 0.14574483 0.         0.11386978 0.18007443 0.0807299
 0.        ]",1.4552158635723398,1.096015784092,0.0,0.10527097866336423,0.07782569713500177,0.082243955773946,0.08706166913500368,0.12717875604120651,0.14574483039895725,0.0,0.11386978474137695,0.1800744320578868,0.08072989605325671,0.0,0.0
750,2016-12-27,"[0.         0.         0.10476486 0.07763563 0.08250361 0.08710252
 0.12766407 0.14551421 0.         0.11368272 0.18026404 0.08086834
 0.        ]",1.4514866266520945,1.0869236502304946,0.0,0.10476485885805752,0.07763562905197095,0.08250360543721832,0.08710252178306503,0.12766407184092476,0.14551421260960024,0.0,0.11368271991444927,0.1802640374017911,0.08086834310292293,0.0,0.0
751,2016-12-28,"[0.         0.         0.10413688 0.07745653 0.08315717 0.0871454
 0.12827173 0.14511703 0.         0.11298039 0.18055364 0.08118124
 0.        ]",1.458770525781644,1.0922344736616107,0.0,0.10413687692224709,0.07745653282474102,0.08315717065995186,0.08714539709326043,0.1282717300697106,0.14511702513584085,0.0,0.11298039191908545,0.18055363629442542,0.08118123908073721,0.0,0.0
752,2016-12-29,"[0.         0.         0.10441216 0.07758022 0.0830743  0.08713581
 0.12801659 0.1452107  0.         0.11294704 0.18049832 0.08112486
 0.        ]",1.4498169713817088,1.0924243811716357,0.0,0.10441215907448802,0.07758022129770979,0.08307430032497916,0.08713581200228135,0.12801659322333084,0.14521070337744196,0.0,0.11294703510560551,0.18049831993244483,0.0811248556617186,0.0,0.0
753,2016-12-30,"[0.         0.         0.10442842 0.07759329 0.08328432 0.08713324
 0.12803186 0.14513119 0.         0.11266001 0.18052497 0.08121268
 0.        ]",1.4288653715822948,1.0784348105157333,0.0,0.10442842348165983,0.07759329459805718,0.0832843228324904,0.08713324011653607,0.12803186061907748,0.1451311913192833,0.0,0.11266001494116767,0.18052497274484028,0.08121267934688776,0.0,0.0
754,2017-01-03,"[0.         0.         0.10468946 0.07791775 0.08313986 0.0876458
 0.12731198 0.14567139 0.         0.11177621 0.18086481 0.08098274
 0.        ]",1.4270602010647417,1.0769090938925456,0.0,0.10468945619479425,0.0779177470856727,0.08313986321828482,0.08764580377321461,0.12731198180069356,0.14567138971459812,0.0,0.11177620729607175,0.1808648101761373,0.08098274074053309,0.0,0.0
755,2017-01-04,"[0.         0.         0.10304893 0.07716042 0.08179175 0.08744222
 0.12868843 0.14533503 0.         0.11447805 0.18110687 0.0809483
 0.        ]",1.4636226413034432,1.0866787540459144,0.0,0.10304893141566776,0.07716041544227276,0.08179175190136857,0.08744222113580112,0.12868843407232305,0.145335028149061,0.0,0.11447804763481746,0.1811068663973996,0.0809483038512886,0.0,0.0
756,2017-01-05,"[0.         0.         0.10328405 0.07718178 0.08144774 0.08736826
 0.12853985 0.1454252  0.         0.11502579 0.18093238 0.08079495
 0.        ]",1.4407377338343135,1.0818074118889938,0.0,0.10328405304875952,0.07718178088977448,0.0814477392169674,0.08736826028885357,0.1285398544495986,0.1454252005669617,0.0,0.11502578507342545,0.18093238066351983,0.08079494580213939,0.0,0.0
757,2017-01-06,"[0.         0.         0.10314865 0.07720096 0.08165947 0.08735801
 0.12860144 0.14530435 0.         0.11476701 0.18102878 0.08093132
 0.        ]",1.445034949515134,1.0923572873807437,0.0,0.10314865166080708,0.07720096286127048,0.0816594700752329,0.0873580124104811,0.12860144412488655,0.1453043488415768,0.0,0.11476701044673657,0.1810287835893196,0.0809313159896888,0.0,0.0
758,2017-01-09,"[0.         0.         0.10314894 0.07713109 0.0816023  0.08736978
 0.12869843 0.14532873 0.         0.11489513 0.18096488 0.08086072
 0.        ]",1.4361877800369691,1.0883382246838225,0.0,0.1031489388436176,0.07713109429567021,0.08160229832682996,0.08736978057170813,0.1286984319968802,0.14532872946142794,0.0,0.11489512753307501,0.18096488198513117,0.08086071698565973,0.0,0.0
759,2017-01-10,"[0.         0.         0.10326968 0.07716552 0.08163134 0.08732502
 0.12862219 0.14531156 0.         0.1148852  0.18091337 0.08087612
 0.        ]",1.4189476165803288,1.0807920102169428,0.0,0.10326967975055652,0.07716551958122067,0.08163133718635084,0.0873250170544261,0.12862218880549517,0.14531156006391824,0.0,0.11488520275534167,0.18091337008178138,0.0808761247209094,0.0,0.0
760,2017-01-11,"[0.         0.         0.10314612 0.07708974 0.08179616 0.08732677
 0.12880427 0.14523275 0.         0.11475823 0.1809185  0.08092745
 0.        ]",1.4237247164492721,1.0804689982458464,0.0,0.10314612140836159,0.0770897412033275,0.0817961552776231,0.0873267748534505,0.12880427242329345,0.14523275471623923,0.0,0.11475822746918254,0.1809185002181452,0.08092745243037691,0.0,0.0
761,2017-01-12,"[0.         0.         0.1036226  0.07722376 0.0813754  0.08728984
 0.12837295 0.14549323 0.         0.1152076  0.18070358 0.08071105
 0.        ]",1.4245065001729518,1.0828711704572453,0.0,0.10362259993583983,0.07722375777278517,0.08137539588432406,0.08728984239674992,0.1283729458954427,0.14549323335601383,0.0,0.11520759996056065,0.18070357762313774,0.08071104717514625,0.0,0.0
