,Date,Weights,Profit,Base Profit,STKL,PYX,ANDE,UVV,PKI,WAT,BIO,COHR,NBIX,TECH,TTNP,BCRX,cash
198,2014-10-17,"[0.         0.         0.         0.07669976 0.18104352 0.
 0.08990067 0.22497297 0.         0.13447138 0.11455386 0.07960165
 0.09875619]",1.0335487230193279,1.0135002026989246,0.0,0.0,0.07669975525576814,0.18104352227107456,0.0,0.08990067087419508,0.2249729747671898,0.0,0.13447137908792253,0.11455385835490514,0.07960164661919007,0.0987561927697547,0.0
199,2014-10-20,"[0.         0.         0.         0.07674839 0.18091673 0.
 0.08988742 0.22504779 0.         0.134502   0.11448475 0.07953581
 0.0988771 ]",1.0730199475608793,1.042093348270348,0.0,0.0,0.07674839012785568,0.18091673410203815,0.0,0.08988741970077926,0.22504779285119714,0.0,0.13450199633298307,0.11448475459280627,0.07953581485019509,0.0988770974421454,0.0
200,2014-10-21,"[0.         0.         0.         0.07695054 0.18076416 0.
 0.08999418 0.22518294 0.         0.13431182 0.11453009 0.07935936
 0.09890691]",1.047161451693197,1.0202297103504185,0.0,0.0,0.07695053930959347,0.18076415933235812,0.0,0.08999418006407926,0.22518294463313565,0.0,0.13431182401800917,0.11453008654575543,0.07935935945419408,0.0989069066428749,0.0
201,2014-10-22,"[0.         0.         0.         0.07699133 0.18063236 0.
 0.09001347 0.22523561 0.         0.1342761  0.11455845 0.07927971
 0.09901297]",1.0625792870262263,1.032753601040397,0.0,0.0,0.07699133149997583,0.18063236054648588,0.0,0.09001347054834302,0.22523560755463384,0.0,0.1342761009425437,0.11455844577847593,0.07927971413931112,0.09901296899023071,0.0
202,2014-10-23,"[0.         0.         0.         0.07690282 0.18089234 0.
 0.09044196 0.22524967 0.         0.13373993 0.11497054 0.07906175
 0.09874099]",1.0784590658264352,1.0443053781270601,0.0,0.0,0.07690282296135446,0.1808923407281955,0.0,0.0904419588789746,0.22524967038693558,0.0,0.13373992554412553,0.1149705423358614,0.07906174971352202,0.09874098945103109,0.0
203,2014-10-24,"[0.         0.         0.         0.07695835 0.18071612 0.
 0.09041332 0.2252321  0.         0.13374663 0.11501724 0.07902443
 0.09889182]",1.0795768580282892,1.0461648295064214,0.0,0.0,0.07695834727251304,0.1807161185276301,0.0,0.09041332260687325,0.22523209855661172,0.0,0.1337466272496953,0.11501724012740777,0.07902442780612934,0.09889181785313952,0.0
204,2014-10-27,"[0.         0.         0.         0.07699238 0.18067238 0.
 0.09047747 0.225271   0.         0.13361978 0.11515578 0.07893506
 0.09887613]",1.0845953793158023,1.0532505707463193,0.0,0.0,0.07699238230027215,0.18067238172116773,0.0,0.09047747470884816,0.22527100464378283,0.0,0.13361978284347922,0.11515577549397966,0.07893506365852619,0.098876134629944,0.0
205,2014-10-28,"[0.         0.         0.         0.07694935 0.18091978 0.
 0.09052442 0.22530965 0.         0.13354673 0.11510077 0.07897987
 0.09866944]",1.0851897824695464,1.0523835395621661,0.0,0.0,0.0769493474690771,0.180919776618605,0.0,0.09052442472655232,0.22530964961414385,0.0,0.13354673007990112,0.11510076734532035,0.07897986867147096,0.09866943547492932,0.0
206,2014-10-29,"[0.         0.         0.         0.07704289 0.18091964 0.
 0.09053985 0.22540657 0.         0.13348155 0.1150531  0.07891609
 0.09864032]",1.0850287623452817,1.0552767745378484,0.0,0.0,0.07704288913267737,0.18091964027477592,0.0,0.09053984930780971,0.22540656583506885,0.0,0.1334815506556865,0.11505309903754476,0.07891608992763652,0.09864031582880019,0.0
207,2014-10-30,"[0.         0.         0.         0.07691539 0.18096692 0.
 0.09054763 0.22535638 0.         0.13346637 0.11520466 0.0789231
 0.09861956]",1.1014828969229322,1.0742887107592543,0.0,0.0,0.07691538661472215,0.18096691818723484,0.0,0.09054763135821524,0.22535637615511664,0.0,0.13346636652205057,0.11520466268563404,0.07892310134887474,0.09861955712815174,0.0
208,2014-10-31,"[0.         0.         0.         0.07678233 0.18102511 0.
 0.0905553  0.22525514 0.         0.13348188 0.11531067 0.07896682
 0.09862273]",1.090676789923381,1.0657623890822505,0.0,0.0,0.07678233332364363,0.18102511000251437,0.0,0.09055530032359518,0.22525514347620693,0.0,0.1334818807599673,0.11531067299901843,0.07896682443623883,0.09862273467881547,0.0
209,2014-11-03,"[0.         0.         0.         0.07680454 0.18118375 0.
 0.09052054 0.22528961 0.         0.13346147 0.11528271 0.0790208
 0.09843657]",1.1101636559391077,1.08556397948533,0.0,0.0,0.07680453998929371,0.18118374739533688,0.0,0.09052054307596723,0.22528961410464385,0.0,0.13346147399966649,0.11528271110406893,0.07902080167014092,0.09843656866088205,0.0
210,2014-11-04,"[0.         0.         0.         0.07681449 0.18097245 0.
 0.09051998 0.22530177 0.         0.13355958 0.11520167 0.07893393
 0.09869614]",1.104662195514736,1.0799497347145397,0.0,0.0,0.07681448940080188,0.1809724514891818,0.0,0.09051998288618289,0.22530176536229193,0.0,0.13355957582721706,0.11520167052271019,0.07893392646024638,0.09869613805136775,0.0
211,2014-11-05,"[0.         0.         0.         0.07679214 0.18108573 0.
 0.09056195 0.22530575 0.         0.13351279 0.11520368 0.07895291
 0.09858506]",1.1062435556445704,1.0752373291036696,0.0,0.0,0.07679213788335235,0.1810857284692545,0.0,0.09056194851197608,0.22530575357474053,0.0,0.13351279055546583,0.11520367545136716,0.07895290789013762,0.09858505766370586,0.0
212,2014-11-06,"[0.         0.         0.         0.07674524 0.18136495 0.
 0.09051179 0.22529067 0.         0.13349315 0.11522551 0.0790803
 0.09828838]",1.0902436159996873,1.0708559910176032,0.0,0.0,0.07674524267106533,0.18136495106356826,0.0,0.09051178644843262,0.22529067176369247,0.0,0.13349314827374253,0.11522551445964258,0.0790803015942388,0.09828838372561739,0.0
213,2014-11-07,"[0.         0.         0.         0.0766767  0.1818881  0.
 0.09036952 0.22523161 0.         0.13348406 0.11521531 0.07937669
 0.09775801]",1.0883065757562393,1.0605447990494348,0.0,0.0,0.07667669599421395,0.18188810370004505,0.0,0.09036952196461993,0.22523160958453983,0.0,0.1334840587069028,0.11521530936539931,0.07937669408545962,0.09775800659881942,0.0
214,2014-11-10,"[0.         0.         0.         0.07769736 0.1818181  0.
 0.09037849 0.22614613 0.         0.13309151 0.11453247 0.0789383
 0.09739764]",1.070692954481177,1.0480786429737092,0.0,0.0,0.07769736048462361,0.18181809837618249,0.0,0.09037848504200462,0.2261461305467946,0.0,0.1330915135870554,0.1145324704022264,0.07893829683085349,0.09739764473025915,0.0
215,2014-11-11,"[0.         0.         0.         0.0774677  0.18168761 0.
 0.09045141 0.22605991 0.         0.13310276 0.11468108 0.07892003
 0.0976295 ]",1.066161689111233,1.0451354144771499,0.0,0.0,0.07746770345595064,0.1816876087153829,0.0,0.09045141048164924,0.2260599112862054,0.0,0.1331027585834842,0.1146810783933999,0.07892003389961799,0.09762949518430972,0.0
216,2014-11-12,"[0.         0.         0.         0.07736569 0.18172393 0.
 0.09043156 0.22597114 0.         0.1330997  0.1148266  0.0789792
 0.09760219]",1.0770202239645548,1.0530293623460425,0.0,0.0,0.07736569179246716,0.18172392793774755,0.0,0.09043155726200151,0.2259711356601776,0.0,0.13309970286557396,0.11482659574643561,0.07897920360250602,0.0976021851330905,0.0
217,2014-11-13,"[0.         0.         0.         0.07761609 0.18127687 0.
 0.09045479 0.22604469 0.         0.13318794 0.11477526 0.0788058
 0.09783856]",1.0667761951860901,1.0453659538391133,0.0,0.0,0.07761608687891473,0.18127687016220462,0.0,0.09045479427795404,0.22604468652880294,0.0,0.1331879394353848,0.11477525983151826,0.07880580377402627,0.09783855911119428,0.0
218,2014-11-14,"[0.         0.         0.         0.07688176 0.18141659 0.
 0.0905518  0.2254615  0.         0.13329557 0.1153077  0.07903786
 0.09804722]",1.0732883937357105,1.0417980767958517,0.0,0.0,0.07688175638813693,0.18141659186892142,0.0,0.09055180156895107,0.22546150212630112,0.0,0.1332955713962145,0.11530769793487751,0.07903785954766306,0.09804721916893434,0.0
219,2014-11-17,"[0.         0.         0.         0.07696876 0.18142534 0.
 0.09060591 0.22546456 0.         0.13323039 0.11528281 0.07896984
 0.09805238]",1.0659436605779502,1.0350680040582858,0.0,0.0,0.07696876095469175,0.18142534133975388,0.0,0.09060591491352091,0.22546456305195883,0.0,0.1332303923310244,0.11528280920218176,0.07896984024857452,0.0980523779582938,0.0
220,2014-11-18,"[0.         0.         0.         0.07958432 0.17572014 0.
 0.08259459 0.22259383 0.         0.13419579 0.12591194 0.08231972
 0.09707968]",1.054994300816344,1.0260778124351222,0.0,0.0,0.0795843150703732,0.1757201424882369,0.0,0.08259458930537612,0.22259382507538417,0.0,0.13419579146117588,0.12591193553460142,0.08231972065618084,0.09707968040867146,0.0
221,2014-11-19,"[0.         0.         0.         0.07980972 0.17472208 0.
 0.08204635 0.22208808 0.         0.13442621 0.12708002 0.0825532
 0.09727434]",1.055653181530153,1.0274008174013076,0.0,0.0,0.07980972348206843,0.17472208294363759,0.0,0.08204634906680935,0.22208808231630237,0.0,0.13442620560632496,0.12708002050245254,0.08255320067009413,0.09727433541231072,0.0
222,2014-11-20,"[0.         0.         0.         0.08065648 0.17507162 0.
 0.08346964 0.22275769 0.         0.13362822 0.12583033 0.08195654
 0.09662948]",1.0667267840604493,1.034614725336926,0.0,0.0,0.08065648029611962,0.17507161584944314,0.0,0.08346963659729018,0.22275769018546915,0.0,0.13362822063152222,0.12583033465032187,0.0819565422298266,0.09662947956000725,0.0
223,2014-11-21,"[0.         0.         0.         0.08059013 0.17511878 0.
 0.08346257 0.22271572 0.         0.13362165 0.12580934 0.08208378
 0.09659802]",1.052589501350381,1.022150511749421,0.0,0.0,0.08059013286634407,0.1751187829427215,0.0,0.08346257148331462,0.22271571644541083,0.0,0.1336216520607577,0.12580934372123598,0.08208377819551502,0.09659802228470027,0.0
224,2014-11-24,"[0.         0.         0.         0.0805477  0.17508774 0.
 0.08343283 0.22260406 0.         0.13361282 0.12597005 0.08215063
 0.09659417]",1.0820878622579446,1.0437736185672764,0.0,0.0,0.08054769803781517,0.17508774411433556,0.0,0.08343283092297935,0.22260405659173235,0.0,0.13361282400340027,0.12597004527337136,0.08215063076055165,0.09659417029581434,0.0
225,2014-11-25,"[0.         0.         0.         0.08055141 0.17531676 0.
 0.08324663 0.22267639 0.         0.13376882 0.12581883 0.08230539
 0.09631577]",1.0856706876795796,1.0417623759030454,0.0,0.0,0.0805514096376613,0.17531675858073664,0.0,0.08324663017088575,0.2226763886365062,0.0,0.13376881610436617,0.12581883133704494,0.08230539200409291,0.09631577352870589,0.0
226,2014-11-26,"[0.         0.         0.         0.0804615  0.17521798 0.
 0.08327176 0.22260598 0.         0.13380501 0.12584888 0.08227744
 0.09651145]",1.0993757021910135,1.0539565559587123,0.0,0.0,0.08046150337827367,0.1752179752356614,0.0,0.08327176133071044,0.2226059810986832,0.0,0.13380501150520221,0.12584887696046884,0.0822774367004639,0.09651145379053633,0.0
227,2014-11-28,"[0.         0.         0.         0.0805217  0.17530521 0.
 0.08317648 0.22265502 0.         0.13385134 0.12581174 0.08233617
 0.09634234]",1.0932312302672436,1.0481813322031424,0.0,0.0,0.08052170483615606,0.17530520690783674,0.0,0.0831764824534784,0.2226550192696569,0.0,0.13385134438978671,0.12581173880641564,0.08233616550796985,0.09634233782869984,0.0
228,2014-12-01,"[0.         0.         0.         0.08052871 0.17532981 0.
 0.08320625 0.22268969 0.         0.13382061 0.1258187  0.0822983
 0.09630793]",1.1097870728199297,1.0605467887581186,0.0,0.0,0.08052871424234682,0.1753298053486064,0.0,0.08320624898121369,0.222689689139085,0.0,0.13382061052708707,0.1258186972682913,0.08229830257401127,0.09630793191935863,0.0
229,2014-12-02,"[0.         0.         0.         0.080664   0.17546111 0.
 0.08327101 0.22293455 0.         0.1338633  0.12528786 0.08221664
 0.09630153]",1.0954362059873644,1.0446880917435113,0.0,0.0,0.08066399864455365,0.17546110745310897,0.0,0.08327101450526543,0.22293455082373692,0.0,0.13386330030699406,0.12528785988943364,0.08221663623009402,0.09630153214681342,0.0
230,2014-12-03,"[0.         0.         0.         0.0807082  0.17553013 0.
 0.08324052 0.22301975 0.         0.13391388 0.12507075 0.0822463
 0.09627047]",1.0859272656967074,1.0342023578808424,0.0,0.0,0.08070820360344665,0.17553012647955335,0.0,0.08324052120429795,0.223019747646945,0.0,0.13391388384593603,0.12507074672499388,0.08224630463083833,0.09627046586398884,0.0
231,2014-12-04,"[0.         0.         0.         0.08049206 0.17525124 0.
 0.08330555 0.22275375 0.         0.13388088 0.12545779 0.08222113
 0.0966376 ]",1.09920842962589,1.0473617332280203,0.0,0.0,0.08049205828308743,0.17525124373577497,0.0,0.08330554910370817,0.2227537475084804,0.0,0.1338808773698014,0.12545779447185815,0.08222113345357346,0.09663759607371596,0.0
232,2014-12-05,"[0.         0.         0.         0.08043272 0.17504709 0.
 0.08339738 0.22261162 0.         0.13379271 0.12577195 0.08214039
 0.09680613]",1.0963000493897663,1.0442295498018843,0.0,0.0,0.0804327232272101,0.17504708508758987,0.0,0.08339738477587962,0.22261162306488358,0.0,0.13379270941009022,0.12577194706109815,0.08214039339596123,0.09680613397728727,0.0
