,Date,Weights,Profit,Base Profit,SPAR,OSK,PCAR,F,BIO,COHR,WAT,PKI,MTH,NVR,PHM,BZH,cash
306,2015-03-25,"[0.         0.12427576 0.11718177 0.09796317 0.         0.11614442
 0.08224477 0.07149926 0.1371003  0.09560699 0.         0.09442383
 0.06355973]",1.0346204851553034,1.0307303325731627,0.1242757595495976,0.11718177350548627,0.09796317143437018,0.0,0.11614441604909928,0.0822447746959932,0.07149925592765982,0.13710029888537065,0.09560699023030626,0.0,0.0944238321782178,0.06355972754389884,0.0
307,2015-03-26,"[0.         0.12430963 0.1171119  0.09798417 0.         0.11620771
 0.08218959 0.07150186 0.13713154 0.09553567 0.         0.09442976
 0.06359816]",1.0394936525414666,1.0337233264364012,0.12430963059643149,0.11711190381590196,0.09798417225155215,0.0,0.11620770760920127,0.08218959195051512,0.07150185677704657,0.13713154293763746,0.09553567362721255,0.0,0.0944297572310345,0.06359816320346683,0.0
308,2015-03-27,"[0.         0.1242779  0.11692254 0.09795777 0.         0.11655224
 0.08222845 0.07124616 0.13729006 0.0958262  0.         0.09422345
 0.06347522]",1.0188874122662008,1.0176340042203031,0.12427790292595992,0.11692253820746137,0.09795776861407254,0.0,0.11655224357635569,0.08222844834743784,0.07124616449619801,0.13729005925973795,0.09582620067461094,0.0,0.09422344986999195,0.06347522402817389,0.0
309,2015-03-30,"[0.         0.12431396 0.11684491 0.09799547 0.         0.11654462
 0.08224334 0.07123102 0.13729906 0.09592697 0.         0.09416882
 0.06343181]",1.0214917072802339,1.019106866419682,0.1243139648157459,0.1168449128372542,0.09799547008310455,0.0,0.11654462442010922,0.08224334328739928,0.07123101660343965,0.13729906366197092,0.09592697407129888,0.0,0.0941688238923658,0.06343180632731149,0.0
310,2015-03-31,"[0.         0.12489645 0.11663361 0.09805624 0.         0.11487211
 0.08224471 0.07269389 0.13668028 0.09532321 0.         0.09459077
 0.06400874]",1.0376023818450815,1.0311497350591639,0.12489644881670933,0.11663360737514762,0.09805624118289703,0.0,0.11487210522337031,0.0822447104917881,0.07269389242473086,0.13668027631732996,0.09532320804982171,0.0,0.09459077333039596,0.06400873678780908,0.0
311,2015-04-01,"[0.         0.1249726  0.11659819 0.09835236 0.         0.114424
 0.08233107 0.07294745 0.13651002 0.09517969 0.         0.09459767
 0.06408696]",1.0427872704509735,1.0348587759231866,0.12497259764912298,0.1165981879526527,0.09835236019473255,0.0,0.11442399673227964,0.08233106509803399,0.07294745000284433,0.13651002425181913,0.09517969350266084,0.0,0.09459766641844393,0.06408695819740987,0.0
312,2015-04-02,"[0.         0.13001136 0.12403245 0.11028461 0.         0.1094381
 0.08133219 0.06502536 0.12709624 0.10102415 0.         0.09512087
 0.05663468]",1.0412318968401457,1.03277727213007,0.13001135776924444,0.12403244541087755,0.11028461005802528,0.0,0.10943810476820487,0.08133218848589541,0.0650253595288274,0.12709624382858845,0.10102414827697026,0.0,0.09512086547787132,0.056634676395494896,0.0
313,2015-04-06,"[0.         0.13040758 0.12293186 0.11146404 0.         0.10847652
 0.08026301 0.0654871  0.12781303 0.09969842 0.         0.09639119
 0.05706726]",1.0383620452430935,1.0292483541269934,0.13040757523312177,0.12293185576662072,0.11146404280871344,0.0,0.1084765173079617,0.08026301180658499,0.06548709610865414,0.12781302682379014,0.09969841989635297,0.0,0.09639119046609274,0.05706726378210747,0.0
314,2015-04-07,"[0.         0.13039022 0.12245951 0.1116195  0.         0.10825979
 0.08006701 0.06580492 0.12822483 0.09918772 0.         0.0966736
 0.05731292]",1.0364582064202665,1.031102035307393,0.1303902178198098,0.12245950582865485,0.11161949554744971,0.0,0.10825978771652932,0.08006700531302915,0.06580492110721241,0.1282248303674601,0.09918771761371321,0.0,0.09667360228066893,0.05731291640547243,0.0
315,2015-04-08,"[0.         0.13041458 0.12228079 0.11171645 0.         0.10814285
 0.08006565 0.06589824 0.12833048 0.09908721 0.         0.09671751
 0.05734623]",1.0536981939292678,1.0415166884470286,0.13041458202525527,0.12228079336055414,0.11171645184176959,0.0,0.10814285365295254,0.08006565187121115,0.0658982435567684,0.12833048016713428,0.09908720863594914,0.0,0.09671750822344434,0.057346226664961183,0.0
