,Date,Weights,Profit,Base Profit,UVV,PYX,STKL,ANDE,F,PCAR,SPAR,OSK,LH,AMS,PMD,DGX,cash
172,2014-09-11,"[0.         0.12024886 0.         0.         0.229498   0.10482142
 0.10733366 0.         0.10480808 0.13924804 0.10077161 0.09327033
 0.        ]",1.031676343820932,1.0141584330661102,0.12024886297162675,0.0,0.0,0.2294980043076854,0.10482141742696084,0.1073336633707348,0.0,0.10480807894136891,0.13924803679769926,0.10077160877257174,0.09327032741135215,0.0,0.0
173,2014-09-12,"[0.         0.12020327 0.         0.         0.22952803 0.10479012
 0.10732853 0.         0.10480648 0.13934763 0.10071315 0.09328278
 0.        ]",1.0231001542130447,1.0076817344741658,0.12020327239527628,0.0,0.0,0.22952802676918743,0.10479011763813997,0.10732853242228188,0.0,0.10480648161192517,0.1393476336101088,0.10071315185015284,0.09328278370292749,0.0,0.0
174,2014-09-15,"[0.         0.12016228 0.         0.         0.22954543 0.10470039
 0.10741632 0.         0.10482224 0.13938976 0.10063297 0.0933306
 0.        ]",1.022091784564947,1.0121288024309651,0.12016228427166703,0.0,0.0,0.22954543281484818,0.10470039150381802,0.10741631952579762,0.0,0.10482224304354035,0.1393897585192192,0.10063296712002788,0.09333060320108168,0.0,0.0
175,2014-09-16,"[0.         0.12021271 0.         0.         0.22953371 0.1047377
 0.10738112 0.         0.10485597 0.13953784 0.10049486 0.09324609
 0.        ]",1.0094778397418296,1.0023385248430037,0.12021271120779638,0.0,0.0,0.22953371299480593,0.10473770235655584,0.10738111588672214,0.0,0.10485596707952131,0.13953784162963206,0.1004948559124897,0.09324609293247668,0.0,0.0
176,2014-09-17,"[0.         0.12043154 0.         0.         0.22946354 0.10491892
 0.10733557 0.         0.10487891 0.13983796 0.10018742 0.09294614
 0.        ]",0.9968475398483424,0.9901648616108089,0.12043153878657584,0.0,0.0,0.2294635389873752,0.10491891644794153,0.10733557234699279,0.0,0.10487890867834564,0.1398379627604035,0.10018742232187297,0.09294613967049233,0.0,0.0
177,2014-09-18,"[0.         0.12038491 0.         0.         0.22932142 0.10496966
 0.10729815 0.         0.1048051  0.14000666 0.10026845 0.09294566
 0.        ]",0.9980513960634858,0.9900710354963805,0.1203849075398259,0.0,0.0,0.22932141566308217,0.1049696577845227,0.1072981518291333,0.0,0.1048050956691385,0.1400066643424428,0.10026844917148527,0.09294565800036948,0.0,0.0
178,2014-09-19,"[0.         0.12044768 0.         0.         0.22929335 0.10498273
 0.10736367 0.         0.10482874 0.14014531 0.1000837  0.09285481
 0.        ]",0.9900301228100478,0.98670863034227,0.1204476788347158,0.0,0.0,0.22929335067353016,0.10498273264496329,0.10736367423684776,0.0,0.10482874157994436,0.14014531422051427,0.10008369563013711,0.09285481217934731,0.0,0.0
179,2014-09-22,"[0.         0.12047958 0.         0.         0.22931426 0.10495635
 0.10741579 0.         0.10487892 0.1402411  0.09990954 0.09280446
 0.        ]",0.9980460182588508,0.9951542728416821,0.12047958492915055,0.0,0.0,0.22931425723349136,0.10495635285122404,0.10741578599145515,0.0,0.10487891688039092,0.14024110227500725,0.09990953589810744,0.09280446394117328,0.0,0.0
180,2014-09-23,"[0.         0.12043089 0.         0.         0.22933589 0.10487355
 0.10745364 0.         0.10490191 0.14026099 0.09987154 0.0928716
 0.        ]",0.9941967628242917,0.9955698663567917,0.12043089473126468,0.0,0.0,0.22933588547382927,0.10487354567997956,0.10745364469114163,0.0,0.10490190829511867,0.1402609864990819,0.09987153939130748,0.0928715952382767,0.0,0.0
181,2014-09-24,"[0.         0.12042352 0.         0.         0.22938506 0.10483667
 0.10742352 0.         0.10498876 0.14036107 0.09972123 0.09286019
 0.        ]",0.9852532722835641,0.9851222742148343,0.12042351521227625,0.0,0.0,0.22938505886819083,0.10483666712370733,0.10742351609160251,0.0,0.10498876478742974,0.14036106598560952,0.099721225701157,0.09286018623002686,0.0,0.0
182,2014-09-25,"[0.         0.12051511 0.         0.         0.22941635 0.10488109
 0.1073685  0.         0.10506456 0.14050703 0.09950814 0.09273922
 0.        ]",0.9789708784835893,0.9795831610405714,0.12051510526912007,0.0,0.0,0.22941634531976515,0.10488109373980793,0.1073685043830209,0.0,0.10506455851773522,0.1405070327738412,0.09950814039322561,0.09273921960348398,0.0,0.0
183,2014-09-26,"[0.         0.12053575 0.         0.         0.22944039 0.10491067
 0.10730514 0.         0.10509174 0.1405413  0.09947087 0.09270414
 0.        ]",0.9845552019592004,0.9819471311259304,0.12053575290616739,0.0,0.0,0.22944038510892753,0.10491066948897805,0.10730513664781369,0.0,0.10509174226633518,0.14054129816916602,0.09947087120885062,0.0927041442037616,0.0,0.0
184,2014-09-29,"[0.         0.12064635 0.         0.         0.22945363 0.10497667
 0.10724727 0.         0.10514949 0.14068023 0.09927721 0.09256914
 0.        ]",0.9728519816357901,0.9713883774300381,0.12064634861596683,0.0,0.0,0.22945362737305514,0.10497667146445605,0.10724726676785719,0.0,0.10514949316199493,0.1406802337059572,0.09927721481895975,0.09256914409175282,0.0,0.0
185,2014-09-30,"[0.         0.12060539 0.         0.         0.22947507 0.10497523
 0.10716275 0.         0.10517592 0.14069423 0.0993055  0.09260592
 0.        ]",0.9692292636953754,0.9647853980567758,0.12060539436308049,0.0,0.0,0.2294750672380694,0.104975226743737,0.10716274578621467,0.0,0.10517591544563114,0.14069422805535609,0.09930549956468666,0.09260592280322469,0.0,0.0
186,2014-10-01,"[0.         0.12215748 0.         0.         0.22994925 0.10604827
 0.10731464 0.         0.10555105 0.14080952 0.09747695 0.09069284
 0.        ]",0.967057236002891,0.9655652694901046,0.12215747632033633,0.0,0.0,0.22994924712600615,0.10604826821485812,0.10731464282118966,0.0,0.10555105274300042,0.14080951788355217,0.09747695179279675,0.0906928430982603,0.0,0.0
187,2014-10-02,"[0.         0.12237209 0.         0.         0.23005443 0.10614288
 0.10733389 0.         0.10564414 0.14090918 0.09711002 0.09043338
 0.        ]",0.9596776945402041,0.9576549478884587,0.12237208663838864,0.0,0.0,0.23005442687661812,0.10614287648320073,0.10733388958439632,0.0,0.10564414135948251,0.1409091813946984,0.09711002144291012,0.09043337622030531,0.0,0.0
188,2014-10-03,"[0.         0.12249248 0.         0.         0.23011169 0.10616106
 0.10735818 0.         0.10572496 0.14101128 0.09685733 0.09028304
 0.        ]",0.9467974312001382,0.9531756902685461,0.12249247844933409,0.0,0.0,0.2301116851800761,0.1061610563210409,0.10735817569315426,0.0,0.10572495532651738,0.14101128208897518,0.09685732670121323,0.0902830402396888,0.0,0.0
189,2014-10-06,"[0.         0.12235537 0.         0.         0.23017703 0.10593001
 0.10759322 0.         0.10576166 0.14097739 0.09676424 0.09044107
 0.        ]",0.9512691186969949,0.963267317607055,0.1223553700482227,0.0,0.0,0.23017703189095678,0.10593001393378505,0.10759322485893602,0.0,0.10576166207238831,0.1409773850434857,0.09676423928519295,0.09044107286703253,0.0,0.0
190,2014-10-07,"[0.         0.12233839 0.         0.         0.23022289 0.10587139
 0.10769671 0.         0.10580171 0.1409983  0.09665272 0.09041789
 0.        ]",0.9599489315214516,0.9690975959208575,0.12233839120569108,0.0,0.0,0.23022289228440312,0.10587138659249005,0.10769671070088976,0.0,0.10580170787155414,0.14099829571482903,0.0966527212359215,0.09041789439422142,0.0,0.0
191,2014-10-08,"[0.         0.12234862 0.         0.         0.23027012 0.10587493
 0.10767343 0.         0.10585619 0.14102251 0.09657302 0.09038118
 0.        ]",0.9547575987086321,0.9614792453029574,0.12234861783772719,0.0,0.0,0.23027011803118458,0.10587493407825946,0.10767343204596934,0.0,0.10585618989365024,0.1410225108287479,0.09657301596970355,0.09038118131475788,0.0,0.0
192,2014-10-09,"[0.         0.1224649  0.         0.         0.23028942 0.1059069
 0.10772384 0.         0.10591171 0.1411477  0.09633661 0.09021893
 0.        ]",0.9398469502304508,0.9501514605663286,0.12246490302412322,0.0,0.0,0.23028941545405343,0.10590690152361798,0.10772384350971748,0.0,0.10591170563432185,0.1411476952205131,0.0963366101505368,0.09021892548311612,0.0,0.0
193,2014-10-10,"[0.         0.12229598 0.         0.         0.23034426 0.10566427
 0.10797357 0.         0.10593158 0.14107888 0.09630585 0.09040561
 0.        ]",0.935506597273152,0.955552507604352,0.12229597624676682,0.0,0.0,0.2303442590007417,0.10566427065925148,0.10797357441553936,0.0,0.10593157662275894,0.1410788849019057,0.09630584511615463,0.09040561303688158,0.0,0.0
194,2014-10-13,"[0.         0.12244544 0.         0.         0.23034554 0.10573519
 0.10798448 0.         0.10597502 0.14120539 0.09608183 0.0902271
 0.        ]",0.9142525151576215,0.9352432657754763,0.12244544005373023,0.0,0.0,0.23034554228067403,0.10573519305703447,0.10798448278462651,0.0,0.10597502263600511,0.14120539464519866,0.09608182815009217,0.09022709639263873,0.0,0.0
195,2014-10-14,"[0.         0.12238883 0.         0.         0.230361   0.10569839
 0.10796997 0.         0.10596556 0.1411488  0.09615936 0.09030809
 0.        ]",0.9165999228926653,0.9345551128270708,0.1223888276071978,0.0,0.0,0.23036099871460874,0.10569838977137791,0.10796996627902382,0.0,0.10596556302704027,0.14114880237508004,0.09615936191496705,0.09030809031070447,0.0,0.0
196,2014-10-15,"[0.         0.12235147 0.         0.         0.23035017 0.10564728
 0.10803663 0.         0.10597533 0.14121579 0.09610111 0.09032222
 0.        ]",0.9239547187502167,0.9432484949469663,0.12235147226487807,0.0,0.0,0.23035016712670897,0.10564727886168535,0.1080366314206244,0.0,0.1059753302468228,0.14121578958725078,0.09610110681390384,0.09032222367812576,0.0,0.0
197,2014-10-16,"[0.         0.12228752 0.         0.         0.23033629 0.10560826
 0.10805781 0.         0.10595159 0.14118517 0.09617826 0.09039509
 0.        ]",0.912131543482318,0.9354050827424354,0.12228752381496859,0.0,0.0,0.23033628508231224,0.10560826386642187,0.10805781180755095,0.0,0.10595158861033944,0.1411851712170134,0.09617826451387454,0.090395091087519,0.0,0.0
198,2014-10-17,"[0.         0.12219123 0.         0.         0.2303367  0.10547848
 0.10822864 0.         0.10595541 0.14120996 0.0961276  0.09047198
 0.        ]",0.9047831120949139,0.9318561706896438,0.12219122866710706,0.0,0.0,0.23033669797461034,0.10547847786494077,0.10822863986367551,0.0,0.10595541353290033,0.14120996303631714,0.09612760122096997,0.09047197783947884,0.0,0.0
199,2014-10-20,"[0.         0.12222391 0.         0.         0.23031878 0.10558863
 0.10804436 0.         0.10591312 0.14111703 0.09631348 0.09048067
 0.        ]",0.930254097465902,0.9500057799657201,0.1222239146741568,0.0,0.0,0.23031877908182016,0.10558863279655668,0.10804436399569005,0.0,0.10591312290461706,0.14111702861896616,0.09631348292912255,0.0904806749990706,0.0,0.0
200,2014-10-21,"[0.         0.12227671 0.         0.         0.23023308 0.10572848
 0.10794502 0.         0.10586689 0.14120618 0.09637624 0.09036741
 0.        ]",0.9253405313632754,0.9472768769283174,0.12227670944617831,0.0,0.0,0.2302330819805502,0.10572848095826193,0.10794501627159711,0.0,0.10586688759209041,0.14120617638937094,0.09637623669101884,0.09036741067093217,0.0,0.0
201,2014-10-22,"[0.         0.12213967 0.         0.         0.23010125 0.10574385
 0.1078724  0.         0.1057439  0.14120678 0.09668721 0.09050494
 0.        ]",0.9329156614124905,0.9547122295243087,0.12213967305293677,0.0,0.0,0.23010125032582895,0.10574385004984192,0.10787240109467021,0.0,0.10574389938831144,0.1412067782650337,0.09668720914735401,0.090504938676023,0.0,0.0
202,2014-10-23,"[0.         0.1220882  0.         0.         0.2301696  0.10566027
 0.10790846 0.         0.10580037 0.14112631 0.09666309 0.09058369
 0.        ]",0.9491158825300017,0.9650754586330927,0.1220882014238248,0.0,0.0,0.2301696047743889,0.10566026831557002,0.10790846086323201,0.0,0.10580036894915618,0.14112631350751575,0.09666309238189318,0.09058368978441914,0.0,0.0
203,2014-10-24,"[0.         0.12216817 0.         0.         0.23017351 0.10571774
 0.10789532 0.         0.10582254 0.1411831  0.09656576 0.09047387
 0.        ]",0.9450199619376233,0.9622272043896104,0.12216816820982648,0.0,0.0,0.23017351054376126,0.10571773837508217,0.10789531578796803,0.0,0.10582254414130438,0.14118309958882078,0.09656575812087488,0.090473865232362,0.0,0.0
204,2014-10-27,"[0.         0.12195947 0.         0.         0.23009623 0.10561378
 0.10793541 0.         0.10573145 0.14114493 0.09682668 0.09069205
 0.        ]",0.9512350707915341,0.9707596946138642,0.12195947284690116,0.0,0.0,0.23009622840579486,0.10561378338696975,0.1079354076416722,0.0,0.10573145089822018,0.14114492670907874,0.09682667561428959,0.09069205449707347,0.0,0.0
205,2014-10-28,"[0.         0.12186732 0.         0.         0.23013023 0.10543615
 0.10816944 0.         0.10581253 0.14124267 0.09660671 0.09073495
 0.        ]",0.9482648082352718,0.968632010420571,0.1218673180932305,0.0,0.0,0.23013023392694484,0.1054361462354942,0.10816944460529103,0.0,0.10581253360205749,0.1412426673457565,0.09660671048678177,0.09073494570444356,0.0,0.0
206,2014-10-29,"[0.         0.12195232 0.         0.         0.23011603 0.10551422
 0.10812958 0.         0.10581179 0.14128155 0.09655805 0.09063646
 0.        ]",0.9469330095346696,0.9696729018812983,0.1219523239823553,0.0,0.0,0.23011603222809568,0.10551422116037527,0.10812957536011238,0.0,0.10581178903331966,0.14128154543562943,0.09655805083456136,0.09063646196555088,0.0,0.0
207,2014-10-30,"[0.         0.12165548 0.         0.         0.23009376 0.10533426
 0.10820199 0.         0.10573992 0.14115066 0.09685935 0.09096458
 0.        ]",0.9679394143467406,0.9844900852438528,0.12165547987012669,0.0,0.0,0.23009375683151959,0.10533426345161888,0.10820199169699929,0.0,0.10573991917471123,0.141150658195081,0.096859346035893,0.0909645847440504,0.0,0.0
208,2014-10-31,"[0.         0.12169309 0.         0.         0.23008245 0.1053843
 0.10819235 0.         0.10574286 0.14117737 0.09682999 0.0908976
 0.        ]",0.9576523520291933,0.9766887123801656,0.12169308528589665,0.0,0.0,0.2300824462226235,0.10538430202829445,0.10819234832227204,0.0,0.10574285914161824,0.14117737329685992,0.09682998842366858,0.09089759727876656,0.0,0.0
209,2014-11-03,"[0.         0.12156796 0.         0.         0.23015393 0.10516992
 0.10842532 0.         0.10578885 0.14114375 0.0967274  0.09102286
 0.        ]",0.9840214058495296,0.9991168187720642,0.12156796493315632,0.0,0.0,0.23015393097107567,0.10516992129191886,0.10842532160281322,0.0,0.10578884983319621,0.1411437491345682,0.09672740117513035,0.09102286105814121,0.0,0.0
