,Date,Weights,Profit,Base Profit,JKHY,EBIX,UIS,STRM,KAMN,HDSN,WLFC,LAWS,STKL,ANDE,UVV,PYX,cash
327,2015-04-24,"[0.         0.18901841 0.         0.09071877 0.18163032 0.09973219
 0.07939521 0.         0.09001964 0.18904667 0.08043879 0.
 0.        ]",0.9041192145483931,1.0512746574700793,0.18901841467903432,0.0,0.09071876991524463,0.18163032017861838,0.09973218850263463,0.0793952118617881,0.0,0.09001963549149883,0.18904666580909252,0.08043879356208859,0.0,0.0,0.0
328,2015-04-27,"[0.         0.18920861 0.         0.09041456 0.18175529 0.09979024
 0.07908749 0.         0.09018597 0.1892033  0.08035452 0.
 0.        ]",0.9083123874274699,1.0523651056234027,0.1892086146935877,0.0,0.09041455993992491,0.18175529329535736,0.09979024104640197,0.07908749425408475,0.0,0.09018597431747162,0.18920330268724533,0.08035451976592639,0.0,0.0,0.0
329,2015-04-28,"[0.         0.18932301 0.         0.09023335 0.18178105 0.09992091
 0.07877355 0.         0.09035054 0.18935823 0.08025936 0.
 0.        ]",0.8948282140756806,1.0455646722856946,0.1893230115991898,0.0,0.09023334637500657,0.18178104880968352,0.09992090804586488,0.07877355035890655,0.0,0.09035054069049117,0.1893582325339716,0.080259361586886,0.0,0.0,0.0
330,2015-04-29,"[0.         0.18912536 0.         0.09025895 0.18182252 0.09996747
 0.07880879 0.         0.09037006 0.18931545 0.0803314  0.
 0.        ]",0.8824139480523256,1.0383282343689335,0.18912535974205516,0.0,0.09025895373384177,0.1818225234275062,0.09996746620553681,0.07880879185747293,0.0,0.09037006192843514,0.1893154451065659,0.0803313979985861,0.0,0.0,0.0
331,2015-04-30,"[0.         0.18910352 0.         0.09010221 0.18201298 0.1000655
 0.07844559 0.         0.09060263 0.18936139 0.08030618 0.
 0.        ]",0.8894655570867888,1.0407024429864165,0.18910351504034922,0.0,0.09010220662149886,0.18201298248081776,0.10006550350432589,0.07844558747281126,0.0,0.09060263015696146,0.18936139098568155,0.08030618373755398,0.0,0.0,0.0
332,2015-05-01,"[0.         0.18919548 0.         0.08991268 0.18204022 0.10015474
 0.07819246 0.         0.09082954 0.1894491  0.08022578 0.
 0.        ]",0.8799532837605156,1.02889515969473,0.18919547515013707,0.0,0.08991268306538976,0.18204022113570034,0.10015474327603374,0.0781924575385546,0.0,0.09082953647382216,0.18944909894262818,0.0802257844177342,0.0,0.0,0.0
333,2015-05-04,"[0.         0.18986712 0.         0.08971397 0.18165467 0.10006808
 0.07840551 0.         0.09026071 0.18983601 0.08019394 0.
 0.        ]",0.8828618113368351,1.027589706731508,0.18986711768866177,0.0,0.08971396903989518,0.18165466543559483,0.10006808233030037,0.07840550518034906,0.0,0.09026071238204827,0.1898360110529766,0.08019393689017389,0.0,0.0,0.0
334,2015-05-05,"[0.         0.19030896 0.         0.08969015 0.18090699 0.09939786
 0.08024816 0.         0.08797221 0.19061248 0.0808632  0.
 0.        ]",0.8793084081002442,1.0309836603188665,0.1903089595677177,0.0,0.08969014527801542,0.18090699394330478,0.09939786001545271,0.0802481564185543,0.0,0.08797220751929546,0.19061247708933,0.08086320016832971,0.0,0.0,0.0
335,2015-05-06,"[0.         0.19027314 0.         0.08983002 0.18084383 0.09929123
 0.08044305 0.         0.08757403 0.19073561 0.08100909 0.
 0.        ]",0.8856334319270802,1.0337420128903452,0.19027314166855708,0.0,0.0898300214237428,0.18084383178929067,0.09929122891318388,0.08044304592856125,0.0,0.08757402832786443,0.19073560769783057,0.08100909425096937,0.0,0.0,0.0
336,2015-05-07,"[0.         0.19009037 0.         0.09007157 0.1807482  0.09918971
 0.08086214 0.         0.08717722 0.19068037 0.08118042 0.
 0.        ]",0.8845732596872028,1.0320897114913963,0.1900903672044444,0.0,0.09007157032543386,0.18074819734469105,0.09918971049628166,0.08086214444223455,0.0,0.08717721934616433,0.19068037440164884,0.08118041643910136,0.0,0.0,0.0
