,Date,Weights,Profit,Base Profit,MTH,BZH,PHM,NVR,GGG,ITT,FLS,IEX,GL,AAME,FFG,CIA,cash
1405,2019-08-06,"[0.         0.10371458 0.07106253 0.07790428 0.0910153  0.
 0.07321392 0.06940571 0.05982317 0.10043302 0.16461817 0.09393459
 0.09487473]",1.5459495719376357,1.3379290412755052,0.10371457781221959,0.07106252972552128,0.07790428384334262,0.09101530151746226,0.0,0.07321392175583721,0.06940570796114841,0.05982317208189415,0.10043302243005364,0.16461816891652029,0.09393458833915555,0.09487472561684497,0.0
1406,2019-08-07,"[0.         0.10388175 0.0716834  0.07839739 0.09092212 0.
 0.07257518 0.06927202 0.0602729  0.10010978 0.16450236 0.09412195
 0.09426115]",1.5477929447244747,1.3319918879316548,0.10388175425436263,0.07168340102712795,0.0783973857776699,0.09092211635172867,0.0,0.07257518169477706,0.06927201815672944,0.060272900923354585,0.10010977942750542,0.16450236260323048,0.09412194751156001,0.09426115227195393,0.0
1407,2019-08-08,"[0.         0.10395971 0.07160179 0.07841804 0.09089746 0.
 0.072541   0.06930379 0.060253   0.10019047 0.16447831 0.09415791
 0.09419853]",1.543693853115256,1.327447711115838,0.10395970688835275,0.07160178773503084,0.07841804476062654,0.09089746000169792,0.0,0.07254100098413342,0.06930378898199167,0.06025299632617646,0.10019046791783637,0.16447831440952673,0.09415790659144789,0.09419852540317954,0.0
1408,2019-08-09,"[0.         0.10235521 0.07214575 0.07939808 0.09125476 0.
 0.07337648 0.0697445  0.05987048 0.10057592 0.16401579 0.09340599
 0.09385705]",1.5803290797103278,1.3524074904649972,0.10235521333945356,0.07214574718255612,0.07939807748120505,0.0912547607328998,0.0,0.07337648086330033,0.06974450088294448,0.05987047685287509,0.10057591599763231,0.16401578652133242,0.09340598912197758,0.09385705102382341,0.0
1409,2019-08-12,"[0.         0.10091258 0.07233911 0.080255   0.09170746 0.
 0.07389106 0.07032671 0.05977195 0.1008602  0.16382555 0.09254635
 0.09356403]",1.573758168269884,1.3647160109289904,0.10091257734020852,0.07233911446084447,0.0802550028557973,0.09170745541668182,0.0,0.0738910573516001,0.07032671066124324,0.059771952230793575,0.10086020359003768,0.16382554505401484,0.09254634782078096,0.09356403321799744,0.0
1410,2019-08-13,"[0.         0.10077968 0.07095808 0.07940788 0.09194996 0.
 0.07472728 0.07079519 0.05917825 0.10135342 0.16406952 0.09210663
 0.09467411]",1.5749795379320282,1.351930571355864,0.10077967552927868,0.07095808464711459,0.0794078795528966,0.0919499617451702,0.0,0.07472727578879189,0.07079519439764999,0.05917825044764595,0.10135341707945791,0.16406951895812555,0.09210663203233677,0.09467410982153189,0.0
1411,2019-08-14,"[0.         0.1006083  0.069512   0.07863329 0.09223124 0.
 0.07549851 0.07131127 0.05861494 0.10187382 0.16432685 0.09165148
 0.0957383 ]",1.5638934417009367,1.3430807063603716,0.10060829820404256,0.06951199553055097,0.0786332903473808,0.0922312446360583,0.0,0.07549851252788645,0.07131127173659817,0.058614942162863934,0.10187382265396479,0.16432684524352958,0.09165148139449109,0.09573829556263332,0.0
1412,2019-08-15,"[0.         0.09325955 0.0732585  0.07763539 0.09608472 0.
 0.08108231 0.07197939 0.05616709 0.10171253 0.16220867 0.08847935
 0.0981325 ]",1.549155403595853,1.3446386116858642,0.09325955460217308,0.07325850328940497,0.0776353899003328,0.09608471831334893,0.0,0.08108230686862268,0.07197939471815981,0.05616709087947817,0.10171252910101396,0.16220866812364304,0.08847934873702963,0.09813249546679298,0.0
1413,2019-08-16,"[0.         0.09294038 0.07367718 0.07653729 0.09609417 0.
 0.08179507 0.07103775 0.05619337 0.10174101 0.16245404 0.08830582
 0.09922393]",1.5512034892442066,1.3350743422898521,0.09294037706264437,0.07367717637635313,0.07653729284221746,0.09609417481822782,0.0,0.08179506766394386,0.0710377458335371,0.05619336942309195,0.10174100573271876,0.1624540383839649,0.08830582448059869,0.09922392738270208,0.0
1414,2019-08-19,"[0.         0.09361697 0.07283822 0.07499197 0.09600296 0.
 0.08217252 0.07056509 0.05592379 0.10202656 0.16292856 0.08849896
 0.1004344 ]",1.5533137747396606,1.338092416274078,0.09361697452530851,0.07283822387790363,0.07499197495109901,0.0960029635783651,0.0,0.08217251512174807,0.07056508802049791,0.05592379354664913,0.10202655729336506,0.16292855597229275,0.08849895525194412,0.10043439786082664,0.0
