,Date,Weights,Profit,Base Profit,TRC,CIGI,FRPH,CTO,SANM,FLEX,CTS,IEC,SPAR,OSK,F,PCAR,cash
142,2014-07-30,"[0.         0.15930857 0.10650468 0.         0.12390407 0.
 0.         0.23504141 0.13186646 0.1359551  0.         0.1074197
 0.        ]",0.930031535821794,1.0546528627641552,0.1593085678123073,0.10650468437778196,0.0,0.12390407109159866,0.0,0.0,0.23504140808682036,0.13186646300341134,0.1359551037373679,0.0,0.10741970189071248,0.0,0.0
143,2014-07-31,"[0.         0.15916333 0.10662342 0.         0.12375107 0.
 0.         0.2350917  0.1321777  0.13600372 0.         0.10718905
 0.        ]",0.937324451191919,1.0553602564697655,0.15916333307396105,0.10662341580257839,0.0,0.12375107172932408,0.0,0.0,0.235091701943552,0.13217770476137816,0.1360037208493401,0.0,0.10718905183986635,0.0,0.0
144,2014-08-01,"[0.         0.15909598 0.10668517 0.         0.12390427 0.
 0.         0.23501629 0.13234233 0.13580311 0.         0.10715284
 0.        ]",0.9258096514754534,1.046193375144325,0.1590959831522146,0.10668516598033245,0.0,0.1239042745004773,0.0,0.0,0.23501628652785006,0.1323423329409991,0.13580311276671198,0.0,0.10715284413141464,0.0,0.0
145,2014-08-04,"[0.         0.15928857 0.10662387 0.         0.12363957 0.
 0.         0.23509518 0.13207247 0.13606432 0.         0.10721603
 0.        ]",0.9261482001231616,1.041143800810222,0.1592885684380321,0.10662386878249543,0.0,0.12363956682354106,0.0,0.0,0.2350951816751546,0.13207246810248308,0.13606432045658523,0.0,0.10721602572170844,0.0,0.0
146,2014-08-05,"[0.         0.1593632  0.10654082 0.         0.12362274 0.
 0.         0.23514392 0.13190544 0.13615318 0.         0.1072707
 0.        ]",0.9185134636519497,1.035355175863764,0.15936319598088064,0.10654082452203746,0.0,0.12362273989151197,0.0,0.0,0.23514392270762474,0.13190543858711265,0.13615317630606638,0.0,0.10727070200476616,0.0,0.0
147,2014-08-06,"[0.         0.15925866 0.10657245 0.         0.12407373 0.
 0.         0.23497649 0.13213098 0.13574003 0.         0.10724765
 0.        ]",0.9222635694190678,1.0385047576759971,0.1592586607292131,0.10657244815692275,0.0,0.12407373229603884,0.0,0.0,0.2349764946538123,0.13213098036339702,0.13574003038743082,0.0,0.10724765341318516,0.0,0.0
148,2014-08-07,"[0.         0.15910629 0.10647237 0.         0.12383621 0.
 0.         0.23517962 0.13202512 0.13610733 0.         0.10727307
 0.        ]",0.923283121191036,1.0385405198815216,0.15910629048576094,0.10647236609054413,0.0,0.1238362059737452,0.0,0.0,0.23517961728274628,0.1320251196376926,0.1361073332214325,0.0,0.10727306730807853,0.0,0.0
149,2014-08-08,"[0.         0.15872587 0.10645225 0.         0.12406226 0.
 0.         0.23522897 0.13228037 0.13591127 0.         0.10733902
 0.        ]",0.9313413343176669,1.045178838710056,0.1587258668566534,0.10645224938176108,0.0,0.12406225804252971,0.0,0.0,0.2352289689253608,0.13228036627329967,0.13591126868153386,0.0,0.1073390218388614,0.0,0.0
150,2014-08-11,"[0.         0.15868708 0.10639706 0.         0.12408804 0.
 0.         0.2352622  0.13223367 0.13594782 0.         0.10738412
 0.        ]",0.9220784229304595,1.036892743514173,0.15868708373861423,0.10639706317770926,0.0,0.12408804321227337,0.0,0.0,0.23526220158123698,0.1322336660237857,0.13594782247616652,0.0,0.10738411979021381,0.0,0.0
151,2014-08-12,"[0.         0.15875788 0.10645955 0.         0.12423329 0.
 0.         0.23517232 0.13236725 0.13575934 0.         0.10725038
 0.        ]",0.9444316542994815,1.0539237488714075,0.1587578767741256,0.10645955331781463,0.0,0.12423328615064154,0.0,0.0,0.23517232133511487,0.1323672470469708,0.1357593399648031,0.0,0.10725037541052942,0.0,0.0
152,2014-08-13,"[0.         0.16046383 0.1066469  0.         0.12401406 0.
 0.         0.23462661 0.13197083 0.13563131 0.         0.10664646
 0.        ]",0.9407114365529505,1.0525629270662613,0.1604638285089903,0.10664689733168235,0.0,0.12401406138026844,0.0,0.0,0.23462661044947328,0.1319708261013429,0.13563131325788708,0.0,0.10664646297035581,0.0,0.0
