,Date,Weights,Profit,Base Profit,TCF,JPM,UMBF,C,CVR,LECO,SPXC,PFIN,PHM,BZH,MTH,NVR,cash
668,2016-08-30,"[0.         0.12843837 0.09998184 0.14309695 0.         0.09892676
 0.0851692  0.18021355 0.         0.         0.         0.10726222
 0.1569111 ]",1.1239723217225848,1.0067946408384736,0.12843837003494354,0.09998183992887624,0.14309694799783992,0.0,0.09892676359648049,0.08516920173909162,0.180213554671661,0.0,0.0,0.0,0.10726221893099035,0.1569111031001169,0.0
669,2016-08-31,"[0.         0.12850143 0.09987962 0.14314643 0.         0.09916004
 0.08499275 0.17985881 0.         0.         0.         0.10739709
 0.15706383]",1.1218668292633602,1.0052529630909388,0.12850142859924743,0.09987962254638269,0.14314642638358074,0.0,0.0991600396341866,0.08499274515223132,0.17985881368965356,0.0,0.0,0.0,0.10739709185622522,0.1570638321384923,0.0
670,2016-09-01,"[0.         0.12854556 0.0998198  0.14315583 0.         0.0992907
 0.08486893 0.17965572 0.         0.         0.         0.10748903
 0.15717444]",1.124778915460955,1.0080471144336842,0.1285455636502723,0.09981979762711903,0.14315582890509246,0.0,0.09929070161836036,0.08486892746654909,0.1796557152987484,0.0,0.0,0.0,0.10748903016135664,0.15717443527250163,0.0
671,2016-09-02,"[0.         0.1285901  0.09979852 0.14312581 0.         0.09926797
 0.08480621 0.17958079 0.         0.         0.         0.10758468
 0.15724592]",1.1231002614065646,1.008121176958483,0.12859010329349477,0.09979851748219758,0.1431258129875873,0.0,0.09926797126595846,0.08480620610077566,0.17958078586860013,0.0,0.0,0.0,0.1075846780229281,0.15724592497845807,0.0
672,2016-09-06,"[0.         0.12866171 0.09980705 0.14307049 0.         0.09911936
 0.08480331 0.17955993 0.         0.         0.         0.10770578
 0.15727236]",1.126103768107445,1.006578797268884,0.128661713768773,0.09980705049947598,0.14307049287513604,0.0,0.09911935920400457,0.08480331078739556,0.17955993165770462,0.0,0.0,0.0,0.10770578235942935,0.15727235884808102,0.0
673,2016-09-07,"[0.         0.12872307 0.09981891 0.14302524 0.         0.09895095
 0.08481609 0.17955965 0.         0.         0.         0.10782131
 0.15728479]",1.1314277574316147,1.006810772044195,0.12872306601960762,0.09981890768536242,0.14302524162338784,0.0,0.09895095280672099,0.08481608767143982,0.17955964800894528,0.0,0.0,0.0,0.10782130802173495,0.157284788162801,0.0
674,2016-09-08,"[0.         0.12877476 0.09983076 0.14297583 0.         0.09884644
 0.08481284 0.17956024 0.         0.         0.         0.10790085
 0.15729829]",1.1239048780787573,1.0041081851278482,0.1287747577426275,0.09983075589100426,0.14297583446656278,0.0,0.09884644184849395,0.08481283692429832,0.1795602350228521,0.0,0.0,0.0,0.10790084822630878,0.1572982898778523,0.0
675,2016-09-09,"[0.         0.12881103 0.09981918 0.14296677 0.         0.09886728
 0.0847821  0.17949385 0.         0.         0.         0.1079407
 0.15731908]",1.1272294683868154,1.006427638913325,0.1288110307356789,0.09981917945504266,0.14296677112505732,0.0,0.09886728276600382,0.08478210440035966,0.1794938504593904,0.0,0.0,0.0,0.10794070496589626,0.15731907609257087,0.0
676,2016-09-12,"[0.         0.12884093 0.09980461 0.14296678 0.         0.09891426
 0.08475402 0.17943107 0.         0.         0.         0.10795382
 0.1573345 ]",1.122046396934885,1.0033015506859269,0.12884093152049717,0.09980461418182815,0.1429667788807578,0.0,0.09891426291269113,0.08475401646388903,0.17943107331175112,0.0,0.0,0.0,0.10795382358999639,0.15733449913858918,0.0
677,2016-09-13,"[0.         0.12880833 0.09976436 0.14295977 0.         0.09905483
 0.08462152 0.1794239  0.         0.         0.         0.10793175
 0.15743553]",1.0978856422953485,0.9850571665080368,0.12880833469109157,0.09976436248764715,0.1429597683928077,0.0,0.09905483106498215,0.08462152259393715,0.1794238965188694,0.0,0.0,0.0,0.10793175379639382,0.157435530454271,0.0
678,2016-09-14,"[0.         0.12883683 0.09976652 0.14295081 0.         0.09900841
 0.084629   0.17939579 0.         0.         0.         0.10797482
 0.15743781]",1.1020613839506663,0.9897321237273617,0.1288368285764196,0.09976652388832817,0.14295081022362569,0.0,0.09900840821762709,0.08462900459957816,0.1793957922990193,0.0,0.0,0.0,0.10797481852127656,0.1574378136741255,0.0
679,2016-09-15,"[0.         0.12886479 0.09976602 0.14293257 0.         0.09895662
 0.08462111 0.17939914 0.         0.         0.         0.10801341
 0.15744635]",1.0991952419298974,0.9855253626660259,0.12886478721336828,0.09976602058092529,0.14293256514348496,0.0,0.09895662406019631,0.08462110830829696,0.17939913745517336,0.0,0.0,0.0,0.1080134071078603,0.15744635013069455,0.0
680,2016-09-16,"[0.         0.12885905 0.09974521 0.14294746 0.         0.09904402
 0.08458004 0.17935832 0.         0.         0.         0.10799651
 0.15746939]",1.094150842843706,0.982762974982141,0.12885904856339706,0.09974521494721073,0.14294746374524497,0.0,0.09904401897960358,0.08458003641917808,0.17935831517058934,0.0,0.0,0.0,0.10799651128446898,0.15746939089030731,0.0
681,2016-09-19,"[0.         0.1288555  0.09973428 0.14295714 0.         0.0990534
 0.08455947 0.1793398  0.         0.         0.         0.10800914
 0.15749127]",1.096514599993625,0.9808787472017267,0.1288555016587276,0.09973427570630383,0.14295714256325165,0.0,0.09905340280494605,0.08455947036190106,0.17933979561551486,0.0,0.0,0.0,0.1080091400347115,0.15749127125464332,0.0
682,2016-09-20,"[0.         0.12883704 0.09972172 0.14294924 0.         0.09904806
 0.08450781 0.17936481 0.         0.         0.         0.10802844
 0.15754289]",1.1004926655100695,0.9790555728259308,0.128837037102749,0.0997217180987097,0.1429492362335068,0.0,0.09904806215929703,0.08450780759510554,0.17936480551842668,0.0,0.0,0.0,0.10802843979631091,0.15754289349589434,0.0
683,2016-09-21,"[0.         0.12884682 0.09972402 0.14294922 0.         0.09903884
 0.08452025 0.1793499  0.         0.         0.         0.10803558
 0.15753537]",1.1043621697578132,0.9827171885430368,0.12884682085991808,0.09972401899411908,0.14294922459849863,0.0,0.0990388361272142,0.08452024945264336,0.1793498962599409,0.0,0.0,0.0,0.10803558298499524,0.15753537072267043,0.0
684,2016-09-22,"[0.         0.12884186 0.09972482 0.14294328 0.         0.09903206
 0.08452079 0.17937721 0.         0.         0.         0.1080246
 0.15753536]",1.1031027746843012,0.9826471970244827,0.12884186051841787,0.0997248247511374,0.14294328392629177,0.0,0.09903206050274813,0.0845207935708577,0.17937721491909,0.0,0.0,0.0,0.10802459819360198,0.15753536361785503,0.0
685,2016-09-23,"[0.         0.12886527 0.09972317 0.14295421 0.         0.09908503
 0.08453049 0.17931607 0.         0.         0.         0.1080106
 0.15751517]",1.1160074738151795,0.9924597153303587,0.12886526550133875,0.0997231747252616,0.14295421108823236,0.0,0.09908502671248641,0.0845304859716852,0.17931606839167402,0.0,0.0,0.0,0.10801059537915132,0.1575151722301702,0.0
686,2016-09-26,"[0.         0.12889606 0.09973331 0.14296408 0.         0.09901955
 0.08458069 0.17928357 0.         0.         0.         0.10804568
 0.15747707]",1.1207130377837533,0.9958396527777604,0.12889606253631936,0.09973330787281567,0.14296407590818677,0.0,0.09901954867077947,0.08458068549142968,0.1792835689898929,0.0,0.0,0.0,0.10804568103502768,0.1574770694955484,0.0
687,2016-09-27,"[0.         0.12887102 0.09973666 0.14294123 0.         0.0990173
 0.08455184 0.17933431 0.         0.         0.         0.1080405
 0.15750715]",1.1055744436044277,0.9882867435829076,0.12887101900167847,0.09973665510154249,0.14294122620680647,0.0,0.09901729866004358,0.08455184311865796,0.17933431455724827,0.0,0.0,0.0,0.10804049660253943,0.1575071467514833,0.0
