,Date,Weights,Profit,Base Profit,LAWS,KAMN,WLFC,HDSN,XLNX,MXIM,KOPN,INTC,NBIX,BCRX,TTNP,TECH,cash
1149,2018-07-30,"[0.         0.         0.0971784  0.16538398 0.13107549 0.
 0.         0.22028279 0.15059937 0.         0.12570872 0.
 0.10977126]",1.6144772464492574,2.0106537998626517,0.0,0.09717839547679069,0.1653839829841045,0.13107548770707828,0.0,0.0,0.2202827904795581,0.15059936688400635,0.0,0.12570872111818127,0.0,0.1097712553502809,0.0
1150,2018-07-31,"[0.         0.         0.09674983 0.16554186 0.13214952 0.
 0.         0.22019939 0.1491649  0.         0.12554236 0.
 0.11065214]",1.5901415549552207,1.9874779448014996,0.0,0.09674983374606169,0.16554185749695957,0.13214952489489898,0.0,0.0,0.22019939165484403,0.14916489962944768,0.0,0.12554235752181206,0.0,0.11065213505597604,0.0
1151,2018-08-01,"[0.         0.         0.09731219 0.16585638 0.13242273 0.
 0.         0.21993698 0.14829262 0.         0.12521736 0.
 0.11096173]",1.5892117190454373,1.9261255533567845,0.0,0.09731219085926826,0.16585638163226668,0.13242272819984688,0.0,0.0,0.21993698470877635,0.14829262328250256,0.0,0.12521735929491665,0.0,0.11096173202242268,0.0
1152,2018-08-02,"[0.         0.         0.09762596 0.166392   0.13242208 0.
 0.         0.22010738 0.14786946 0.         0.12475253 0.
 0.11083059]",1.614166868472586,1.9876831497546972,0.0,0.09762596369024157,0.16639200154069245,0.13242207804993247,0.0,0.0,0.2201073804290787,0.1478694649047838,0.0,0.12475252547950895,0.0,0.11083058590576217,0.0
1153,2018-08-03,"[0.         0.         0.09827309 0.16724769 0.13170598 0.
 0.         0.22073613 0.1481057  0.         0.12394844 0.
 0.10998297]",1.6070221657082675,2.0406767478671513,0.0,0.09827309400925706,0.1672476899878718,0.13170598110389667,0.0,0.0,0.22073613387033006,0.14810569667764917,0.0,0.1239484385257863,0.0,0.10998296582520888,0.0
1154,2018-08-06,"[0.         0.         0.09889185 0.1674214  0.13179605 0.
 0.         0.22033709 0.14751026 0.         0.1237879  0.
 0.11025546]",1.6317113877261178,2.0702943288742364,0.0,0.0988918464155373,0.16742139805846437,0.13179605119263252,0.0,0.0,0.22033708969767588,0.14751025739310133,0.0,0.12378789505709704,0.0,0.1102554621854915,0.0
1155,2018-08-07,"[0.         0.         0.09903651 0.16759078 0.13169418 0.
 0.         0.22038866 0.14749983 0.         0.12365774 0.
 0.11013231]",1.6104908440906258,2.07250289426624,0.0,0.09903650912313769,0.16759078077827555,0.131694182806772,0.0,0.0,0.22038865621121748,0.14749982594184963,0.0,0.123657738662316,0.0,0.11013230647643177,0.0
1156,2018-08-08,"[0.         0.         0.10006789 0.16655923 0.13081322 0.
 0.         0.21970717 0.14840123 0.         0.12422053 0.
 0.11023073]",1.578046635276808,2.094906288292271,0.0,0.10006788512418428,0.1665592340319153,0.13081321830903894,0.0,0.0,0.2197071680258441,0.1484012302111412,0.0,0.1242205327024655,0.0,0.11023073159541054,0.0
1157,2018-08-09,"[0.         0.         0.10016449 0.16577843 0.13058081 0.
 0.         0.21927043 0.14907121 0.         0.12476372 0.
 0.1103709 ]",1.5690549066508206,2.103865229393915,0.0,0.10016448918031517,0.16577843362953024,0.13058081320289494,0.0,0.0,0.21927042609399358,0.1490712114291461,0.0,0.12476372471681935,0.0,0.1103709017473006,0.0
1158,2018-08-10,"[0.         0.         0.10058494 0.16610926 0.13010161 0.
 0.         0.21945869 0.14946079 0.         0.12446978 0.
 0.10981493]",1.5579773640963046,2.1197240320864794,0.0,0.10058494416565678,0.16610925982693675,0.13010161120660402,0.0,0.0,0.2194586881508865,0.1494607925087276,0.0,0.12446977609773277,0.0,0.10981492804345554,0.0
