,Date,Weights,Profit,Base Profit,KAMN,LAWS,WLFC,HDSN,BCRX,TTNP,TECH,NBIX,SUP,STRT,DORM,MOD,cash
1340,2019-05-03,"[0.         0.07590956 0.         0.1134313  0.         0.19849052
 0.19610083 0.         0.10984185 0.         0.07827059 0.06899681
 0.15895855]",2.3582929461587003,1.6882529858048025,0.07590955918191435,0.0,0.11343129564086715,0.0,0.1984905157866257,0.1961008304996676,0.0,0.10984185202592936,0.0,0.07827059357169662,0.06899680744801975,0.15895854584527946,0.0
1341,2019-05-06,"[0.         0.06349374 0.06229261 0.10998586 0.         0.18468963
 0.17975863 0.         0.11706296 0.         0.07280737 0.06682071
 0.1430885 ]",2.3999443501344517,1.7160861973716768,0.06349374146730673,0.06229261308092666,0.1099858570206765,0.0,0.18468962638772102,0.17975862958752978,0.0,0.11706295544156979,0.0,0.07280737108755293,0.06682070629870027,0.14308849962801656,0.0
1342,2019-05-07,"[0.         0.         0.07370122 0.11405866 0.         0.19764212
 0.18909254 0.         0.13104358 0.         0.07907392 0.0678422
 0.14754576]",2.4158332170281898,1.7341058832088216,0.0,0.07370121940713356,0.1140586617264048,0.0,0.19764212231681902,0.18909253667088816,0.0,0.13104357551792406,0.0,0.07907392297383925,0.06784219759236107,0.14754576379463005,0.0
1343,2019-05-08,"[0.         0.         0.08085634 0.11813395 0.         0.21452416
 0.20251173 0.         0.14416885 0.         0.08647819 0.
 0.15332678]",2.439936968188971,1.7401459281216238,0.0,0.0808563377264502,0.11813395068404828,0.0,0.21452415807869774,0.20251173259762487,0.0,0.14416885108738717,0.0,0.08647819344673237,0.0,0.15332677637905934,0.0
1344,2019-05-09,"[0.         0.         0.08248592 0.1160385  0.         0.21706661
 0.20256656 0.         0.14619518 0.         0.08746542 0.
 0.1481818 ]",2.4030136076525888,1.7356905666564864,0.0,0.08248592243235547,0.11603849634971565,0.0,0.21706661016203194,0.2025665626168005,0.0,0.14619518457601824,0.0,0.08746541890211304,0.0,0.1481818049609652,0.0
1345,2019-05-10,"[0.         0.         0.07943279 0.12206142 0.         0.22114187
 0.20424246 0.         0.14490076 0.         0.08820132 0.
 0.14001938]",2.4037085975050134,1.7395755343518964,0.0,0.07943279122715956,0.12206141990060883,0.0,0.22114187260073204,0.20424245751033362,0.0,0.1449007578664605,0.0,0.0882013243171497,0.0,0.14001937657755573,0.0
1346,2019-05-13,"[0.         0.0750424  0.0707463  0.13294262 0.         0.19460841
 0.18797763 0.         0.12015453 0.         0.07245872 0.
 0.14606938]",2.431250902625583,1.7495934516756528,0.07504240111861983,0.07074629975520594,0.1329426168087741,0.0,0.1946084123649545,0.18797763079465726,0.0,0.12015452987950243,0.0,0.07245872457592954,0.0,0.14606938470235642,0.0
1347,2019-05-14,"[0.         0.0824424  0.07004334 0.13554073 0.         0.19059643
 0.18505738 0.         0.11799656 0.         0.07138433 0.
 0.14693881]",2.4214533827434663,1.7255524271888467,0.08244240156905426,0.07004334313107437,0.1355407330549129,0.0,0.1905964349487159,0.18505738474594213,0.0,0.11799655602259446,0.0,0.0713843318922955,0.0,0.14693881463541056,0.0
1348,2019-05-15,"[0.         0.08199978 0.07122215 0.13461535 0.         0.19111836
 0.18487902 0.         0.1190989  0.         0.07205803 0.
 0.14500842]",2.393807248417273,1.7330096931634464,0.08199977779595066,0.07122215223800987,0.13461534998189098,0.0,0.191118358313288,0.1848790188358298,0.0,0.11909889586569543,0.0,0.07205803107894525,0.0,0.14500841589038999,0.0
1349,2019-05-16,"[0.         0.08022469 0.06832405 0.13453777 0.         0.19300257
 0.18417676 0.         0.12215528 0.         0.0718223  0.
 0.14575658]",2.4069741518184244,1.7571881310219803,0.08022469427612722,0.06832404604791137,0.13453777365257044,0.0,0.19300257196755252,0.18417675896993008,0.0,0.12215527679656348,0.0,0.07182230062535938,0.0,0.1457565776639856,0.0
1350,2019-05-17,"[0.         0.07004119 0.08681815 0.1282529  0.         0.18889837
 0.16660149 0.         0.1264261  0.         0.06600541 0.062998
 0.1039584 ]",2.4560950291567085,1.7881851136168787,0.07004118628797035,0.08681814994875625,0.1282529001671402,0.0,0.18889836793657028,0.16660148610706854,0.0,0.12642609716389885,0.0,0.06600541289191647,0.06299800304652477,0.1039583964501542,0.0
1351,2019-05-20,"[0.         0.06959316 0.08919504 0.1276141  0.         0.18886048
 0.1646405  0.         0.12717652 0.         0.06617105 0.067117
 0.09963213]",2.3700828854498024,1.769996854260547,0.06959316187064672,0.08919503820116069,0.12761410400464587,0.0,0.18886047969948014,0.1646405049285461,0.0,0.12717652482916592,0.0,0.06617105429527816,0.06711699742182184,0.0996321347492548,0.0
1352,2019-05-21,"[0.         0.06998355 0.08986082 0.12773446 0.         0.18912212
 0.16427693 0.         0.12729259 0.         0.06641728 0.06712912
 0.09818314]",2.3355282536890702,1.7567574803399448,0.069983552551321,0.0898608174318063,0.1277344592693382,0.0,0.18912211510755425,0.16427692893144186,0.0,0.1272925926099313,0.0,0.06641727752287414,0.06712912071014836,0.09818313586558458,0.0
1353,2019-05-22,"[0.         0.0696131  0.09027548 0.12737254 0.         0.18969647
 0.16419295 0.         0.12805462 0.         0.06691131 0.06670611
 0.09717742]",2.123810047680979,1.7318557870971893,0.06961310424455544,0.09027547568117955,0.12737253943468163,0.0,0.18969647279638177,0.16419295098505068,0.0,0.12805462253204072,0.0,0.0669113083093445,0.06670610800085597,0.09717741801590986,0.0
1354,2019-05-23,"[0.         0.06587156 0.09278315 0.12733382 0.         0.19259189
 0.16287237 0.         0.1301561  0.         0.06809238 0.06631088
 0.09398785]",2.111641958559345,1.7174448171158396,0.06587155657571998,0.09278314798402677,0.1273338249500109,0.0,0.1925918889053822,0.16287237297281856,0.0,0.13015609986044185,0.0,0.06809238211616837,0.06631087627022374,0.09398785036520761,0.0
1355,2019-05-24,"[0.         0.06552422 0.09308041 0.12714601 0.         0.19317372
 0.1627142  0.         0.13042015 0.         0.06831317 0.06611436
 0.09351377]",2.04243563150102,1.7103296687020177,0.06552421551573068,0.09308040726678452,0.12714601073833004,0.0,0.1931737174656931,0.1627141972014575,0.0,0.13042014565554536,0.0,0.06831317489151588,0.06611436323215433,0.0935137680327887,0.0
1356,2019-05-28,"[0.         0.06502696 0.09315243 0.12644931 0.         0.19368056
 0.1630268  0.         0.1310268  0.         0.06882653 0.0657485
 0.09306211]",2.071666198564315,1.7121981849377865,0.06502695594317721,0.09315243039615458,0.1264493074233478,0.0,0.19368056217586285,0.1630267973452769,0.0,0.13102680456798713,0.0,0.06882653078554063,0.06574850063531197,0.0930621107273409,0.0
1357,2019-05-29,"[0.         0.06434634 0.09320189 0.12608222 0.         0.19396023
 0.16315904 0.         0.13140682 0.         0.06909109 0.06565229
 0.09310008]",2.060959639454719,1.7265119171267376,0.0643463410295008,0.09320189469892792,0.12608222059190716,0.0,0.19396023312404012,0.1631590393782433,0.0,0.13140681823801334,0.0,0.06909108647963566,0.06565228753101011,0.0931000789287216,0.0
1358,2019-05-30,"[0.         0.06452867 0.0933387  0.12619004 0.         0.19425322
 0.16320057 0.         0.13128954 0.         0.0694089  0.06536587
 0.09242449]",1.984146373908556,1.692878132083429,0.06452866734426427,0.093338696700051,0.12619004443350945,0.0,0.19425321528337672,0.16320056929689014,0.0,0.13128953873830493,0.0,0.06940890440568212,0.06536587137396614,0.0924244924239553,0.0
1359,2019-05-31,"[0.         0.06440829 0.09312172 0.12620029 0.         0.19472057
 0.16336824 0.         0.13138316 0.         0.06985574 0.06503078
 0.0919112 ]",1.9602386296298422,1.6818847178551026,0.06440829064420699,0.09312172104027283,0.12620029302921107,0.0,0.19472057061858364,0.16336824375369288,0.0,0.1313831639655315,0.0,0.06985573757168846,0.06503078270706013,0.09191119666975249,0.0
1360,2019-06-03,"[0.         0.06541392 0.09282143 0.12621406 0.         0.19370062
 0.16405381 0.         0.13008896 0.         0.06932684 0.06531424
 0.09306614]",1.9733295080642803,1.7005153892819325,0.06541391643035255,0.0928214261299239,0.12621405795823998,0.0,0.19370062223962178,0.16405380610542003,0.0,0.13008895838061205,0.0,0.06932684176927938,0.0653142358710056,0.09306613511554465,0.0
1361,2019-06-04,"[0.         0.06625366 0.09255165 0.12639882 0.         0.19317733
 0.16446679 0.         0.12925862 0.         0.06915878 0.06526496
 0.09346939]",1.9954259322273808,1.7233098493617691,0.06625365855845916,0.09255164629468443,0.12639882184514045,0.0,0.19317733126210504,0.1644667862401851,0.0,0.12925861745583037,0.0,0.06915878462587116,0.06526496487298314,0.09346938884474135,0.0
