,Date,Weights,Profit,Base Profit,Volume,PCAR,F,SPAR,OSK,TTNP,NBIX,TECH,BCRX,COHR,BIO,WAT,PKI,cash
938,2017-09-26,"[0.13383085 0.         0.         0.         0.         0.20663321
 0.15516515 0.24461769 0.         0.13215739 0.12759568 0.
 0.        ]",1.6885758508787225,1.885324449488464,0.024570505801085378,0.0,0.0,0.0,0.0,0.20663321018218994,0.1551651507616043,0.24461768567562103,0.0,0.13215738534927368,0.1275956779718399,0.0,0.0,0.13383084535598755
939,2017-09-27,"[0.1335622  0.         0.         0.         0.         0.20685655
 0.1546943  0.2447302  0.         0.13261522 0.12754153 0.
 0.        ]",1.6849368420788504,1.8838052851377056,0.006245305284920268,0.0,0.0,0.0,0.0,0.20685654878616333,0.1546943038702011,0.24473020434379578,0.0,0.13261522352695465,0.12754152715206146,0.0,0.0,0.13356220722198486
940,2017-09-28,"[0.13372807 0.         0.         0.         0.         0.20690739
 0.15346105 0.24496979 0.         0.13325769 0.12767603 0.
 0.        ]",1.678655392406502,1.8631146619143766,0.011311873808349136,0.0,0.0,0.0,0.0,0.20690739154815674,0.1534610539674759,0.24496978521347046,0.0,0.1332576870918274,0.12767602503299713,0.0,0.0,0.13372807204723358
941,2017-09-29,"[0.1357167  0.         0.         0.         0.         0.21030721
 0.1515686  0.24208346 0.         0.13414322 0.12618075 0.
 0.        ]",1.7102384794018617,1.8814660132957401,0.014171198592858243,0.0,0.0,0.0,0.0,0.21030721068382263,0.15156860649585724,0.24208346009254456,0.0,0.13414321839809418,0.1261807531118393,0.0,0.0,0.13571670651435852
942,2017-10-02,"[0.13621232 0.         0.         0.         0.         0.20963565
 0.15076621 0.24279383 0.         0.13401307 0.1265789  0.
 0.        ]",1.703371948249673,1.8805280465227212,0.029981488723692325,0.0,0.0,0.0,0.0,0.2096356451511383,0.15076620876789093,0.24279382824897766,0.0,0.1340130716562271,0.1265788972377777,0.0,0.0,0.1362123191356659
943,2017-10-03,"[0.13598804 0.         0.         0.         0.         0.20994493
 0.15026905 0.24279255 0.         0.13443346 0.12657192 0.
 0.        ]",1.709012808967214,1.8966668370392863,0.01137498163434624,0.0,0.0,0.0,0.0,0.2099449336528778,0.1502690464258194,0.242792546749115,0.0,0.13443346321582794,0.126571923494339,0.0,0.0,0.1359880417585373
944,2017-10-04,"[0.13700727 0.         0.         0.         0.         0.2084922
 0.15009375 0.24356927 0.         0.13368014 0.1271574  0.
 0.        ]",1.7507356968319598,1.9279064644629127,0.017358200209211277,0.0,0.0,0.0,0.0,0.2084922045469284,0.15009374916553497,0.2435692697763443,0.0,0.13368013501167297,0.12715740501880646,0.0,0.0,0.13700726628303528
945,2017-10-05,"[0.13666502 0.         0.         0.         0.         0.20923941
 0.15071537 0.2427581  0.         0.13397822 0.1266439  0.
 0.        ]",1.7803764747238688,1.9297392890665772,0.03595146051426198,0.0,0.0,0.0,0.0,0.2092394083738327,0.15071536600589752,0.24275809526443481,0.0,0.1339782178401947,0.12664389610290527,0.0,0.0,0.13666501641273499
946,2017-10-06,"[0.13695352 0.         0.         0.         0.         0.20907559
 0.15086746 0.24262767 0.         0.13382958 0.12664616 0.
 0.        ]",1.7608282892825418,1.9550866696471116,0.04209115030300361,0.0,0.0,0.0,0.0,0.20907558500766754,0.15086746215820312,0.24262766540050507,0.0,0.13382957875728607,0.12664616107940674,0.0,0.0,0.13695351779460907
947,2017-10-09,"[0.13673168 0.         0.         0.         0.         0.20918335
 0.1506965  0.24280897 0.         0.13393873 0.1266408  0.
 0.        ]",1.797021850557552,1.9401079890689177,0.06176843794100126,0.0,0.0,0.0,0.0,0.20918335020542145,0.1506965011358261,0.2428089678287506,0.0,0.133938729763031,0.12664079666137695,0.0,0.0,0.13673168420791626
