,Date,Weights,Profit,Base Profit,SPXC,CVR,LECO,PFIN,EAT,MCD,PZZA,JACK,TRT,ASYS,VECO,IVAC,cash
438,2015-10-01,"[0.         0.         0.         0.11743418 0.11358047 0.27147104
 0.         0.12741561 0.15002325 0.         0.         0.22007545
 0.        ]",1.0110500649192784,0.9489882136929733,0.0,0.0,0.11743418459903938,0.1135804731834585,0.2714710429839719,0.0,0.12741560648998904,0.1500232469168267,0.0,0.0,0.22007544582671446,0.0,0.0
439,2015-10-02,"[0.         0.         0.         0.11833902 0.11885039 0.26970496
 0.         0.12750652 0.14240895 0.         0.         0.22319016
 0.        ]",1.0112508828078681,0.9479172803617413,0.0,0.0,0.11833901610130651,0.11885039237454365,0.2697049573065803,0.0,0.1275065216447016,0.14240895387154212,0.0,0.0,0.22319015870132586,0.0,0.0
440,2015-10-05,"[0.         0.         0.         0.11837984 0.11934642 0.26880976
 0.         0.12754576 0.14154506 0.         0.         0.22437316
 0.        ]",0.9809453609010006,0.9283986772534956,0.0,0.0,0.11837983978797229,0.11934641764349291,0.26880976352772945,0.0,0.12754575917703304,0.1415450610918857,0.0,0.0,0.22437315877188657,0.0,0.0
441,2015-10-06,"[0.         0.         0.         0.1183314  0.11863436 0.26878754
 0.         0.12683247 0.14231706 0.         0.         0.22509718
 0.        ]",1.0113186671459549,0.9513052238843108,0.0,0.0,0.11833139572270704,0.11863435552308657,0.26878753606610695,0.0,0.1268324651283462,0.1423170626422043,0.0,0.0,0.22509718491754876,0.0,0.0
442,2015-10-07,"[0.         0.         0.         0.11839086 0.11822165 0.2687722
 0.         0.12621233 0.14263925 0.         0.         0.22576371
 0.        ]",1.0285953606761835,0.963713964503412,0.0,0.0,0.11839086491593705,0.1182216481498929,0.2687721992003681,0.0,0.12621232834272542,0.14263925097075172,0.0,0.0,0.2257637084203248,0.0,0.0
443,2015-10-08,"[0.         0.         0.         0.11846506 0.11818705 0.26887225
 0.         0.12592828 0.14279456 0.         0.         0.2257528
 0.        ]",1.0197042573041577,0.9609050525600529,0.0,0.0,0.11846506066790943,0.11818704814346194,0.2688722518060385,0.0,0.12592828360780803,0.14279456023547768,0.0,0.0,0.22575279553930444,0.0,0.0
444,2015-10-09,"[0.         0.         0.         0.11855623 0.11815712 0.26896293
 0.         0.12577434 0.14286772 0.         0.         0.22568166
 0.        ]",1.0151641992241591,0.956073072724471,0.0,0.0,0.11855623478424523,0.11815712494723303,0.26896292545073724,0.0,0.12577433948272299,0.14286772009228937,0.0,0.0,0.22568165524277214,0.0,0.0
445,2015-10-12,"[0.         0.         0.         0.11879918 0.11806845 0.26914159
 0.         0.12499857 0.14307995 0.         0.         0.22591226
 0.        ]",1.0257549460333952,0.969743931616253,0.0,0.0,0.11879917927680662,0.11806844872707489,0.26914159265779986,0.0,0.12499856928563087,0.14307995185671638,0.0,0.0,0.22591225819597147,0.0,0.0
446,2015-10-13,"[0.         0.         0.         0.11880128 0.11795002 0.26928921
 0.         0.12502049 0.14311494 0.         0.         0.22582406
 0.        ]",1.0264499980608903,0.9716882101923145,0.0,0.0,0.11880128483207247,0.11795001848638495,0.2692892056150736,0.0,0.12502049264765,0.14311494278611983,0.0,0.0,0.22582405563269922,0.0,0.0
447,2015-10-14,"[0.         0.         0.         0.11887158 0.11799371 0.26951265
 0.         0.12502435 0.14316462 0.         0.         0.22543309
 0.        ]",1.0238018022817654,0.9695726558786693,0.0,0.0,0.11887157849482187,0.11799371013339714,0.26951264961959503,0.0,0.1250243526014467,0.14316461676636083,0.0,0.0,0.22543309238437853,0.0,0.0
