,Date,Weights,Profit,Base Profit,Volume,TCF,UMBF,C,JPM,UVV,PYX,STKL,ANDE,EBIX,UIS,STRM,JKHY,cash
170,2014-09-09,"[0.         0.09974431 0.11226019 0.10328843 0.12203687 0.
 0.09763846 0.09950366 0.09917301 0.16325338 0.         0.10310168
 0.        ]",0.9360755963822943,0.9618288274125043,0.011838779366029681,0.09974431243420845,0.11226019283014296,0.10328843423196853,0.12203686820234645,0.0,0.09763846118389652,0.0995036639773904,0.09917301137601643,0.16325338058861488,0.0,0.1031016751754155,0.0,0.0
171,2014-09-10,"[0.         0.09972912 0.11223237 0.10307439 0.12180807 0.
 0.0975752  0.09924029 0.09923911 0.16309929 0.         0.10400216
 0.        ]",0.9424819519062052,0.965069809008177,0.005595331406952117,0.09972912285164882,0.11223237160473862,0.10307439008317754,0.1218080684996177,0.0,0.09757520148815453,0.09924029026899729,0.09923910825603775,0.16309929036367185,0.0,0.104002156583956,0.0,0.0
172,2014-09-11,"[0.         0.09965843 0.11221266 0.1029437  0.12159975 0.
 0.09730542 0.0994312  0.09897431 0.16356829 0.         0.10430624
 0.        ]",0.9367778607907274,0.9593857080680164,0.012109395981091849,0.09965842607253862,0.11221265923588866,0.10294370143625131,0.1215997532548394,0.0,0.09730542306066785,0.0994312038881449,0.09897430670084653,0.16356829098586187,0.0,0.10430623536496081,0.0,0.0
173,2014-09-12,"[0.         0.09958875 0.11209389 0.10301338 0.12186202 0.
 0.09747374 0.09927039 0.09902992 0.16347972 0.         0.10418819
 0.        ]",0.9250443517716668,0.9529180886468046,0.008930570114630543,0.0995887531636464,0.11209389469365809,0.10301337552619896,0.12186201648981705,0.0,0.09747373726858116,0.09927039420925349,0.09902991885437089,0.16347971891063245,0.0,0.10418819088384156,0.0,0.0
174,2014-09-15,"[0.         0.09980153 0.11259035 0.10321651 0.12203788 0.
 0.09797913 0.09940519 0.0989823  0.16371299 0.         0.10227412
 0.        ]",0.9271998980087085,0.9569346862955735,0.025456416191918806,0.09980153414346608,0.11259034905444719,0.10321650776302961,0.12203787944000272,0.0,0.0979791260037031,0.09940518837536669,0.09898230450730267,0.16371299274818654,0.0,0.10227411796449529,0.0,0.0
175,2014-09-16,"[0.         0.10053981 0.11474156 0.10282739 0.12303281 0.
 0.09654476 0.09675525 0.09844087 0.16379231 0.         0.10332523
 0.        ]",0.9253818168763193,0.9532964381373225,0.01352908573045243,0.10053980984519562,0.11474156286161509,0.10282739354325997,0.12303280971221336,0.0,0.09654475874193674,0.09675525105808254,0.0984408685826459,0.1637923115821011,0.0,0.10332523407294976,0.0,0.0
176,2014-09-17,"[0.         0.10032157 0.11467075 0.10273941 0.12311569 0.
 0.0963722  0.09639589 0.0985279  0.16379726 0.         0.10405933
 0.        ]",0.9076900687536037,0.9370271432810062,0.005918097763636403,0.10032156677860998,0.11467075056990857,0.10273940939504146,0.12311568928644319,0.0,0.09637220331442146,0.09639588841254802,0.09852790166371656,0.16379726480069687,0.0,0.10405932577861382,0.0,0.0
177,2014-09-18,"[0.         0.10048627 0.11470464 0.10278759 0.12342627 0.
 0.0960443  0.09641636 0.09868371 0.16404292 0.         0.10340794
 0.        ]",0.9063392036448296,0.9357504313826529,0.011610100937792954,0.1004862689112804,0.11470463655720553,0.10278759497800966,0.12342626658865571,0.0,0.09604429797869377,0.09641636001427627,0.09868371269780891,0.16404291765989162,0.0,0.1034079446141782,0.0,0.0
178,2014-09-19,"[0.         0.10041722 0.11468598 0.10271929 0.1232873  0.
 0.09604111 0.0964099  0.0987803  0.16392547 0.         0.10373342
 0.        ]",0.9080248638783048,0.9351216776154839,0.006788462710532116,0.10041721833148025,0.11468597947450009,0.10271929305803729,0.12328729698490602,0.0,0.09604111136554803,0.09640990236438358,0.09878030118654849,0.16392547287478867,0.0,0.10373342435980763,0.0,0.0
179,2014-09-22,"[0.         0.10040052 0.11470548 0.10269956 0.12329626 0.
 0.09649088 0.09641747 0.0985102  0.16359486 0.         0.10388479
 0.        ]",0.9184911311848337,0.9424891284354985,0.005128890260781055,0.10040051633683633,0.11470547511761792,0.10269956004953458,0.1232962562088672,0.0,0.0964908760599466,0.09641746627550703,0.09851020321865828,0.16359485814668767,0.0,0.10388478858634442,0.0,0.0
180,2014-09-23,"[0.         0.10040562 0.11479585 0.10276622 0.12324689 0.
 0.096423   0.0964345  0.09834415 0.16389315 0.         0.10369061
 0.        ]",0.9107878093640377,0.937119198314462,0.005894364568302913,0.10040562228493154,0.11479585301023626,0.1027662195129785,0.12324688793513083,0.0,0.0964230042353414,0.09643450228998936,0.09834414700655096,0.16389315311316222,0.0,0.10369061061167882,0.0,0.0
181,2014-09-24,"[0.         0.10041472 0.11464874 0.10263637 0.12306011 0.
 0.09721761 0.09642039 0.09840572 0.16374545 0.         0.10345089
 0.        ]",0.9011908188437329,0.9275072122631651,0.012562296866366276,0.10041472109575784,0.11464873623156889,0.10263637267054766,0.12306011385952331,0.0,0.09721760889522041,0.09642038779337397,0.09840572426999777,0.16374544828035445,0.0,0.10345088690365564,0.0,0.0
182,2014-09-25,"[0.         0.10033899 0.114768   0.10263365 0.12326635 0.
 0.09651978 0.09623803 0.09843349 0.16372327 0.         0.10407843
 0.        ]",0.8964809578846746,0.9240398541795816,0.007493468540908949,0.10033899445548118,0.11476800398721343,0.10263364864175167,0.12326634989678864,0.0,0.09651978382023843,0.09623802938063304,0.09843349047256222,0.16372327420396435,0.0,0.10407842514136693,0.0,0.0
183,2014-09-26,"[0.         0.10040263 0.11471326 0.10277495 0.12337834 0.
 0.09657884 0.09626423 0.09856619 0.16321147 0.         0.10411008
 0.        ]",0.9009098644802772,0.9274565264235994,0.010827180493622602,0.1004026335806032,0.11471325985590958,0.10277495368105437,0.1233783446951699,0.0,0.09657883908858418,0.09626422828452762,0.09856618848005484,0.16321147109810794,0.0,0.10411008123598843,0.0,0.0
184,2014-09-29,"[0.         0.10044191 0.11474072 0.1027276  0.12317829 0.
 0.09627304 0.09634231 0.09873867 0.16336464 0.         0.10419282
 0.        ]",0.8908030404025525,0.9172329526576183,0.0076465565240206425,0.10044191155275656,0.11474072245173965,0.10272759884213631,0.12317829045092316,0.0,0.09627303655905896,0.09634231060848229,0.09873866553890061,0.16336464299109457,0.0,0.10419282100490793,0.0,0.0
185,2014-09-30,"[0.         0.10066187 0.11498347 0.10254578 0.1229682  0.
 0.09646795 0.09598832 0.09832957 0.16421815 0.         0.10383669
 0.        ]",0.8848301273910308,0.9119088693052151,0.006736283302556424,0.1006618696089441,0.11498346995740484,0.10254578368083345,0.12296819807240211,0.0,0.09646794895685513,0.09598832454331813,0.09832956939385587,0.1642181490326434,0.0,0.10383668675374304,0.0,0.0
186,2014-10-01,"[0.         0.10060369 0.11495774 0.10283643 0.12286222 0.
 0.09619851 0.09599399 0.09830419 0.16408793 0.         0.1041553
 0.        ]",0.8963722232863619,0.9230597628392744,0.007426394395436943,0.10060369083171586,0.11495774467094783,0.10283642558330872,0.12286221670950573,0.0,0.09619851186218321,0.09599398879883335,0.09830419424319549,0.1640879256342168,0.0,0.1041553016660931,0.0,0.0
