,Date,Weights,Profit,Base Profit,Volume,AMS,PMD,LH,DGX,WLFC,KAMN,LAWS,HDSN,JNJ,BMY,PFE,ABT,cash
165,2014-09-02,"[0.07986269 0.08657143 0.08151209 0.08020809 0.08261085 0.
 0.08403639 0.08342928 0.08550427 0.08554823 0.07953273 0.08711051
 0.08407344]",1.0781690989693544,1.0771978652307694,0.006035913974744127,0.08657142519950867,0.08151208609342575,0.08020808547735214,0.0826108455657959,0.0,0.08403638750314713,0.08342927694320679,0.08550427109003067,0.08554822951555252,0.07953272759914398,0.08711051195859909,0.08407343924045563,0.07986269146203995
166,2014-09-03,"[0.07982737 0.0864742  0.08154234 0.08019543 0.08269146 0.
 0.08402411 0.08347659 0.08547772 0.08552372 0.07956706 0.08712618
 0.08407381]",1.0809231882332302,1.078699078639172,0.0048224004595020025,0.08647420257329941,0.08154233545064926,0.08019542694091797,0.08269146084785461,0.0,0.0840241089463234,0.08347658812999725,0.08547771722078323,0.08552372455596924,0.0795670598745346,0.08712618052959442,0.08407381176948547,0.07982736825942993
167,2014-09-04,"[0.07984874 0.08656836 0.0814876  0.08017105 0.08262837 0.
 0.08403274 0.08346783 0.08547126 0.08552348 0.07950405 0.08722043
 0.08407612]",1.0836597347128611,1.084333644592842,0.00768822050883215,0.08656836301088333,0.08148760348558426,0.08017104864120483,0.08262836933135986,0.0,0.08403273671865463,0.08346782624721527,0.0854712575674057,0.08552347868680954,0.07950405031442642,0.08722043037414551,0.08407612144947052,0.07984873652458191
168,2014-09-05,"[0.0798201  0.08650979 0.08150281 0.08017732 0.08269806 0.
 0.08405986 0.08344104 0.08549072 0.0855153  0.07954787 0.0871542
 0.08408294]",1.0897613071520302,1.0897396437096747,0.0101650533861506,0.08650979399681091,0.08150281012058258,0.08017732203006744,0.08269806206226349,0.0,0.08405985683202744,0.08344104140996933,0.08549071848392487,0.08551529794931412,0.07954787462949753,0.08715420216321945,0.0840829387307167,0.07982009649276733
169,2014-09-08,"[0.07979214 0.08664665 0.08156759 0.08027038 0.0825913  0.
 0.08409897 0.08340441 0.08553189 0.08546952 0.07952041 0.0870797
 0.08402702]",1.0878720614925803,1.088998473538076,0.006761137870220543,0.08664664626121521,0.08156758546829224,0.08027037978172302,0.08259129524230957,0.0,0.08409897238016129,0.08340440690517426,0.08553189039230347,0.08546952158212662,0.07952041178941727,0.08707970380783081,0.08402702212333679,0.07979214191436768
170,2014-09-09,"[0.07985552 0.08657098 0.08141034 0.08012786 0.08266511 0.
 0.08405636 0.08344488 0.08544043 0.08552417 0.07949015 0.08730222
 0.08411198]",1.0876484799885093,1.089738884623286,0.009210546472113395,0.08657097816467285,0.08141034096479416,0.08012785762548447,0.0826651081442833,0.0,0.08405636250972748,0.08344487845897675,0.08544042706489563,0.08552417159080505,0.07949014753103256,0.08730221539735794,0.08411198109388351,0.0798555240035057
171,2014-09-10,"[0.07987112 0.08656009 0.08141351 0.08010366 0.08263994 0.
 0.0840361  0.08349863 0.08544824 0.08551667 0.07946989 0.08734215
 0.08409999]",1.090778394616442,1.09353998515947,0.010632415961830672,0.08656008541584015,0.08141351491212845,0.08010365813970566,0.08263994008302689,0.0,0.08403610438108444,0.08349862694740295,0.0854482352733612,0.08551666885614395,0.07946988940238953,0.08734215050935745,0.08409999310970306,0.07987111806869507
172,2014-09-11,"[0.07986065 0.08653689 0.08136798 0.08005729 0.08266012 0.
 0.08407145 0.08349492 0.08539034 0.0855212  0.07951751 0.08737553
 0.08414614]",1.0842354968313814,1.0874581832879362,0.008977183578101922,0.08653689175844193,0.08136797696352005,0.0800572857260704,0.08266011625528336,0.0,0.08407144993543625,0.08349491655826569,0.08539034426212311,0.08552119880914688,0.07951751351356506,0.08737552911043167,0.08414614200592041,0.07986065000295639
173,2014-09-12,"[0.07986069 0.08649493 0.08139019 0.08005977 0.08265063 0.
 0.08406533 0.08354655 0.08537551 0.08550368 0.07950989 0.08739696
 0.08414588]",1.078826616040836,1.0810206589689133,0.01285113915080923,0.08649493008852005,0.08139019459486008,0.08005977421998978,0.08265063166618347,0.0,0.08406532555818558,0.08354654908180237,0.08537551015615463,0.08550367504358292,0.07950989156961441,0.08739695698022842,0.08414588123559952,0.07986069470643997
174,2014-09-15,"[0.07986394 0.08650783 0.08136464 0.08005046 0.08266509 0.
 0.08408412 0.08351067 0.08538646 0.08551068 0.07952517 0.08738065
 0.08415027]",1.081684311487172,1.084375553827017,0.009543953662302956,0.08650783449411392,0.08136463910341263,0.08005046099424362,0.0826650857925415,0.0,0.08408412337303162,0.08351066708564758,0.08538646250963211,0.08551067858934402,0.0795251727104187,0.08738064765930176,0.0841502696275711,0.07986393570899963
