,Date,Weights,Profit,Base Profit,Volume,TECH,TTNP,BCRX,NBIX,PMD,DGX,AMS,LH,BCPC,GRA,OLN,FMC,cash
701,2016-10-17,"[0.07921395 0.08772225 0.08411026 0.08641425 0.07866345 0.08640025
 0.07820872 0.0820675  0.0811358  0.08914826 0.08425744 0.
 0.0826579 ]",1.5094529737871922,1.4087317257694185,0.023960060114865678,0.08772224932909012,0.08411026000976562,0.08641424775123596,0.07866344600915909,0.08640024811029434,0.07820872217416763,0.08206750452518463,0.08113580197095871,0.08914826065301895,0.08425743877887726,0.0,0.08265790343284607,0.079213947057724
702,2016-10-18,"[0.07912397 0.08777021 0.08408128 0.08658168 0.07871497 0.08638194
 0.07831229 0.08205207 0.08111282 0.08904365 0.08417082 0.
 0.08265428]",1.4743337006118689,1.3653582342592174,0.019375612991663717,0.08777020871639252,0.08408128470182419,0.08658167719841003,0.07871497422456741,0.0863819420337677,0.07831228524446487,0.0820520669221878,0.0811128169298172,0.08904364705085754,0.08417081832885742,0.0,0.08265428245067596,0.07912397384643555
703,2016-10-19,"[0.07910407 0.08773743 0.08412483 0.08660159 0.07868303 0.08635484
 0.07831801 0.08203421 0.08109969 0.08906328 0.08418093 0.
 0.08269811]",1.490851694122675,1.385343950712274,0.03466892116963323,0.08773742616176605,0.08412482589483261,0.08660158514976501,0.0786830335855484,0.08635483682155609,0.07831800729036331,0.08203420788049698,0.08109968900680542,0.08906327933073044,0.08418092876672745,0.0,0.08269811421632767,0.07910406589508057
704,2016-10-20,"[0.07897995 0.08773077 0.08416246 0.086662   0.07870126 0.08643423
 0.0784138  0.08197431 0.0811294  0.08902006 0.08414689 0.
 0.08264489]",1.4968507966497517,1.4030411151092637,0.017860501857999086,0.0877307653427124,0.08416245877742767,0.08666200190782547,0.07870125770568848,0.08643423020839691,0.07841379940509796,0.08197430521249771,0.08112940192222595,0.08902005851268768,0.0841468870639801,0.0,0.08264489471912384,0.07897995412349701
705,2016-10-21,"[0.07892396 0.0877327  0.08418565 0.08670546 0.07871521 0.08643726
 0.07845601 0.08198745 0.08116362 0.08895816 0.08410531 0.
 0.08262917]",1.495501387712494,1.3936230845481283,0.022718228324243476,0.0877327024936676,0.0841856524348259,0.08670546114444733,0.07871521264314651,0.08643725514411926,0.07845600694417953,0.08198744803667068,0.08116362243890762,0.08895815908908844,0.08410530537366867,0.0,0.08262916654348373,0.07892396301031113
706,2016-10-24,"[0.07882559 0.08772501 0.08420218 0.0868301  0.07872141 0.08634788
 0.07856546 0.08193041 0.08118153 0.08896676 0.0841042  0.
 0.08259945]",1.5111572212197477,1.4107170270084868,0.016689015093723805,0.08772500604391098,0.08420217782258987,0.08683010190725327,0.07872141152620316,0.08634787797927856,0.07856546342372894,0.08193041384220123,0.08118153363466263,0.08896675705909729,0.08410420268774033,0.0,0.0825994536280632,0.07882558554410934
707,2016-10-25,"[0.07883448 0.08772892 0.0842144  0.08680704 0.07869069 0.08637813
 0.07854722 0.08193405 0.08117907 0.08898825 0.08410836 0.
 0.08258942]",1.5138769130482754,1.4147462075319457,0.025488117287292916,0.08772891759872437,0.08421439677476883,0.08680704236030579,0.07869069278240204,0.08637812733650208,0.07854721695184708,0.08193404972553253,0.08117906749248505,0.08898825198411942,0.08410836011171341,0.0,0.08258941769599915,0.07883448153734207
708,2016-10-26,"[0.07878107 0.08773319 0.08420604 0.08689764 0.07871753 0.08629248
 0.07861315 0.08193195 0.0811665  0.08897408 0.08410139 0.
 0.08258498]",1.5082644483695475,1.4008601839337933,0.011224954493012626,0.087733194231987,0.08420603722333908,0.08689764142036438,0.07871752977371216,0.08629248291254044,0.07861315459012985,0.0819319486618042,0.08116649836301804,0.08897408097982407,0.08410138636827469,0.0,0.08258497714996338,0.07878106832504272
709,2016-10-27,"[0.07880074 0.08770858 0.08420613 0.08683322 0.07872215 0.0863295
 0.07858125 0.08193492 0.08118446 0.0890286  0.08408117 0.
 0.08258926]",1.4866636540025788,1.389903680883884,0.017359295686982305,0.08770857751369476,0.08420613408088684,0.08683322370052338,0.07872214913368225,0.08632950484752655,0.07858125120401382,0.08193492144346237,0.08118446171283722,0.08902860432863235,0.08408117294311523,0.0,0.08258926123380661,0.0788007378578186
710,2016-10-28,"[0.07881641 0.08769897 0.08421201 0.08683486 0.07869366 0.08633296
 0.07856922 0.08193598 0.08115554 0.08902366 0.08411879 0.
 0.08260794]",1.5012915047212179,1.4005852369918417,0.02136928144760515,0.08769897371530533,0.08421200513839722,0.0868348553776741,0.07869365811347961,0.08633296191692352,0.07856921851634979,0.08193597942590714,0.08115553855895996,0.089023657143116,0.0841187909245491,0.0,0.0826079398393631,0.07881640642881393
