,Date,Weights,Profit,Base Profit,Volume,SUP,MOD,STRT,DORM,EAT,MCD,PZZA,JACK,MXIM,KOPN,XLNX,INTC,cash
241,2014-12-18,"[0.1660973  0.15424374 0.13182293 0.13644347 0.09272768 0.
 0.10112273 0.         0.         0.09214637 0.         0.12539577
 0.        ]",1.0590712424835185,1.1376305258618549,0.01782013746289626,0.15424373745918274,0.13182292878627777,0.13644346594810486,0.0927276760339737,0.0,0.10112272948026657,0.0,0.0,0.0921463668346405,0.0,0.1253957748413086,0.0,0.16609729826450348
242,2014-12-19,"[0.16660209 0.15430519 0.13182853 0.13654639 0.09250502 0.
 0.10092805 0.         0.         0.09210118 0.         0.12518354
 0.        ]",1.0803858938343058,1.1641463679867872,0.00917756154134376,0.15430518984794617,0.13182853162288666,0.13654638826847076,0.09250501543283463,0.0,0.10092804580926895,0.0,0.0,0.09210117906332016,0.0,0.12518353760242462,0.0,0.16660209000110626
243,2014-12-22,"[0.16708522 0.15416194 0.13183314 0.13694713 0.09242452 0.
 0.10017913 0.         0.         0.09181686 0.         0.12555203
 0.        ]",1.0722498541690795,1.158313960000671,0.010226454999756471,0.1541619449853897,0.13183313608169556,0.1369471251964569,0.09242451936006546,0.0,0.10017912834882736,0.0,0.0,0.09181685745716095,0.0,0.12555202841758728,0.0,0.1670852154493332
244,2014-12-23,"[0.16708204 0.15418196 0.13194472 0.13702357 0.09236159 0.
 0.10013851 0.         0.         0.09185384 0.         0.12541373
 0.        ]",1.076097862252529,1.1559310890199745,0.010608418813478855,0.15418195724487305,0.1319447159767151,0.13702356815338135,0.09236159175634384,0.0,0.10013850778341293,0.0,0.0,0.09185384213924408,0.0,0.12541373074054718,0.0,0.1670820415019989
245,2014-12-24,"[0.16730723 0.1545573  0.13196671 0.13669752 0.09211945 0.
 0.10008952 0.         0.         0.09195639 0.         0.12530585
 0.        ]",1.0916190242269441,1.1766178006316457,0.009014112842248,0.15455730259418488,0.1319667100906372,0.13669751584529877,0.09211944788694382,0.0,0.10008952021598816,0.0,0.0,0.09195639193058014,0.0,0.12530584633350372,0.0,0.16730722784996033
246,2014-12-26,"[0.16706935 0.15432914 0.13202457 0.136832   0.09221249 0.
 0.10020298 0.         0.         0.09197881 0.         0.12535068
 0.        ]",1.089688509581097,1.1779897860955355,0.008894034715002226,0.15432913601398468,0.13202457129955292,0.13683199882507324,0.0922124907374382,0.0,0.10020297765731812,0.0,0.0,0.09197881072759628,0.0,0.125350683927536,0.0,0.16706934571266174
247,2014-12-29,"[0.16720799 0.15457165 0.13188796 0.13664514 0.0921683  0.
 0.10004333 0.         0.         0.0918259  0.         0.12564974
 0.        ]",1.0891874930157757,1.1802156300686923,0.005864922550992707,0.15457165241241455,0.13188795745372772,0.1366451382637024,0.09216830134391785,0.0,0.10004333406686783,0.0,0.0,0.09182589501142502,0.0,0.12564973533153534,0.0,0.1672079861164093
248,2014-12-30,"[0.1660181  0.15517212 0.13269965 0.13632205 0.09205773 0.
 0.0995537  0.         0.         0.09241983 0.         0.12575679
 0.        ]",1.0891787070941032,1.1811800644464812,0.0039364375411469876,0.15517212450504303,0.132699653506279,0.1363220512866974,0.0920577272772789,0.0,0.09955369681119919,0.0,0.0,0.09241983294487,0.0,0.12575678527355194,0.0,0.16601809859275818
249,2014-12-31,"[0.1658351  0.15502067 0.13266383 0.13645022 0.09219833 0.
 0.09953653 0.         0.         0.0923643  0.         0.12593104
 0.        ]",1.0923283411635676,1.1864777065965837,0.005829579800539122,0.15502066910266876,0.13266383111476898,0.13645021617412567,0.09219833463430405,0.0,0.09953653067350388,0.0,0.0,0.09236430376768112,0.0,0.1259310394525528,0.0,0.16583509743213654
250,2015-01-02,"[0.16559678 0.15543893 0.13282515 0.13598444 0.09190943 0.
 0.09973407 0.         0.         0.09290436 0.         0.12560683
 0.        ]",1.0900960208939905,1.179405545379435,0.01112239554990991,0.15543892979621887,0.13282515108585358,0.13598443567752838,0.09190943092107773,0.0,0.09973406791687012,0.0,0.0,0.09290435910224915,0.0,0.12560683488845825,0.0,0.16559678316116333
251,2015-01-05,"[0.16463472 0.15512453 0.13337335 0.13611093 0.0922972  0.
 0.10012424 0.         0.         0.09286007 0.         0.12547499
 0.        ]",1.085674607550836,1.1809324299982416,0.009545785401684227,0.15512453019618988,0.13337334990501404,0.13611093163490295,0.09229719638824463,0.0,0.10012423992156982,0.0,0.0,0.09286007285118103,0.0,0.1254749894142151,0.0,0.16463471949100494
252,2015-01-06,"[0.164431   0.15494329 0.13321668 0.13635    0.09259015 0.
 0.10045369 0.         0.         0.09288919 0.         0.12512596
 0.        ]",1.0675400850795602,1.1639322503290916,0.0074532280021882445,0.1549432873725891,0.13321667909622192,0.13635000586509705,0.09259015321731567,0.0,0.1004536896944046,0.0,0.0,0.09288918972015381,0.0,0.1251259595155716,0.0,0.16443100571632385
