,Date,Weights,Profit,Base Profit,ENSV,CLB,HLX,RES,BCRX,TTNP,NBIX,TECH,ATRI,TFX,CRY,MMM,cash
1122,2018-06-20,"[0.         0.13522554 0.         0.07332494 0.157239   0.17687081
 0.         0.         0.14515007 0.         0.10072993 0.
 0.21145972]",2.5714696315897894,1.8857010870695967,0.1352255397065987,0.0,0.0733249391438608,0.15723900195544568,0.17687080970179134,0.0,0.0,0.14515006587346735,0.0,0.10072992552458028,0.0,0.21145971809425584,0.0
1123,2018-06-21,"[0.         0.13366544 0.         0.07347149 0.15747215 0.17778077
 0.         0.         0.14430732 0.         0.10232313 0.
 0.2109797 ]",2.5990912294550634,1.9027168881112708,0.1336654358407613,0.0,0.0734714886089614,0.15747215157825759,0.1777807726733094,0.0,0.0,0.14430731911024705,0.0,0.10232313261880743,0.0,0.21097969956965587,0.0
1124,2018-06-22,"[0.         0.13299351 0.         0.07318687 0.15767918 0.17783157
 0.         0.         0.14396675 0.         0.10370698 0.
 0.21063513]",2.5763645477780295,1.9181689669856201,0.13299351121736847,0.0,0.0731868687300187,0.15767917994439154,0.17783157490281973,0.0,0.0,0.1439667535714126,0.0,0.10370697829297319,0.0,0.21063513334101583,0.0
1125,2018-06-25,"[0.         0.13209179 0.         0.07300884 0.15803402 0.17766904
 0.         0.         0.14363655 0.         0.10550695 0.
 0.21005281]",2.5911992849580217,1.9019164317897064,0.13209179291296494,0.0,0.0730088352874477,0.15803401774862555,0.17766903697714082,0.0,0.0,0.14363655127877295,0.0,0.10550695475543156,0.0,0.21005281103961645,0.0
1126,2018-06-26,"[0.         0.13193183 0.         0.07309243 0.1583132  0.17761989
 0.         0.         0.14329847 0.         0.10589499 0.
 0.2098492 ]",2.5634121402401053,1.8753627799213004,0.13193183084996335,0.0,0.07309242790217214,0.1583131973562754,0.17761988554627073,0.0,0.0,0.1432984666258971,0.0,0.10589499441539243,0.0,0.2098491973040289,0.0
1127,2018-06-27,"[0.         0.13011268 0.         0.07317703 0.15839506 0.17787887
 0.         0.         0.14245087 0.         0.10896261 0.
 0.20902287]",2.5151541208793486,1.8595555459352688,0.13011268372817236,0.0,0.0731770271386996,0.1583950643470977,0.17787887391618845,0.0,0.0,0.14245086903680704,0.0,0.10896261112655742,0.0,0.20902287070647746,0.0
1128,2018-06-28,"[0.         0.1298684  0.         0.07324932 0.15814954 0.17844868
 0.         0.         0.14246711 0.         0.10872398 0.
 0.20909297]",2.5560142108772217,1.8591957797326453,0.12986839683015003,0.0,0.07324931833275145,0.1581495398417422,0.1784486828011269,0.0,0.0,0.14246711293275544,0.0,0.10872397532014354,0.0,0.20909297394133056,0.0
1129,2018-06-29,"[0.         0.13080119 0.         0.07283158 0.15861623 0.17734524
 0.         0.         0.1422976  0.         0.10921544 0.
 0.20889273]",2.549348955120249,1.8206013312613343,0.13080118573196506,0.0,0.07283157516928132,0.15861623358794785,0.17734523566544652,0.0,0.0,0.14229759903946926,0.0,0.1092154369476331,0.0,0.20889273385825685,0.0
1130,2018-07-02,"[0.         0.12800507 0.         0.07520817 0.15730695 0.18089874
 0.         0.         0.14225632 0.         0.10759052 0.
 0.20873423]",2.560279145135583,1.8383456560831715,0.1280050663918128,0.0,0.0752081734947678,0.15730694839162807,0.18089874467810146,0.0,0.0,0.14225631892953475,0.0,0.10759052010307332,0.0,0.20873422801108174,0.0
1131,2018-07-03,"[0.         0.12753673 0.         0.07510279 0.15696028 0.18150393
 0.         0.         0.14239602 0.         0.10780255 0.
 0.20869769]",2.545855349372111,1.8294976339068187,0.12753673268757781,0.0,0.07510278598362684,0.15696028278308197,0.18150393080575844,0.0,0.0,0.1423960215863618,0.0,0.10780255273600182,0.0,0.2086976934175914,0.0
1132,2018-07-05,"[0.         0.12696417 0.         0.07515679 0.15678077 0.18165407
 0.         0.         0.14245753 0.         0.10819411 0.
 0.20879256]",2.5458194374906187,1.8491571047670772,0.1269641742768726,0.0,0.07515678574674248,0.15678076528961093,0.18165406811738935,0.0,0.0,0.14245753169370712,0.0,0.10819411188314815,0.0,0.2087925629925294,0.0
1133,2018-07-06,"[0.         0.12644603 0.         0.07510045 0.15633458 0.18237972
 0.         0.         0.14270149 0.         0.10807446 0.
 0.20896329]",2.563748540753048,1.856432997820639,0.1264460263370605,0.0,0.07510044581428622,0.15633457941358134,0.1823797164926362,0.0,0.0,0.1427014871430241,0.0,0.10807445706670564,0.0,0.20896328773270598,0.0
1134,2018-07-09,"[0.         0.12596039 0.         0.07505848 0.15567064 0.1835187
 0.         0.         0.14283048 0.         0.10740766 0.
 0.20955366]",2.555542870700105,1.8591290972311574,0.12596039061010586,0.0,0.07505847747535427,0.15567063869609538,0.18351869915687335,0.0,0.0,0.14283047775837346,0.0,0.10740765762400575,0.0,0.20955365867919193,0.0
1135,2018-07-10,"[0.         0.12510595 0.         0.07509387 0.15540481 0.18426824
 0.         0.         0.14293135 0.         0.10752222 0.
 0.20967356]",2.5968970402443254,1.9048394264391693,0.12510594648100046,0.0,0.07509387481718222,0.15540480522721287,0.18426824495026553,0.0,0.0,0.14293135247242966,0.0,0.10752221942396406,0.0,0.20967355662794523,0.0
