,Date,Weights,Profit,Base Profit,Volume,MXIM,INTC,KOPN,XLNX,KAMN,LAWS,HDSN,WLFC,CLB,ENSV,RES,HLX,cash
40,2014-03-05,"[0.11871656 0.         0.         0.         0.14324756 0.
 0.         0.19009475 0.13049756 0.         0.12320379 0.12578572
 0.168454  ]",1.0506930534999777,1.058282154425013,0.007293094293950103,0.0,0.0,0.0,0.1432475596666336,0.0,0.0,0.1900947540998459,0.13049755990505219,0.0,0.12320379167795181,0.1257857233285904,0.16845400631427765,0.11871656030416489
41,2014-03-06,"[0.1185784  0.         0.         0.         0.14365594 0.
 0.         0.19012837 0.13036378 0.         0.12282924 0.12565418
 0.1687901 ]",1.051057268192046,1.0691162962205218,0.018846010930627776,0.0,0.0,0.0,0.1436559408903122,0.0,0.0,0.1901283711194992,0.13036377727985382,0.0,0.12282923609018326,0.1256541758775711,0.16879010200500488,0.11857839673757553
42,2014-03-07,"[0.11888473 0.         0.         0.         0.14335631 0.
 0.         0.1899735  0.13038276 0.         0.12292329 0.12572148
 0.16875795]",1.0557910233625776,1.0696841862596225,0.010595062917422463,0.0,0.0,0.0,0.1433563083410263,0.0,0.0,0.18997350335121155,0.13038276135921478,0.0,0.12292329221963882,0.12572148442268372,0.16875794529914856,0.11888473480939865
43,2014-03-10,"[0.12024183 0.         0.         0.         0.14276122 0.
 0.         0.18924916 0.13091774 0.         0.12246435 0.12548007
 0.16888566]",1.0740148605632602,1.091111089876599,0.011490904852293458,0.0,0.0,0.0,0.1427612155675888,0.0,0.0,0.1892491579055786,0.1309177428483963,0.0,0.12246435135602951,0.1254800707101822,0.16888566315174103,0.12024182826280594
44,2014-03-11,"[0.12014289 0.         0.         0.         0.14290205 0.
 0.         0.18944876 0.13054486 0.         0.12233363 0.12542689
 0.16920096]",1.0746906215380556,1.0892992074883936,0.015526294711966173,0.0,0.0,0.0,0.14290204644203186,0.0,0.0,0.1894487589597702,0.13054485619068146,0.0,0.12233363091945648,0.12542688846588135,0.16920095682144165,0.12014289200305939
45,2014-03-12,"[0.12021941 0.         0.         0.         0.14285883 0.
 0.         0.18943484 0.13065746 0.         0.1223233  0.12536865
 0.16913746]",1.0783940111169161,1.0942556683367808,0.008398937834889243,0.0,0.0,0.0,0.1428588330745697,0.0,0.0,0.18943484127521515,0.13065746426582336,0.0,0.12232330441474915,0.1253686547279358,0.16913746297359467,0.1202194094657898
46,2014-03-13,"[0.12032403 0.         0.         0.         0.1425351  0.
 0.         0.18937655 0.13088787 0.         0.12256203 0.12543519
 0.16887927]",1.0589861110486423,1.076512578480347,0.006073826362695935,0.0,0.0,0.0,0.14253510534763336,0.0,0.0,0.18937654793262482,0.13088786602020264,0.0,0.12256202846765518,0.12543518841266632,0.16887927055358887,0.1203240305185318
47,2014-03-14,"[0.12030337 0.         0.         0.         0.142673   0.
 0.         0.18926208 0.13083223 0.         0.12262619 0.1254887
 0.16881444]",1.0685303967524158,1.0915178425806724,0.015049529673283416,0.0,0.0,0.0,0.14267300069332123,0.0,0.0,0.18926207721233368,0.1308322250843048,0.0,0.12262618541717529,0.12548869848251343,0.16881443560123444,0.12030337005853653
48,2014-03-17,"[0.1208593  0.         0.         0.         0.14210716 0.
 0.         0.18886264 0.13109574 0.         0.12284585 0.12561195
 0.1686174 ]",1.0314166925139898,1.0607812158995586,0.01723492052530005,0.0,0.0,0.0,0.14210715889930725,0.0,0.0,0.1888626366853714,0.1310957372188568,0.0,0.1228458508849144,0.12561194598674774,0.1686173975467682,0.120859295129776
49,2014-03-18,"[0.12002596 0.         0.         0.         0.1426044  0.
 0.         0.18948399 0.13061817 0.         0.12256507 0.12547848
 0.16922392]",1.0468819467494934,1.078547276000733,0.02894832301168727,0.0,0.0,0.0,0.14260439574718475,0.0,0.0,0.18948398530483246,0.1306181699037552,0.0,0.12256506830453873,0.12547847628593445,0.16922391951084137,0.12002596259117126
50,2014-03-19,"[0.1193299  0.         0.         0.         0.14266074 0.
 0.         0.19021383 0.12980784 0.         0.1228416  0.12561369
 0.16953245]",1.0491938314688487,1.079922180360284,0.011510724112256291,0.0,0.0,0.0,0.1426607370376587,0.0,0.0,0.19021382927894592,0.12980784475803375,0.0,0.12284160405397415,0.12561368942260742,0.16953244805335999,0.11932989954948425
