,Date,Weights,Profit,Base Profit,Volume,CTO,TRC,FRPH,CIGI,FLEX,CTS,SANM,IEC,CLB,ENSV,RES,HLX,cash
219,2014-11-17,"[0.         0.09104072 0.0877623  0.0842906  0.09142704 0.08576088
 0.09047507 0.09981041 0.10200975 0.08879669 0.         0.09026536
 0.08836115]",1.142650758304908,1.1479303598604427,0.012085444459896948,0.0910407155752182,0.08776230365037918,0.08429060131311417,0.0914270430803299,0.08576088398694992,0.09047506749629974,0.0998104140162468,0.10200975090265274,0.0887966901063919,0.0,0.09026535600423813,0.08836115151643753,0.0
220,2014-11-18,"[0.         0.10046221 0.09532372 0.09331883 0.10103466 0.
 0.09818926 0.11122414 0.10646369 0.09578966 0.         0.09455936
 0.1036345 ]",1.1431758471879936,1.153543865116522,0.1975237842272777,0.10046220570802689,0.09532371908426285,0.09331883490085602,0.10103466361761093,0.0,0.09818926453590393,0.11122413724660873,0.10646368563175201,0.09578966349363327,0.0,0.09455936402082443,0.10363449901342392,0.0
221,2014-11-19,"[0.         0.10149531 0.09478144 0.09399868 0.10014294 0.
 0.09812857 0.11185863 0.10634084 0.09603678 0.         0.09429357
 0.10292326]",1.1318608239972412,1.1299164389135852,0.00848625264905412,0.10149531066417694,0.09478143602609634,0.09399867802858353,0.1001429408788681,0.0,0.09812857210636139,0.11185862869024277,0.10634084045886993,0.09603678435087204,0.0,0.09429357200860977,0.10292325913906097,0.0
222,2014-11-20,"[0.         0.10098428 0.09501573 0.09383424 0.10029723 0.
 0.09798772 0.11172431 0.10633104 0.09581615 0.         0.09455016
 0.10345911]",1.1171997063453507,1.125682362147154,0.018437584186329757,0.10098428279161453,0.09501573443412781,0.09383423626422882,0.1002972349524498,0.0,0.09798771888017654,0.11172430962324142,0.10633104294538498,0.09581615030765533,0.0,0.09455015510320663,0.10345911234617233,0.0
223,2014-11-21,"[0.         0.10112801 0.09487225 0.0939476  0.10037605 0.
 0.09802926 0.11186192 0.10618206 0.09562619 0.         0.09467783
 0.10329879]",1.113590137293021,1.11783611377501,0.014755796202196187,0.10112801194190979,0.09487225115299225,0.09394759684801102,0.10037605464458466,0.0,0.09802926331758499,0.11186192184686661,0.10618206113576889,0.09562619030475616,0.0,0.09467782825231552,0.10329879075288773,0.0
224,2014-11-24,"[0.         0.10102088 0.09491137 0.0938623  0.10039333 0.
 0.09796284 0.11192625 0.10615607 0.095617   0.         0.09465954
 0.10349041]",1.1357838795778386,1.13768807853968,0.012329269185634229,0.10102088004350662,0.0949113741517067,0.09386229515075684,0.10039333254098892,0.0,0.09796284139156342,0.11192625015974045,0.10615606606006622,0.09561699628829956,0.0,0.09465953707695007,0.10349041223526001,0.0
225,2014-11-25,"[0.         0.1009536  0.09488542 0.09370402 0.1005066  0.
 0.09793729 0.11198665 0.10627345 0.09552158 0.         0.09465365
 0.10357768]",1.1353614082107266,1.1426438108708301,0.014727933530691175,0.1009536013007164,0.09488541632890701,0.09370402246713638,0.10050660371780396,0.0,0.09793729335069656,0.11198665201663971,0.10627344995737076,0.09552157670259476,0.0,0.0946536511182785,0.10357768088579178,0.0
226,2014-11-26,"[0.         0.10071081 0.09511951 0.0935312  0.10073861 0.
 0.09789577 0.11173014 0.10631691 0.09557288 0.         0.09464785
 0.10373634]",1.1459204580103908,1.1514568334721695,0.013174965340907258,0.10071080923080444,0.09511951357126236,0.09353119879961014,0.10073861479759216,0.0,0.09789577126502991,0.11173013597726822,0.10631690919399261,0.09557288140058517,0.0,0.0946478545665741,0.10373634099960327,0.0
227,2014-11-28,"[0.         0.10118755 0.09486074 0.0936536  0.1003565  0.
 0.09804765 0.1120309  0.10630148 0.09556491 0.         0.09461201
 0.10338464]",1.1304557927947931,1.1405647418079137,0.00846559591837674,0.10118754953145981,0.09486074000597,0.0936535969376564,0.10035649687051773,0.0,0.0980476513504982,0.11203090101480484,0.10630147904157639,0.09556490927934647,0.0,0.0946120098233223,0.10338464379310608,0.0
228,2014-12-01,"[0.         0.10110493 0.09497094 0.0933539  0.10067555 0.
 0.09809131 0.11162567 0.10656491 0.09560073 0.         0.09471826
 0.10329384]",1.1080085973052998,1.124456888703421,0.019453414728571154,0.10110493004322052,0.0949709415435791,0.09335389733314514,0.1006755456328392,0.0,0.09809131175279617,0.11162567138671875,0.10656490921974182,0.09560073167085648,0.0,0.09471825510263443,0.10329383611679077,0.0
