,Date,Weights,Profit,Base Profit,IEX,FLS,GGG,ITT,SANM,FLEX,CTS,IEC,ANDE,UVV,STKL,PYX,cash
465,2015-11-09,"[0.         0.1095395  0.         0.         0.15571405 0.10191601
 0.         0.18795243 0.14402458 0.08563119 0.21522225 0.
 0.        ]",1.0170375154930833,0.9427156135617504,0.10953950402148807,0.0,0.0,0.15571404852824028,0.10191600544853603,0.0,0.1879524285998418,0.1440245801662839,0.08563118741168547,0.21522224582392438,0.0,0.0,0.0
466,2015-11-10,"[0.         0.10952454 0.         0.         0.15558845 0.10200621
 0.         0.18807182 0.14404689 0.08548262 0.21527948 0.
 0.        ]",1.027648012909606,0.9473502319196588,0.109524536674696,0.0,0.0,0.15558844943376615,0.10200620767015209,0.0,0.18807182166310968,0.14404688707937038,0.08548262055558543,0.21527947692332025,0.0,0.0,0.0
467,2015-11-11,"[0.         0.11010482 0.         0.         0.15537742 0.10161475
 0.         0.1877939  0.14447585 0.08603867 0.21459458 0.
 0.        ]",1.0203925756307848,0.9338675716914908,0.11010481649674893,0.0,0.0,0.1553774222248923,0.10161475460377242,0.0,0.18779390401856771,0.14447584566429078,0.0860386722769727,0.2145945847147551,0.0,0.0,0.0
468,2015-11-12,"[0.         0.11003697 0.         0.         0.15514639 0.10167191
 0.         0.18790715 0.14471787 0.08612412 0.2143956  0.
 0.        ]",1.031887722258037,0.9397038704686714,0.11003696645453047,0.0,0.0,0.15514638547292692,0.1016719108609412,0.0,0.18790715370831168,0.14471786504246745,0.08612412306173368,0.2143955953990885,0.0,0.0,0.0
469,2015-11-13,"[0.         0.11058192 0.         0.         0.15717457 0.10077985
 0.         0.18748562 0.14302911 0.08374465 0.21720429 0.
 0.        ]",1.011246992595164,0.9287464242364633,0.1105819166797937,0.0,0.0,0.15717456547850012,0.10077985372412418,0.0,0.1874856199628322,0.14302911120030046,0.08374464733637486,0.2172042856180745,0.0,0.0,0.0
470,2015-11-16,"[0.         0.11077124 0.         0.         0.15746377 0.1006479
 0.         0.18738424 0.14261614 0.0834032  0.2177135  0.
 0.        ]",0.9999295468724536,0.9157227836205705,0.11077124334445418,0.0,0.0,0.15746377483143595,0.10064790225879335,0.0,0.18738423641006938,0.1426161407029039,0.08340320444037687,0.21771349801196632,0.0,0.0,0.0
471,2015-11-17,"[0.         0.10556786 0.         0.         0.15514421 0.09721452
 0.         0.18646155 0.14916813 0.09307928 0.21336445 0.
 0.        ]",1.0046135799081661,0.9201751201316356,0.10556786292876588,0.0,0.0,0.15514420993925016,0.09721452344308201,0.0,0.18646154630483006,0.1491681305212912,0.0930792808354065,0.2133644460273742,0.0,0.0,0.0
472,2015-11-18,"[0.         0.10523692 0.         0.         0.15488317 0.09700057
 0.         0.18642858 0.15006056 0.09391669 0.21247351 0.
 0.        ]",1.0138798675837213,0.9287949716113152,0.1052369150723201,0.0,0.0,0.1548831735635287,0.09700057328620335,0.0,0.1864285802228774,0.15006055764830095,0.09391668694599592,0.21247351326077354,0.0,0.0,0.0
473,2015-11-19,"[0.         0.09650015 0.         0.07105477 0.13775202 0.08932186
 0.         0.17392286 0.14638245 0.09123741 0.19382847 0.
 0.        ]",1.008934115477829,0.9218410112655917,0.09650014861604339,0.0,0.07105476712840579,0.13775202490435676,0.08932186053703979,0.0,0.17392286467860857,0.14638245254355187,0.09123741332197582,0.19382846827001807,0.0,0.0,0.0
474,2015-11-20,"[0.         0.0960188  0.         0.07725101 0.13593041 0.08892966
 0.         0.17236636 0.14666699 0.09200641 0.19083036 0.
 0.        ]",1.0180201826882247,0.9298088479138595,0.09601880019723552,0.0,0.07725100966696119,0.13593040753982893,0.08892966289823788,0.0,0.172366357195401,0.14666698816731727,0.09200641084761961,0.19083036348739868,0.0,0.0,0.0
475,2015-11-23,"[0.         0.09604262 0.         0.0778003  0.13581923 0.08889872
 0.         0.17214948 0.14675224 0.0921215  0.19041592 0.
 0.        ]",1.0193540857469792,0.9340263961832501,0.09604262390333292,0.0,0.07780029555596317,0.13581922504805566,0.0888987185657933,0.0,0.17214948452188847,0.14675223958841754,0.09212149608008226,0.1904159167364667,0.0,0.0,0.0
476,2015-11-24,"[0.         0.09611653 0.         0.07780193 0.13594143 0.08888166
 0.         0.17207913 0.14668474 0.09198664 0.19050794 0.
 0.        ]",1.0242433034993201,0.934271142599617,0.09611653176241455,0.0,0.0778019339389587,0.13594142917302243,0.08888165566332026,0.0,0.1720791339184395,0.146684738088968,0.09198664168338341,0.19050793577149325,0.0,0.0,0.0
477,2015-11-25,"[0.         0.09621847 0.         0.07753442 0.13607678 0.08891794
 0.         0.17211819 0.14661547 0.09181761 0.19070112 0.
 0.        ]",1.0186421378670723,0.9289505369721439,0.09621846747596198,0.0,0.07753442373091582,0.1360767823581924,0.0889179357348571,0.0,0.1721181936154584,0.14661547047406215,0.0918176111579373,0.19070111545261478,0.0,0.0,0.0
478,2015-11-27,"[0.         0.09625304 0.         0.07738666 0.13626006 0.08893349
 0.         0.17211933 0.1464957  0.09160988 0.19094183 0.
 0.        ]",1.0277683375377358,0.9325960218705063,0.09625304132345994,0.0,0.07738665651316999,0.13626006450315,0.08893349182048317,0.0,0.1721193275652863,0.14649570037818824,0.09160988371415169,0.1909418341821106,0.0,0.0,0.0
479,2015-11-30,"[0.         0.09626532 0.         0.07725777 0.13632656 0.08895618
 0.         0.17215777 0.14645865 0.09151778 0.19105998 0.
 0.        ]",1.0223115087639638,0.9294542471680952,0.09626531588106614,0.0,0.07725776526710444,0.1363265633596313,0.08895618125441923,0.0,0.17215777100668042,0.14645865066834277,0.0915177764949031,0.1910599760678527,0.0,0.0,0.0
