,Date,Weights,Profit,Base Profit,SUP,MOD,STRT,DORM,EAT,MCD,PZZA,JACK,MXIM,KOPN,XLNX,INTC,cash
23,2014-02-07,"[0.         0.         0.         0.         0.13295983 0.
 0.         0.15632032 0.12884566 0.         0.20504719 0.37682701
 0.        ]",0.9530231240460353,0.9893523043016307,0.0,0.0,0.0,0.13295982569544423,0.0,0.0,0.1563203150621661,0.12884566322859842,0.0,0.20504718768511776,0.37682700832867344,0.0,0.0
24,2014-02-10,"[0.         0.         0.         0.         0.13203358 0.
 0.         0.15587936 0.12901155 0.         0.20546421 0.3776113
 0.        ]",0.971414724697662,0.9977726062143436,0.0,0.0,0.0,0.13203357901177631,0.0,0.0,0.15587936422586893,0.12901154525544223,0.0,0.20546421430033132,0.37761129720658126,0.0,0.0
25,2014-02-11,"[0.         0.         0.         0.         0.13246918 0.
 0.         0.15659722 0.12840532 0.         0.20598899 0.37653929
 0.        ]",0.9769053477263058,1.003499155423773,0.0,0.0,0.0,0.13246918309213188,0.0,0.0,0.15659721679146077,0.1284053189300188,0.0,0.2059889862732784,0.37653929491311,0.0,0.0
26,2014-02-12,"[0.         0.         0.         0.         0.13283913 0.
 0.         0.15679325 0.12859813 0.         0.20545949 0.37631
 0.        ]",0.9922608791052074,1.0104892216492238,0.0,0.0,0.0,0.13283912601949388,0.0,0.0,0.15679325301333422,0.12859813232722292,0.0,0.20545948759084207,0.3763100010491069,0.0,0.0
27,2014-02-13,"[0.         0.         0.         0.         0.13162696 0.
 0.         0.15519632 0.13030374 0.         0.20386905 0.37900393
 0.        ]",1.0059178976416066,1.0200551055222231,0.0,0.0,0.0,0.13162696346626748,0.0,0.0,0.15519631525947594,0.1303037414287778,0.0,0.20386905406123354,0.3790039257842453,0.0,0.0
28,2014-02-14,"[0.         0.         0.         0.         0.12702077 0.
 0.         0.1536691  0.13028166 0.         0.20657591 0.38245255
 0.        ]",1.0076304823117739,1.0198037375696327,0.0,0.0,0.0,0.12702077167980125,0.0,0.0,0.15366910256271285,0.13028165758364785,0.0,0.20657591344452167,0.3824525547293163,0.0,0.0
29,2014-02-18,"[0.         0.         0.         0.         0.12631443 0.
 0.         0.15328507 0.1301039  0.         0.20699263 0.38330397
 0.        ]",1.0304572225544968,1.0335008716769185,0.0,0.0,0.0,0.12631443365326678,0.0,0.0,0.15328507094926414,0.13010389845076123,0.0,0.2069926266663123,0.3833039702803956,0.0,0.0
30,2014-02-19,"[0.         0.         0.         0.         0.13690421 0.
 0.         0.15489203 0.130517   0.         0.1996858  0.37800095
 0.        ]",1.027276601978583,1.0336955758841637,0.0,0.0,0.0,0.13690421480429912,0.0,0.0,0.15489203010424135,0.1305170047333329,0.0,0.1996857990587478,0.3780009512993787,0.0,0.0
31,2014-02-20,"[0.         0.         0.         0.         0.1335489  0.
 0.         0.15224983 0.13451361 0.         0.19645455 0.38323311
 0.        ]",1.0498670223979025,1.040713593241661,0.0,0.0,0.0,0.13354890123389818,0.0,0.0,0.15224983159733188,0.13451360757280006,0.0,0.19645455317777785,0.383233106418192,0.0,0.0
32,2014-02-21,"[0.         0.         0.         0.         0.13235014 0.
 0.         0.15164109 0.13498352 0.         0.19584808 0.38517716
 0.        ]",1.0686716786376182,1.0576300227409163,0.0,0.0,0.0,0.13235014412756116,0.0,0.0,0.15164109490900243,0.1349835210720621,0.0,0.1958480794398821,0.3851771604514921,0.0,0.0
33,2014-02-24,"[0.         0.         0.         0.         0.13218693 0.
 0.         0.15143467 0.13528503 0.         0.19517027 0.3859231
 0.        ]",1.0917830668667474,1.070461982276439,0.0,0.0,0.0,0.13218693471776052,0.0,0.0,0.15143466835226238,0.1352850320415434,0.0,0.1951702697788421,0.3859230951095915,0.0,0.0
34,2014-02-25,"[0.         0.         0.         0.         0.1321643  0.
 0.         0.15140125 0.13522011 0.         0.19513768 0.38607665
 0.        ]",1.076655195748083,1.0662986881254504,0.0,0.0,0.0,0.1321643023989705,0.0,0.0,0.15140125363242438,0.1352201085269859,0.0,0.19513768109556973,0.38607665434604943,0.0,0.0
35,2014-02-26,"[0.         0.         0.         0.         0.13233628 0.
 0.         0.15157192 0.13502291 0.         0.19522823 0.38584067
 0.        ]",1.0803549290854113,1.070665574669652,0.0,0.0,0.0,0.13233627938774925,0.0,0.0,0.1515719150907017,0.1350229092856198,0.0,0.19522822650222696,0.38584066973370235,0.0,0.0
