,Date,Weights,Profit,Base Profit,SCON,VSAT,MSI,BKTI,PYX,STKL,ANDE,UVV,CIGI,FRPH,CTO,TRC,cash
898,2017-07-31,"[0.         0.         0.         0.         0.21810303 0.13345316
 0.17674882 0.         0.         0.10935446 0.         0.36234052
 0.        ]",1.097358942404841,1.0234364739086799,0.0,0.0,0.0,0.21810303054477279,0.1334531632501582,0.17674882408392809,0.0,0.0,0.10935446148851784,0.0,0.3623405206326231,0.0,0.0
899,2017-08-01,"[0.         0.         0.         0.         0.21773987 0.1334878
 0.17673901 0.         0.         0.10964962 0.         0.3623837
 0.        ]",1.0926561316520802,1.0153103491973983,0.0,0.0,0.0,0.21773987095454428,0.13348780081108924,0.17673900829315126,0.0,0.0,0.10964962434657768,0.0,0.36238369559463757,0.0,0.0
900,2017-08-02,"[0.         0.         0.         0.         0.21785978 0.13312953
 0.17668871 0.         0.         0.10973929 0.         0.36258268
 0.        ]",1.1003570771517062,1.0238927400689082,0.0,0.0,0.0,0.21785978284333726,0.13312953447700535,0.17668870801348702,0.0,0.0,0.10973929014095962,0.0,0.3625826845252108,0.0,0.0
901,2017-08-03,"[0.         0.         0.         0.         0.21771034 0.13359645
 0.17648615 0.         0.         0.10988044 0.         0.36232662
 0.        ]",1.0928978478409028,1.0242580769128216,0.0,0.0,0.0,0.21771034250599863,0.13359645160655156,0.17648614694182735,0.0,0.0,0.1098804365183002,0.0,0.36232662242732216,0.0,0.0
902,2017-08-04,"[0.         0.         0.         0.         0.21762929 0.13386488
 0.17637329 0.         0.         0.10987807 0.         0.36225447
 0.        ]",1.0823064287504316,1.0160763197799123,0.0,0.0,0.0,0.21762928725884648,0.13386488435251037,0.17637328713229766,0.0,0.0,0.1098780708113376,0.0,0.3622544704450077,0.0,0.0
903,2017-08-07,"[0.         0.         0.         0.         0.2177353  0.13344419
 0.17628177 0.         0.         0.10991986 0.         0.36261888
 0.        ]",1.0675804817741303,1.0034790466378583,0.0,0.0,0.0,0.21773530472996278,0.1334441907481123,0.17628177067437997,0.0,0.0,0.10991985792156064,0.0,0.36261887592598435,0.0,0.0
904,2017-08-08,"[0.         0.         0.         0.         0.2177286  0.13350238
 0.17626367 0.         0.         0.10960983 0.         0.36289552
 0.        ]",1.0488698601563864,0.9937678255903064,0.0,0.0,0.0,0.2177286025947325,0.1335023788064085,0.17626366769037438,0.0,0.0,0.10960982993061619,0.0,0.36289552097786837,0.0,0.0
905,2017-08-09,"[0.         0.         0.         0.         0.21743933 0.13342584
 0.17638038 0.         0.         0.10984536 0.         0.3629091
 0.        ]",1.0608686427793868,0.9918970046510036,0.0,0.0,0.0,0.21743932746941894,0.133425835637383,0.17638038350372684,0.0,0.0,0.10984535533042371,0.0,0.36290909805904753,0.0,0.0
906,2017-08-10,"[0.         0.         0.         0.         0.21730744 0.133645
 0.17647988 0.         0.         0.10962798 0.         0.3629397
 0.        ]",1.0330517613733035,0.9733652814199726,0.0,0.0,0.0,0.2173074370027822,0.13364500403757001,0.17647987995814743,0.0,0.0,0.1096279823976303,0.0,0.36293969660387004,0.0,0.0
907,2017-08-11,"[0.         0.         0.         0.         0.21754794 0.13361055
 0.17623686 0.         0.         0.10941133 0.         0.36319332
 0.        ]",1.0346593162078608,0.9667536929784075,0.0,0.0,0.0,0.21754793782242535,0.13361054922230742,0.17623686473329764,0.0,0.0,0.1094113319016792,0.0,0.3631933163202904,0.0,0.0
