,Date,Weights,Profit,Base Profit,SPAR,PCAR,F,OSK,CTO,CIGI,TRC,FRPH,CIA,AAME,GL,FFG,cash
24,2014-02-10,"[0.         0.08918647 0.         0.12518388 0.         0.12036543
 0.21388418 0.15869274 0.08121874 0.13224565 0.         0.07922291
 0.        ]",0.9086636526838793,0.941233970878993,0.08918646697371299,0.0,0.12518387754674964,0.0,0.12036542723973943,0.2138841848021006,0.1586927441601106,0.0812187398215157,0.13224564888156037,0.0,0.0792229105745107,0.0,0.0
25,2014-02-11,"[0.         0.08975324 0.         0.12534202 0.         0.12002463
 0.21332889 0.15857622 0.08151632 0.13224701 0.         0.07921166
 0.        ]",0.9078267638562106,0.9439546961251724,0.08975324359920808,0.0,0.12534202211902784,0.0,0.12002463222608138,0.2133288935726406,0.15857621777345943,0.08151632186325007,0.13224700518731722,0.0,0.07921166365901543,0.0,0.0
26,2014-02-12,"[0.         0.08897209 0.         0.12521467 0.         0.120428
 0.21399182 0.15874073 0.0812561  0.13204074 0.         0.07935585
 0.        ]",0.9053764679553136,0.9376536871548591,0.08897208982407852,0.0,0.12521466633032408,0.0,0.12042800329219765,0.21399182260583977,0.15874073132564004,0.0812560955147205,0.1320407391653913,0.0,0.07935585194180815,0.0,0.0
27,2014-02-13,"[0.         0.08945649 0.         0.12560706 0.         0.12007163
 0.21339431 0.15850484 0.08176186 0.13123828 0.         0.07996555
 0.        ]",0.9162733065657377,0.944477115840187,0.08945648578402213,0.0,0.12560705927773072,0.0,0.12007162523983927,0.21339431128073397,0.15850483628362463,0.0817618558078693,0.13123827980364547,0.0,0.0799655465225345,0.0,0.0
28,2014-02-14,"[0.         0.08980916 0.         0.12605601 0.         0.11980097
 0.21284057 0.15822074 0.08210523 0.13055517 0.         0.08061215
 0.        ]",0.9140971612779535,0.9416748797028812,0.08980916226744758,0.0,0.1260560099738419,0.0,0.11980097481577333,0.21284056740854043,0.15822074210405487,0.08210523067859868,0.1305551664859546,0.0,0.08061214626578865,0.0,0.0
29,2014-02-18,"[0.         0.08998785 0.         0.12616479 0.         0.11982032
 0.2126268  0.15808582 0.08218663 0.13024517 0.         0.08088263
 0.        ]",0.932611578730526,0.9562018364163823,0.08998785496288546,0.0,0.1261647911961411,0.0,0.11982032344660112,0.2126267953358641,0.15808581687467002,0.08218662709144603,0.13024516559006333,0.0,0.08088262550232879,0.0,0.0
30,2014-02-19,"[0.         0.09351441 0.         0.12915609 0.         0.11691241
 0.20630856 0.15698194 0.085836   0.12435117 0.         0.08693942
 0.        ]",0.9406762022419323,0.9618217146976549,0.09351440723815212,0.0,0.1291560928727428,0.0,0.11691240925544044,0.20630855615154076,0.15698194376708235,0.08583600065820313,0.12435117431318518,0.0,0.08693941574365327,0.0,0.0
31,2014-02-20,"[0.         0.09396342 0.         0.1297434  0.         0.11673711
 0.2050706  0.15695407 0.08643415 0.123088   0.         0.08800925
 0.        ]",0.9478504705272344,0.9684194774738342,0.09396342478168619,0.0,0.1297434013599388,0.0,0.116737110277618,0.2050705951845799,0.1569540729027243,0.08643414695990566,0.12308799803048502,0.0,0.08800925050306205,0.0,0.0
32,2014-02-21,"[0.         0.09454667 0.         0.13009683 0.         0.11637515
 0.20419076 0.15684364 0.08721601 0.12205763 0.         0.08867333
 0.        ]",0.9463510084281007,0.966266429045226,0.09454666552628059,0.0,0.13009682773700343,0.0,0.11637514834708801,0.20419075517547836,0.15684364283539967,0.08721600572051433,0.12205762773196954,0.0,0.08867332692626594,0.0,0.0
33,2014-02-24,"[0.         0.09454318 0.         0.13019477 0.         0.1164229
 0.20403206 0.15684646 0.08733603 0.12160835 0.         0.08901624
 0.        ]",0.9563392630017374,0.9783308651107557,0.09454317668735833,0.0,0.13019476746482223,0.0,0.11642289705697975,0.20403206477944683,0.15684646410643005,0.08733603419897246,0.12160835260853667,0.0,0.08901624309745369,0.0,0.0
34,2014-02-25,"[0.         0.09396134 0.         0.13012611 0.         0.11665283
 0.20455933 0.15696217 0.08714638 0.12162562 0.         0.08896622
 0.        ]",0.946790154810493,0.9701395977033027,0.09396133806213398,0.0,0.1301261146351322,0.0,0.1166528288430187,0.2045593317346373,0.1569621705189768,0.08714637527745256,0.12162561706493015,0.0,0.08896622386371837,0.0,0.0
35,2014-02-26,"[0.         0.09379633 0.         0.130123   0.         0.11690825
 0.20476761 0.15700419 0.08721219 0.12113304 0.         0.08905538
 0.        ]",0.9611580416234172,0.981673556090641,0.09379632577415667,0.0,0.13012300056623252,0.0,0.11690825315006195,0.20476761406333288,0.1570041927742481,0.08721218876551928,0.12113304155680955,0.0,0.0890553833496391,0.0,0.0
36,2014-02-27,"[0.         0.09327408 0.         0.12971872 0.         0.11714193
 0.20559231 0.15730571 0.08671898 0.12218987 0.         0.08805841
 0.        ]",0.9527713775704507,0.9767631163588144,0.0932740772158009,0.0,0.1297187162859072,0.0,0.11714192787689669,0.20559231162357772,0.1573057107106132,0.08671897750988579,0.12218986871600117,0.0,0.08805841006131745,0.0,0.0
37,2014-02-28,"[0.         0.09353515 0.         0.12986873 0.         0.11696026
 0.20525664 0.15717336 0.08698097 0.12179543 0.         0.08842946
 0.        ]",0.9560390404671121,0.9805123167630373,0.0935351480308283,0.0,0.12986872983813175,0.0,0.11696025945967647,0.20525663843778585,0.15717336336777088,0.08698096828605968,0.12179543385844023,0.0,0.08842945872130686,0.0,0.0
38,2014-03-03,"[0.         0.09382938 0.         0.12999781 0.         0.11679531
 0.20486812 0.15711195 0.08735349 0.12124927 0.         0.08879467
 0.        ]",0.9664569558913108,0.9868061908939333,0.09382938025639055,0.0,0.12999780789522863,0.0,0.11679530830873766,0.20486812043990377,0.15711195292801683,0.0873534938934784,0.12124926821395651,0.0,0.08879466806428751,0.0,0.0
39,2014-03-04,"[0.         0.09421862 0.         0.13014895 0.         0.11655704
 0.20442145 0.15701951 0.08759438 0.1211508  0.         0.08888926
 0.        ]",0.9611944115732164,0.9827127549968985,0.0942186169359687,0.0,0.1301489475247342,0.0,0.11655703814743193,0.20442145108992302,0.1570195050068623,0.0875943764661594,0.1211508017073181,0.0,0.08888926312160231,0.0,0.0
40,2014-03-05,"[0.         0.09400035 0.         0.13009204 0.         0.11663108
 0.20461001 0.15711267 0.08759165 0.1210678  0.         0.08889441
 0.        ]",0.9708947464288087,0.9902882747421872,0.09400034783603396,0.0,0.13009204375555855,0.0,0.11663107753483401,0.20461000716812616,0.1571126727707781,0.08759164691333401,0.12106779674190382,0.0,0.0888944072794314,0.0,0.0
41,2014-03-06,"[0.         0.09546831 0.         0.13050882 0.         0.11605564
 0.20296763 0.15681571 0.08893513 0.11899087 0.         0.09025789
 0.        ]",0.9861009891315432,0.9998740683140998,0.09546831046961218,0.0,0.13050881980764134,0.0,0.11605564268912887,0.20296763325814057,0.15681571110491024,0.08893512551849395,0.11899086683592228,0.0,0.09025789031615059,0.0,0.0
42,2014-03-07,"[0.         0.09552646 0.         0.130337   0.         0.11606275
 0.20309159 0.15689599 0.08830234 0.12068672 0.         0.08909715
 0.        ]",0.9911420270554172,1.0023544895521868,0.09552646457405886,0.0,0.13033700050789224,0.0,0.11606275498904597,0.20309158740666658,0.15689598582318404,0.08830234413384598,0.12068671544778775,0.0,0.08909714711751868,0.0,0.0
43,2014-03-10,"[0.         0.0955787  0.         0.13029279 0.         0.11599957
 0.20312465 0.15687406 0.08800036 0.12154781 0.         0.08858207
 0.        ]",0.9944477100245206,1.0041915417367462,0.09557869685025269,0.0,0.13029278808630257,0.0,0.1159995732507258,0.20312464560415755,0.15687405630563486,0.0880003576709451,0.12154781002994958,0.0,0.08858207220203178,0.0,0.0
44,2014-03-11,"[0.         0.09598861 0.         0.13063318 0.         0.11571139
 0.20247853 0.15664365 0.08859636 0.12064023 0.         0.08930805
 0.        ]",0.9895601493780092,1.0043698468931415,0.09598860772754612,0.0,0.13063318297019894,0.0,0.11571139347875264,0.20247853307298308,0.15664364713082118,0.0885963589212933,0.12064023066820151,0.0,0.08930804603020336,0.0,0.0
45,2014-03-12,"[0.         0.09677778 0.         0.13089282 0.         0.1152736
 0.20157782 0.15647048 0.08913665 0.12029815 0.         0.08957269
 0.        ]",0.9879803319547504,1.001088791013376,0.09677777971588779,0.0,0.13089282488831805,0.0,0.11527359570540299,0.20157782299059235,0.15647047924291047,0.08913665223381323,0.12029815202983812,0.0,0.08957269319323695,0.0,0.0
46,2014-03-13,"[0.         0.09633987 0.         0.13092344 0.         0.11531116
 0.2019204  0.15650099 0.08877103 0.12103445 0.         0.08919866
 0.        ]",0.9706286810271717,0.9877525494745307,0.09633986980362143,0.0,0.13092344426984123,0.0,0.11531116190331935,0.2019204049040609,0.15650098730229053,0.08877102645520765,0.12103444773277706,0.0,0.08919865762888182,0.0,0.0
47,2014-03-14,"[0.         0.09721966 0.         0.13134639 0.         0.11492063
 0.20067251 0.15625485 0.08996605 0.11880902 0.         0.09081089
 0.        ]",0.9941928071110364,1.0017477115617015,0.09721965737025738,0.0,0.13134639197483436,0.0,0.11492062907574828,0.200672514591228,0.15625484709974916,0.0899660503648783,0.1188090200522323,0.0,0.09081088947107209,0.0,0.0
48,2014-03-17,"[0.         0.09728004 0.         0.13142396 0.         0.11477722
 0.20062408 0.15620056 0.08971527 0.11981761 0.         0.09016126
 0.        ]",0.9724846228143285,0.9835894820291281,0.09728004124216928,0.0,0.13142395553688815,0.0,0.11477722232183053,0.200624083842619,0.1562005591042255,0.08971526559987392,0.11981761073782,0.0,0.09016126161457377,0.0,0.0
49,2014-03-18,"[0.         0.09752054 0.         0.13166369 0.         0.1145763
 0.20016226 0.15604856 0.09009677 0.1192455  0.         0.09068639
 0.        ]",0.9797097940282118,0.9868894084205473,0.09752054113092827,0.0,0.13166368559383548,0.0,0.11457630396164512,0.2001622559363528,0.156048557072963,0.09009676717578533,0.11924549955402038,0.0,0.09068638957446955,0.0,0.0
50,2014-03-19,"[0.         0.09788846 0.         0.13176727 0.         0.11440606
 0.19974999 0.15598186 0.09027062 0.11916612 0.         0.09076962
 0.        ]",0.9813043540634516,0.9875106265449171,0.09788845615378895,0.0,0.13176726988116247,0.0,0.11440606162313618,0.19974998762249116,0.15598186151552612,0.09027062085453891,0.11916612415669627,0.0,0.09076961819266006,0.0,0.0
51,2014-03-20,"[0.         0.09775456 0.         0.13171213 0.         0.11455658
 0.19992394 0.15601309 0.09006035 0.11934446 0.         0.09063488
 0.        ]",0.9905011494430057,0.9970903535601783,0.09775456083185265,0.0,0.13171213365526224,0.0,0.11455658232892396,0.19992394206170905,0.15601309418264717,0.09006034952946729,0.11934445940748663,0.0,0.09063487800265102,0.0,0.0
52,2014-03-21,"[0.         0.09713709 0.         0.1315502  0.         0.11479776
 0.20064635 0.15608854 0.089474   0.12033098 0.         0.08997507
 0.        ]",0.9744060498511076,0.9868800993925293,0.09713709370125291,0.0,0.13155019882744043,0.0,0.11479776375246846,0.20064635160403219,0.15608854136308473,0.08947399807927442,0.12033098187648397,0.0,0.0899750707959631,0.0,0.0
53,2014-03-24,"[0.         0.0976453  0.         0.131763   0.         0.11452373
 0.20011375 0.15586406 0.08970679 0.12025416 0.         0.09012921
 0.        ]",0.9894744897338941,1.0000930603912164,0.09764530171330699,0.0,0.13176300189352666,0.0,0.1145237319635768,0.2001137539847689,0.15586405777619916,0.08970678976885033,0.12025415727286358,0.0,0.0901292056269075,0.0,0.0
54,2014-03-25,"[0.         0.09853286 0.         0.13237021 0.         0.11415235
 0.19870096 0.1554957  0.09101835 0.11769511 0.         0.09203446
 0.        ]",0.9998569574081105,1.007403016942553,0.09853285624156964,0.0,0.13237020719851542,0.0,0.1141523537810364,0.19870096361928466,0.15549570100298507,0.09101834857355001,0.11769510700960653,0.0,0.09203446257345244,0.0,0.0
55,2014-03-26,"[0.         0.09855354 0.         0.1324763  0.         0.11414256
 0.19855948 0.1554594  0.09108271 0.11762887 0.         0.09209713
 0.        ]",0.99336031053737,1.0051811899269505,0.09855353505121021,0.0,0.13247630456449577,0.0,0.11414256310092954,0.19855948399188778,0.15545939840232606,0.09108271308340087,0.11762886686580262,0.0,0.09209713493994723,0.0,0.0
56,2014-03-27,"[0.         0.09944004 0.         0.13294356 0.         0.11365738
 0.19731191 0.15513827 0.09187316 0.11656792 0.         0.09306775
 0.        ]",1.0041261509197628,1.0073142616041706,0.09944003830892598,0.0,0.13294356218134132,0.0,0.11365738065851153,0.19731190534969478,0.15513827356015733,0.09187316372378648,0.11656792145511925,0.0,0.09306775476246332,0.0,0.0
57,2014-03-28,"[0.         0.09943423 0.         0.13292005 0.         0.11352007
 0.1973772  0.15515807 0.09159531 0.11767654 0.         0.09231852
 0.        ]",0.9800788244736836,0.9906093309812302,0.09943423194248456,0.0,0.13292005410365876,0.0,0.11352006833276765,0.19737720437355724,0.155158069809822,0.09159530793983826,0.11767653947370527,0.0,0.0923185240241663,0.0,0.0
58,2014-03-31,"[0.         0.0990515  0.         0.1327782  0.         0.11372799
 0.19782913 0.15524191 0.0913083  0.11800116 0.         0.09206181
 0.        ]",0.9746222481752923,0.9872926970684678,0.09905149982003626,0.0,0.13277820155824638,0.0,0.11372798763088962,0.19782913091249482,0.15524190639009744,0.0913083033472524,0.11800115688427848,0.0,0.0920618134567046,0.0,0.0
59,2014-04-01,"[0.         0.09847148 0.         0.13257098 0.         0.11401853
 0.19856723 0.15535237 0.09077542 0.11870157 0.         0.09154242
 0.        ]",0.9722476531050839,0.9896741583002409,0.09847148449137005,0.0,0.13257097995454623,0.0,0.11401852593333045,0.19856722749360978,0.15535236758717993,0.09077541823406188,0.11870157248704877,0.0,0.09154242381885276,0.0,0.0
60,2014-04-02,"[0.         0.10267164 0.         0.13257536 0.         0.11274981
 0.1949043  0.15574261 0.10364637 0.1072827  0.         0.09042721
 0.        ]",0.9835231908913533,0.9981686162545089,0.1026716417881162,0.0,0.13257536378323106,0.0,0.11274980649899424,0.19490429920820374,0.15574260890461855,0.10364636872827403,0.1072827003671932,0.0,0.09042721072136893,0.0,0.0
61,2014-04-03,"[0.         0.10352823 0.         0.13276055 0.         0.11266599
 0.19405856 0.1555729  0.10487879 0.10632031 0.         0.09021467
 0.        ]",1.0060131135933736,1.0097588410460618,0.10352823414025741,0.0,0.1327605541144243,0.0,0.11266598763073174,0.19405855916148865,0.15557289548105444,0.10487878735868593,0.10632030909971936,0.0,0.09021467301363832,0.0,0.0
62,2014-04-04,"[0.         0.10352588 0.         0.13273116 0.         0.11274235
 0.19424466 0.15562316 0.10448215 0.10703768 0.         0.08961297
 0.        ]",1.006887363359604,1.0124718708909657,0.10352588265446917,0.0,0.13273115544491684,0.0,0.11274234893941103,0.19424465713124814,0.15562316368250861,0.10448214803106051,0.10703767600124353,0.0,0.08961296811514204,0.0,0.0
63,2014-04-07,"[0.         0.10349788 0.         0.13295961 0.         0.11266328
 0.19439608 0.15548656 0.10440828 0.10704105 0.         0.08954726
 0.        ]",1.0096774687030137,1.0147381020039465,0.10349788283364204,0.0,0.13295960944629548,0.0,0.11266327673378276,0.19439608182685905,0.15548656096727312,0.10440827865911019,0.10704104566654066,0.0,0.08954726386649675,0.0,0.0
64,2014-04-08,"[0.         0.10313347 0.         0.13275051 0.         0.11271113
 0.19552166 0.15573489 0.10313348 0.10921712 0.         0.08779774
 0.        ]",0.9846920047304605,0.9924675870051738,0.10313347392854086,0.0,0.13275050759371473,0.0,0.11271112797513703,0.19552165722410944,0.15573488874314795,0.10313347950659886,0.10921712101733295,0.0,0.08779774401141816,0.0,0.0
65,2014-04-09,"[0.         0.10254523 0.         0.13272676 0.         0.1129677
 0.19624265 0.15570452 0.10273409 0.10935726 0.         0.0877218
 0.        ]",0.9775689680599594,0.9866052274768948,0.10254522596124693,0.0,0.13272676067908037,0.0,0.11296769864726534,0.19624264953153572,0.15570451887403364,0.1027340936869496,0.10935725519460326,0.0,0.0877217974252852,0.0,0.0
