,Date,Weights,Profit,Base Profit,MTH,BZH,PHM,NVR,HUBB,IIN,MRCY,AVX,BIO,PKI,COHR,WAT,cash
851,2017-05-23,"[0.         0.1619527  0.12343609 0.11201579 0.09271467 0.
 0.         0.         0.1369982  0.09099041 0.11343035 0.06987133
 0.09859047]",1.6089308211874709,1.6386388198852604,0.1619526964843754,0.12343609111909082,0.11201579001541422,0.09271466796290687,0.0,0.0,0.0,0.13699820151950487,0.09099041057988476,0.11343034650364456,0.06987132672423998,0.09859046909093858,0.0
852,2017-05-24,"[0.         0.1618687  0.12368079 0.11216456 0.0926054  0.
 0.         0.         0.13690502 0.09108542 0.11314006 0.07000259
 0.09854746]",1.6177032967220968,1.6489561482743404,0.1618687002470386,0.1236807881165317,0.1121645624153911,0.09260540043512466,0.0,0.0,0.0,0.13690502064406984,0.09108542467835168,0.11314005568027975,0.07000258715336666,0.09854746062984612,0.0
853,2017-05-25,"[0.         0.16185607 0.12352193 0.11216427 0.09278021 0.
 0.         0.         0.13697732 0.09093937 0.11328492 0.06992502
 0.09855089]",1.588727254464897,1.6364249262876547,0.1618560721380611,0.12352192622856145,0.11216427020596192,0.09278021499215985,0.0,0.0,0.0,0.13697732247750197,0.09093936505537523,0.11328492174067917,0.06992502056764961,0.0985508865940497,0.0
854,2017-05-26,"[0.         0.16180988 0.1237159  0.11223577 0.09274583 0.
 0.         0.         0.13684203 0.09095792 0.11308612 0.07003902
 0.09856752]",1.5993986724446583,1.6428595652106843,0.16180988306567773,0.123715904409814,0.11223576807740533,0.09274583416089335,0.0,0.0,0.0,0.13684202601601425,0.09095792356574292,0.11308612204775516,0.07003902155560797,0.09856751710108917,0.0
855,2017-05-30,"[0.         0.16170292 0.12419242 0.11237862 0.09279152 0.
 0.         0.         0.13655525 0.09084508 0.11276139 0.07014544
 0.09862736]",1.584098288876757,1.6445112647857822,0.16170292434671027,0.12419242104929173,0.11237861736096519,0.0927915209443275,0.0,0.0,0.0,0.1365552484407273,0.09084507502385072,0.11276139216554715,0.07014544366153928,0.09862735700704092,0.0
856,2017-05-31,"[0.         0.16170367 0.12397994 0.11251749 0.09291192 0.
 0.         0.         0.13665204 0.09077961 0.11282028 0.07007721
 0.09855785]",1.5765849704629038,1.6469444242654794,0.1617036659915649,0.12397993847672678,0.11251748847016135,0.09291191842355047,0.0,0.0,0.0,0.1366520437683008,0.09077960747955106,0.1128202766932299,0.07007721263662636,0.09855784806028842,0.0
857,2017-06-01,"[0.         0.16184286 0.12403644 0.11243309 0.09303004 0.
 0.         0.         0.13674178 0.09052156 0.1131598  0.06963692
 0.0985975 ]",1.5774798553569866,1.6541558038957231,0.16184286477957507,0.12403644436774801,0.11243309444996702,0.0930300358012488,0.0,0.0,0.0,0.1367417798229469,0.09052156318572328,0.11315980140194026,0.06963691929462636,0.0985974968962242,0.0
858,2017-06-02,"[0.         0.16187624 0.12384515 0.11242497 0.0929968  0.
 0.         0.         0.13673366 0.09061827 0.11313798 0.06977853
 0.09858839]",1.5708949097001275,1.653043769617423,0.1618762362922135,0.1238451516184916,0.11242497442731193,0.09299680136890852,0.0,0.0,0.0,0.1367336557655231,0.09061826947227686,0.11313798368839399,0.06977853400246181,0.0985883933644187,0.0
859,2017-06-05,"[0.         0.16191    0.12323141 0.11257389 0.09312547 0.
 0.         0.         0.13708815 0.09062386 0.11338678 0.06962945
 0.09843099]",1.5891420304222907,1.6566955043139309,0.16190999807464027,0.12323141285527735,0.11257389439081504,0.09312546567916256,0.0,0.0,0.0,0.13708814555018078,0.09062385651888459,0.11338678267741094,0.06962945079063214,0.09843099346299637,0.0
860,2017-06-06,"[0.         0.16177343 0.12352343 0.11283413 0.09314375 0.
 0.         0.         0.13695663 0.09059414 0.11302585 0.0697604
 0.09838825]",1.6078173205722364,1.6791494938358331,0.16177343240806916,0.12352342560799172,0.11283412750204329,0.09314374711963566,0.0,0.0,0.0,0.1369566290486869,0.09059414347215382,0.11302585087121537,0.06976039747485055,0.09838824649535358,0.0
861,2017-06-07,"[0.         0.1619262  0.12311839 0.1127015  0.09310066 0.
 0.         0.         0.13716351 0.09067172 0.11334674 0.06960591
 0.09836536]",1.585500029240228,1.6573835027227537,0.1619261995259227,0.12311839190591185,0.11270149843491557,0.09310066188265259,0.0,0.0,0.0,0.13716351478067146,0.09067171771950017,0.1133467409953922,0.06960591299496266,0.0983653617600707,0.0
862,2017-06-08,"[0.         0.16191994 0.12272472 0.11276467 0.09317468 0.
 0.         0.         0.13737725 0.09069767 0.11346554 0.06959806
 0.09827747]",1.5928727846365138,1.6641523416120136,0.1619199352313394,0.12272471860943188,0.11276467295890692,0.09317467967045957,0.0,0.0,0.0,0.13737725107787532,0.09069767317095473,0.1134655403010477,0.06959806172810357,0.09827746725188101,0.0
863,2017-06-09,"[0.         0.16193137 0.12292631 0.11276719 0.09304468 0.
 0.         0.         0.13723582 0.09079061 0.11328696 0.06970818
 0.09830888]",1.6022633182567458,1.6682385286406456,0.1619313664603459,0.12292631433572944,0.11276718599098837,0.09304468081881745,0.0,0.0,0.0,0.13723582475542817,0.09079061455715777,0.11328695741190088,0.06970818053682877,0.09830887513280327,0.0
864,2017-06-12,"[0.         0.1618855  0.12322854 0.11290816 0.09311004 0.
 0.         0.         0.13703934 0.09067145 0.11309992 0.06971628
 0.09834076]",1.60805734446557,1.6773852303965113,0.1618855040995734,0.12322854287265907,0.11290815588359741,0.09311004475161772,0.0,0.0,0.0,0.13703933846226868,0.0906714531739162,0.11309991952595602,0.06971627661112577,0.09834076461928576,0.0
865,2017-06-13,"[0.         0.16206724 0.12239578 0.11271108 0.09317979 0.
 0.         0.         0.13725545 0.09077539 0.11351326 0.06975416
 0.09834783]",1.5927961170238825,1.6531865029516049,0.1620672426255518,0.12239578199636826,0.1127110806704156,0.09317979129515426,0.0,0.0,0.0,0.13725545167209555,0.09077539355912488,0.11351326035475766,0.06975416328822315,0.09834783453830881,0.0
866,2017-06-14,"[0.         0.16225351 0.12145951 0.11261332 0.0932303  0.
 0.         0.         0.13782478 0.0908515  0.11413965 0.06941898
 0.09820844]",1.5893942847360232,1.6484473776523758,0.16225350519619594,0.12145950866260022,0.1126133236649639,0.0932303011071849,0.0,0.0,0.0,0.13782478401628487,0.090851502280223,0.11413965233764953,0.06941898180066886,0.09820844093422876,0.0
867,2017-06-15,"[0.         0.16225978 0.12166953 0.11268283 0.09314399 0.
 0.         0.         0.13770792 0.090885   0.11394134 0.0694898
 0.09821982]",1.6041757726733499,1.6573075681462508,0.1622597787551114,0.12166953315436076,0.11268282807126917,0.09314398665624146,0.0,0.0,0.0,0.13770792206486115,0.09088500186684301,0.11394133533100942,0.06948979542875293,0.09821981867155065,0.0
868,2017-06-16,"[0.         0.16234493 0.12181607 0.11261994 0.09308595 0.
 0.         0.         0.13760928 0.09087122 0.11395344 0.06942267
 0.09827649]",1.5925584850597652,1.635931495392124,0.16234492751413948,0.12181607115503157,0.1126199441783004,0.09308595480430264,0.0,0.0,0.0,0.13760928018846477,0.09087122226274258,0.11395343748333474,0.06942267494364504,0.09827648747003888,0.0
