,Date,Weights,Profit,Base Profit,BMY,ABT,PFE,JNJ,PFIN,SPXC,LECO,CVR,TRT,IVAC,ASYS,VECO,cash
726,2016-11-21,"[0.         0.08571053 0.         0.         0.09277204 0.19008321
 0.         0.07956097 0.16304975 0.13201285 0.10189455 0.07881054
 0.07610555]",1.1174555287542416,0.9866615083241582,0.0857105349648435,0.0,0.0,0.0927720435141855,0.19008320840620352,0.0,0.07956097195204495,0.16304974791025123,0.13201284528122895,0.10189455133431571,0.07881054351774514,0.0761055531191817,0.0
727,2016-11-22,"[0.         0.08552604 0.         0.         0.09254391 0.19000585
 0.         0.07976179 0.16291206 0.13197732 0.10208895 0.07929481
 0.07588927]",1.1147182116341592,0.9850372690848201,0.08552603572159205,0.0,0.0,0.09254390747341214,0.19000585352492455,0.0,0.07976178909943368,0.16291206398908456,0.13197732309473176,0.10208895125476614,0.07929480838826451,0.07588926745379058,0.0
728,2016-11-23,"[0.         0.08530907 0.         0.         0.09225914 0.19015774
 0.         0.07977973 0.16295206 0.13207881 0.102016   0.07966967
 0.07577778]",1.1203083914797745,0.9862072747184398,0.08530906517152921,0.0,0.0,0.09225914363151048,0.19015773995677293,0.0,0.07977972944923156,0.1629520639471398,0.1320788143578545,0.10201599573685727,0.07966966861885985,0.07577777913024436,0.0
729,2016-11-25,"[0.         0.08512036 0.         0.         0.09203884 0.19040927
 0.         0.08052273 0.16252703 0.13219205 0.10210991 0.08084584
 0.07423397]",1.128084654931095,0.9856226880511748,0.08512035916446642,0.0,0.0,0.09203883702677645,0.1904092708074432,0.0,0.0805227312268542,0.16252703036033014,0.13219205289714134,0.10210990648749464,0.08084584003019017,0.07423397199930343,0.0
730,2016-11-28,"[0.         0.08409235 0.         0.         0.09087521 0.19018214
 0.         0.08059756 0.16261273 0.13227592 0.10273692 0.08120364
 0.07542352]",1.1523245773455948,1.0008112232258304,0.08409235056750673,0.0,0.0,0.0908752093676696,0.1901821434611614,0.0,0.08059756098567492,0.16261273471842536,0.1322759179694439,0.10273691633829238,0.08120364359002262,0.07542352300180304,0.0
731,2016-11-29,"[0.         0.08410315 0.         0.         0.09089861 0.19019471
 0.         0.08044739 0.16268966 0.13223668 0.10267435 0.08117402
 0.07558143]",1.1506893855007327,1.0013098018518052,0.08410315026162671,0.0,0.0,0.09089860900295964,0.19019471305838195,0.0,0.08044739293303743,0.16268965546978142,0.1322366790793627,0.1026743513390765,0.08117402179393897,0.07558142706183459,0.0
732,2016-11-30,"[0.         0.08449225 0.         0.         0.09096901 0.19009178
 0.         0.08029516 0.16249632 0.1322453  0.10277202 0.08136258
 0.07527559]",1.148318268588946,0.9950825408234614,0.08449224531947665,0.0,0.0,0.09096901476634499,0.19009177851628023,0.0,0.08029516078617341,0.1624963164723188,0.13224529751450398,0.10277201614972871,0.08136258410460255,0.07527558637057052,0.0
733,2016-12-01,"[0.         0.08475136 0.         0.         0.09149232 0.1904413
 0.         0.08018476 0.16234022 0.13204128 0.10266872 0.08189084
 0.07418919]",1.1407336101123957,0.9935252379258093,0.08475136348703506,0.0,0.0,0.09149232209840014,0.19044130341309032,0.0,0.0801847594234779,0.162340216923167,0.1320412824003388,0.10266871985500177,0.08189084155365799,0.07418919084583096,0.0
734,2016-12-02,"[0.         0.08468073 0.         0.         0.09158438 0.19073244
 0.         0.08050419 0.16188401 0.1320011  0.10288133 0.0829963
 0.07273553]",1.1520454081609088,0.9979051469575837,0.08468072501900248,0.0,0.0,0.09158437662884182,0.1907324366212349,0.0,0.08050419305234573,0.16188400816540766,0.1320010980008308,0.10288133128525699,0.08299630315325099,0.07273552807382874,0.0
735,2016-12-05,"[0.         0.08481515 0.         0.         0.0909331  0.19037322
 0.         0.08040559 0.16220718 0.13248607 0.10260007 0.08217063
 0.07400899]",1.1442336181764516,0.9901720547614182,0.08481514829480984,0.0,0.0,0.09093309857957924,0.19037321712874258,0.0,0.08040558866791675,0.1622071795013839,0.13248607320416048,0.10260006824271317,0.08217063334724183,0.07400899303345203,0.0
736,2016-12-06,"[0.         0.08462796 0.         0.         0.09082394 0.1902977
 0.         0.08036611 0.16231341 0.13242624 0.10272284 0.08219976
 0.07422203]",1.1430078830981647,0.9921578866490002,0.0846279598537858,0.0,0.0,0.09082394422971675,0.190297703172384,0.0,0.0803661098391338,0.1623134147843431,0.13242623714672952,0.10272284291924694,0.08219975586485813,0.07422203218980195,0.0
737,2016-12-07,"[0.         0.08452103 0.         0.         0.09067579 0.19021603
 0.         0.08012825 0.1625958  0.13240548 0.10260529 0.08159477
 0.07525757]",1.1614107190291627,1.0002576330201298,0.08452102552941884,0.0,0.0,0.0906757868058847,0.19021602602836457,0.0,0.0801282539686089,0.1625957995253831,0.1324054763239198,0.10260529377252274,0.08159476697664587,0.07525757106925138,0.0
738,2016-12-08,"[0.         0.08435266 0.         0.         0.09066522 0.19000302
 0.         0.08021533 0.16221976 0.13220493 0.10324306 0.08196875
 0.07512728]",1.1704609442020708,1.0020428274659574,0.084352660066372,0.0,0.0,0.09066522355823659,0.19000301574459058,0.0,0.08021533239171157,0.16221975776443046,0.1322049257245674,0.10324305790482155,0.08196874752839185,0.07512727931687795,0.0
739,2016-12-09,"[0.         0.08445782 0.         0.         0.09065174 0.1898234
 0.         0.08001647 0.16226478 0.13215292 0.1033565  0.08166071
 0.07561567]",1.1758757832496451,1.0035437726291203,0.08445781810958147,0.0,0.0,0.09065174401513441,0.18982340009515458,0.0,0.08001646543389423,0.1622647760548712,0.13215291613879462,0.10335650092320989,0.08166070946460058,0.0756156697647591,0.0
740,2016-12-12,"[0.         0.08416117 0.         0.         0.09101823 0.1898989
 0.         0.08017466 0.16227045 0.13182842 0.10338679 0.08140443
 0.07585695]",1.167672376131671,1.0020031723473437,0.08416116881824973,0.0,0.0,0.09101823057628232,0.1898988969489598,0.0,0.0801746629467972,0.16227045409701754,0.13182841719731983,0.10338679385438357,0.08140442634284112,0.07585694921814898,0.0
741,2016-12-13,"[0.         0.08381454 0.         0.         0.09136671 0.19034863
 0.         0.08051602 0.16172396 0.13166953 0.10365198 0.08251922
 0.07438941]",1.1728838419539251,1.0076239381243624,0.08381454166087429,0.0,0.0,0.09136671223616617,0.1903486265604168,0.0,0.08051602297773734,0.16172396067569003,0.13166953039385224,0.10365198373214617,0.08251921607374758,0.07438940568936922,0.0
742,2016-12-14,"[0.         0.08421826 0.         0.         0.09111242 0.19009027
 0.         0.07995556 0.16240072 0.13174405 0.10325348 0.08165638
 0.07556885]",1.1848565166140845,1.0161041770630341,0.08421826249210856,0.0,0.0,0.09111241640590177,0.190090273823222,0.0,0.07995556359885575,0.1624007220951761,0.1317440503818581,0.10325348274017493,0.08165637911310594,0.07556884934959675,0.0
743,2016-12-15,"[0.         0.08428959 0.         0.         0.0914578  0.19055591
 0.         0.0800407  0.16256319 0.13167541 0.10261665 0.08177056
 0.07503018]",1.1948983105955062,1.020884883811594,0.0842895892272293,0.0,0.0,0.09145780426560213,0.1905559115873518,0.0,0.08004070353437007,0.16256319398156802,0.13167540741652617,0.10261665252281157,0.08177055951179907,0.07503017795274179,0.0
744,2016-12-16,"[0.         0.08388539 0.         0.         0.0918978  0.19107056
 0.         0.0807726  0.16161054 0.13148321 0.10288941 0.08324141
 0.07314908]",1.1818294222146861,1.0131235749740712,0.08388539234278479,0.0,0.0,0.09189779645053466,0.19107056173776543,0.0,0.0807725975587853,0.1616105441692144,0.13148321171837843,0.10288941075386668,0.08324140577502574,0.0731490794936447,0.0
745,2016-12-19,"[0.         0.08372082 0.         0.         0.09134168 0.19072601
 0.         0.08082087 0.16156257 0.13158671 0.10333602 0.08325341
 0.07365191]",1.1937704269193976,1.0205185731132838,0.0837208214257373,0.0,0.0,0.09134167624970135,0.19072600792558148,0.0,0.08082087372159187,0.1615625749950883,0.13158670689962587,0.10333602052816018,0.08325340854841488,0.0736519097060989,0.0
746,2016-12-20,"[0.         0.08416792 0.         0.         0.09177649 0.19090013
 0.         0.08086444 0.16136331 0.13161564 0.10302047 0.08352785
 0.07276375]",1.1889419625123347,1.0132062552262138,0.08416791909766451,0.0,0.0,0.09177649114596732,0.19090013145827048,0.0,0.08086443569851792,0.1613633080064801,0.13161564204821863,0.10302047119754831,0.08352784810385212,0.07276375324348047,0.0
747,2016-12-21,"[0.         0.08375268 0.         0.         0.09170486 0.19101189
 0.         0.0811393  0.16103585 0.13158227 0.10321582 0.08395624
 0.07260109]",1.197110279090754,1.0202653467801088,0.08375267798050737,0.0,0.0,0.09170485783933066,0.1910118874121186,0.0,0.08113930481279996,0.16103585264136036,0.13158226556306496,0.10321581918747107,0.08395624307447185,0.07260109148887514,0.0
748,2016-12-22,"[0.         0.08349319 0.         0.         0.09166469 0.19124197
 0.         0.08127624 0.1611217  0.13155401 0.10298787 0.08410558
 0.07255474]",1.1953176255740343,1.0218053713156003,0.08349318543947251,0.0,0.0,0.09166469081855233,0.1912419746942601,0.0,0.08127624347793841,0.16112169973422674,0.13155401260768404,0.10298787365552661,0.08410558167134116,0.07255473790099809,0.0
749,2016-12-23,"[0.         0.08355703 0.         0.         0.09125562 0.19092845
 0.         0.08116484 0.16131976 0.13178596 0.10304111 0.08347701
 0.0734702 ]",1.1924045948245277,1.015230849237412,0.08355703419772033,0.0,0.0,0.09125562210106283,0.1909284538958399,0.0,0.08116484420873885,0.16131976146251711,0.13178596241368487,0.1030411145844142,0.08347700810572085,0.07347019903030097,0.0
750,2016-12-27,"[0.         0.08345782 0.         0.         0.0911606  0.19081464
 0.         0.08118371 0.16132667 0.13184091 0.10316993 0.08341371
 0.07363201]",1.1811885783782474,1.0118078579526133,0.08345782072338952,0.0,0.0,0.09116060472581167,0.19081464143038207,0.0,0.08118371215861933,0.16132666594277312,0.1318409089536502,0.10316992787894645,0.08341370947406451,0.07363200871236333,0.0
751,2016-12-28,"[0.         0.08351823 0.         0.         0.09234924 0.19140469
 0.         0.08134634 0.16101976 0.13141847 0.10280014 0.08356689
 0.07257624]",1.1837138251505068,1.015238840404733,0.08351822695952746,0.0,0.0,0.09234924396782346,0.1914046865152357,0.0,0.08134633779251532,0.16101975652487585,0.1314184748078337,0.10280014422170643,0.0835668865522947,0.07257624265818739,0.0
752,2016-12-29,"[0.         0.08413472 0.         0.         0.09353764 0.19137853
 0.         0.08116021 0.16058994 0.13033454 0.10338779 0.08406661
 0.07141001]",1.198551651122393,1.021760272809115,0.08413472017282227,0.0,0.0,0.09353764000756427,0.1913785339310775,0.0,0.08116021292497148,0.16058994063128357,0.13033454465232633,0.1033877880861961,0.08406660574497007,0.07141001384878831,0.0
753,2016-12-30,"[0.         0.08446362 0.         0.         0.09318414 0.19098461
 0.         0.08109732 0.16121662 0.13070565 0.10298186 0.08337315
 0.07199304]",1.204697454563042,1.0202141268667853,0.08446362275230128,0.0,0.0,0.09318413704988136,0.1909846061626625,0.0,0.08109731589162035,0.16121662065908035,0.13070564811653163,0.10298185988411192,0.08337314819651248,0.07199304128729825,0.0
754,2017-01-03,"[0.         0.07960758 0.         0.         0.07815938 0.19428591
 0.         0.08913678 0.16941683 0.14838681 0.08601245 0.07126057
 0.08373369]",1.222584610985904,1.0300458117680253,0.07960758487621468,0.0,0.0,0.0781593783748396,0.19428591139766174,0.0,0.08913678364752199,0.16941682813933512,0.1483868057701055,0.08601245291678726,0.07126056571233257,0.08373368916520157,0.0
755,2017-01-04,"[0.         0.07856339 0.         0.         0.07623447 0.19468802
 0.         0.09027294 0.17070102 0.15161291 0.0836339  0.06899729
 0.08529607]",1.240647255012714,1.0412314915878589,0.07856338899047574,0.0,0.0,0.07623446576247403,0.19468802355396592,0.0,0.09027293953222262,0.1707010178771954,0.15161290807883404,0.08363389558389546,0.06899729149008288,0.08529606913085398,0.0
756,2017-01-05,"[0.         0.07846977 0.         0.         0.07715608 0.19495519
 0.         0.09070578 0.17032174 0.15096058 0.08359507 0.06950212
 0.08433366]",1.2571677635380492,1.0523597242342604,0.07846977070618782,0.0,0.0,0.07715608458151227,0.19495519475552095,0.0,0.09070577869409474,0.17032173970808598,0.15096057607548097,0.08359507427814578,0.06950211854723606,0.08433366265373526,0.0
757,2017-01-06,"[0.         0.07840442 0.         0.         0.07719879 0.19471041
 0.         0.09027232 0.16986805 0.15054918 0.08451735 0.07054581
 0.08393367]",1.2468832337764397,1.0497959757870405,0.07840441769249946,0.0,0.0,0.07719879102799329,0.19471041353606364,0.0,0.09027232075699819,0.16986804514913711,0.15054917526006495,0.08451735040392934,0.07054581339943461,0.08393367277387957,0.0
758,2017-01-09,"[0.         0.0782721  0.         0.         0.07751303 0.19524478
 0.         0.0910347  0.16991919 0.15096498 0.08370219 0.06984543
 0.08350359]",1.2485848974228564,1.050775386358235,0.07827210342828138,0.0,0.0,0.0775130331764627,0.19524478193522832,0.0,0.091034701004138,0.16991919165098104,0.15096497912897883,0.08370218880383994,0.06984542794657092,0.08350359292551886,0.0
759,2017-01-10,"[0.         0.07787461 0.         0.         0.07674306 0.19497123
 0.         0.09041347 0.16993175 0.15130259 0.0844859  0.06967787
 0.08459951]",1.236979254370197,1.0466257514701172,0.0778746104381917,0.0,0.0,0.07674306361181298,0.19497123029994748,0.0,0.09041346676243263,0.1699317542774153,0.15130259365286758,0.08448590179954416,0.06967786565374458,0.0845995135040435,0.0
760,2017-01-11,"[0.         0.077795   0.         0.         0.0758064  0.19473108
 0.         0.09009237 0.1701411  0.15243822 0.08440975 0.06918701
 0.08539906]",1.2633113108083065,1.055329101532923,0.07779500382568333,0.0,0.0,0.07580640443716587,0.1947310783871022,0.0,0.09009236847366581,0.17014109656000687,0.15243822011719393,0.08440975260783937,0.06918701427569775,0.08539906131564502,0.0
761,2017-01-12,"[0.         0.07731033 0.         0.         0.07512578 0.19462678
 0.         0.09004707 0.17020056 0.15304906 0.08451065 0.06906992
 0.08605985]",1.262570242993442,1.0565118313510682,0.07731032664896942,0.0,0.0,0.0751257810385008,0.19462678247016374,0.0,0.09004707026276249,0.17020055621760619,0.15304906422234826,0.0845106529791858,0.06906992016123856,0.08605984599922484,0.0
762,2017-01-13,"[0.         0.07704203 0.         0.         0.07394918 0.1941241
 0.         0.08902252 0.17097782 0.15368187 0.08531406 0.06764561
 0.0882428 ]",1.2474446522997602,1.0453698797875193,0.07704203446002349,0.0,0.0,0.07394917626148337,0.19412409794040217,0.0,0.08902252162707824,0.17097781923682062,0.15368187486757146,0.08531405804232153,0.0676456128047652,0.08824280475953403,0.0
763,2017-01-17,"[0.         0.07723059 0.         0.         0.07421239 0.1936626
 0.         0.08856681 0.17067274 0.15311153 0.08619293 0.06830722
 0.08804319]",1.2325257686871023,1.0386345961132721,0.07723059088540106,0.0,0.0,0.07421238800261204,0.1936626034645049,0.0,0.08856680725979821,0.1706727439215814,0.1531115273447095,0.0861929321377101,0.0683072157151222,0.08804319126856067,0.0
764,2017-01-18,"[0.         0.07713482 0.         0.         0.07382377 0.19356241
 0.         0.08830643 0.17090204 0.15343799 0.08617909 0.06788589
 0.08876757]",1.2409856972707491,1.039792959405787,0.07713481536089496,0.0,0.0,0.07382376982302748,0.1935624052081944,0.0,0.08830643190968145,0.17090203947998125,0.15343799095943442,0.08617909470401897,0.06788588701031789,0.08876756554444921,0.0
765,2017-01-19,"[0.         0.07734145 0.         0.         0.07379116 0.19307721
 0.         0.08779619 0.17057607 0.1531961  0.08685331 0.06803987
 0.08932864]",1.246194569275431,1.038992704232745,0.0773414546587831,0.0,0.0,0.07379116265803819,0.19307720867163616,0.0,0.08779618883396154,0.1705760681922034,0.15319610195207534,0.08685330613940152,0.0680398685066183,0.08932864038728253,0.0
766,2017-01-20,"[0.         0.07707657 0.         0.         0.07349349 0.19310309
 0.         0.08794216 0.17072455 0.15349487 0.0867052  0.06796133
 0.08949873]",1.2491853985164525,1.0399766342856582,0.07707657290861343,0.0,0.0,0.07349349055263725,0.1931030937029551,0.0,0.0879421627108795,0.17072454693882216,0.1534948746660721,0.08670519698008206,0.06796133050149829,0.08949873103844024,0.0
767,2017-01-23,"[0.         0.07745311 0.         0.         0.07369171 0.19265735
 0.         0.08737488 0.17041663 0.15293934 0.08746342 0.06858573
 0.08941782]",1.2424440268730916,1.0350761923014384,0.07745310920391729,0.0,0.0,0.07369171360640732,0.1926573541118816,0.0,0.08737488215031484,0.1704166271301831,0.1529393364611544,0.08746342127245973,0.06858573324920332,0.08941782281447841,0.0
768,2017-01-24,"[0.         0.07798557 0.         0.         0.07135952 0.19169867
 0.         0.08428879 0.1724019  0.15304502 0.08847426 0.0667962
 0.09395008]",1.2355621167656874,1.0284011407404565,0.07798556714859319,0.0,0.0,0.07135951907330906,0.19169866914519895,0.0,0.08428879171319098,0.17240189528396116,0.15304501830917422,0.08847425970170159,0.06679619733448657,0.09395008229038417,0.0
769,2017-01-25,"[0.         0.07795847 0.         0.         0.07194914 0.19139033
 0.         0.08439953 0.17205279 0.15245275 0.08901169 0.06718866
 0.09359664]",1.242001930124975,1.0315492998173974,0.07795846711896884,0.0,0.0,0.07194914339572854,0.1913903309241504,0.0,0.08439952548330022,0.1720527872162214,0.15245275059124214,0.08901169461166904,0.06718866368277882,0.09359663697594063,0.0
770,2017-01-26,"[0.         0.07989514 0.         0.         0.07548375 0.20705772
 0.         0.09359408 0.18549356 0.16701147 0.08980606 0.
 0.10165824]",1.2928811777773814,1.0621615709467431,0.0798951359972112,0.0,0.0,0.075483745777809,0.20705771590773883,0.0,0.09359407652046094,0.18549355588213573,0.16701147109147144,0.08980606267042444,0.0,0.10165823615274837,0.0
771,2017-01-27,"[0.         0.07988033 0.         0.         0.07533784 0.20763255
 0.         0.0925708  0.18562103 0.16692726 0.09093852 0.
 0.10109168]",1.2875199284953176,1.0592128934862544,0.07988032691877063,0.0,0.0,0.07533783823478121,0.2076325450647335,0.0,0.09257080003413948,0.18562102976961287,0.16692726304821062,0.09093852000368857,0.0,0.10109167692606304,0.0
772,2017-01-30,"[0.         0.0797393  0.         0.         0.07424567 0.20728361
 0.         0.09053751 0.18591781 0.1666287  0.09223809 0.
 0.10340931]",1.2753307928291568,1.0560498253510353,0.07973930020520273,0.0,0.0,0.07424566964479198,0.20728361097302087,0.0,0.09053751224647413,0.18591781383255726,0.16662870035964994,0.09223808742478685,0.0,0.10340930531351626,0.0
773,2017-01-31,"[0.         0.07990563 0.         0.         0.07391187 0.2068447
 0.         0.09026674 0.18578965 0.16673789 0.09290557 0.
 0.10363795]",1.2943273558482713,1.0593991236438818,0.07990562843259785,0.0,0.0,0.07391187495461951,0.20684470290970008,0.0,0.090266739440641,0.18578964595302425,0.1667378859576499,0.0929055678711257,0.0,0.10363795448064157,0.0
774,2017-02-01,"[0.         0.07949862 0.         0.         0.07389173 0.20695515
 0.         0.09087544 0.18537369 0.16763581 0.09279582 0.
 0.10297374]",1.3038613846851874,1.0595584266264437,0.07949862295022442,0.0,0.0,0.07389172822073636,0.20695515494207778,0.0,0.09087544152571812,0.18537368562583514,0.16763580902462405,0.09279581661732819,0.0,0.10297374109345588,0.0
775,2017-02-02,"[0.         0.07898738 0.         0.         0.07417172 0.20723866
 0.         0.09107567 0.18492373 0.16772966 0.09349792 0.
 0.10237527]",1.3011011821093736,1.067418073824273,0.07898737653815559,0.0,0.0,0.07417171746473702,0.20723865660026677,0.0,0.0910756690115635,0.1849237279045179,0.16772966346342014,0.09349791731882534,0.0,0.10237527169851367,0.0
776,2017-02-03,"[0.         0.07868293 0.         0.         0.07415265 0.20749023
 0.         0.09109262 0.18476831 0.16801723 0.09351849 0.
 0.10227755]",1.3059798776757212,1.069844789505056,0.07868292860857487,0.0,0.0,0.07415264627036383,0.2074902290831111,0.0,0.09109262305929197,0.18476830752130252,0.1680172289151211,0.0935184885291936,0.0,0.10227754801304098,0.0
777,2017-02-06,"[0.         0.07813492 0.         0.         0.07418275 0.20789373
 0.         0.09169987 0.18443943 0.16862021 0.09363402 0.
 0.10139507]",1.283745950129332,1.0633247551216638,0.07813492450315301,0.0,0.0,0.07418274683399456,0.207893726782234,0.0,0.09169987363141804,0.18443943231100499,0.16862020764617303,0.09363401535368107,0.0,0.10139507293834119,0.0
778,2017-02-07,"[0.         0.07855274 0.         0.         0.07498732 0.20812064
 0.         0.09200645 0.18446316 0.16801334 0.09344788 0.
 0.10040848]",1.2859342647381182,1.0665897132690656,0.07855273982284103,0.0,0.0,0.07498731595685247,0.20812063909691142,0.0,0.09200645104112977,0.18446315625229853,0.16801334253132502,0.09344787928660722,0.0,0.10040847601203445,0.0
779,2017-02-08,"[0.         0.07811987 0.         0.         0.07460551 0.20869626
 0.         0.09290005 0.18468354 0.16947088 0.09185539 0.
 0.0996685 ]",1.295939698765289,1.0728982253886885,0.07811986594216626,0.0,0.0,0.07460550875999448,0.2086962620674521,0.0,0.09290004535126106,0.18468354422932967,0.16947088308244795,0.0918553936834036,0.0,0.09966849688394497,0.0
780,2017-02-09,"[0.         0.07748872 0.         0.         0.07437234 0.20883843
 0.         0.09299967 0.18426122 0.17003107 0.09219469 0.
 0.09981384]",1.2915616726407704,1.0689673259766095,0.07748872141633822,0.0,0.0,0.07437234478955589,0.20883843019634762,0.0,0.09299966868093623,0.18426122425619396,0.1700310749485915,0.09219469192299605,0.0,0.09981384378904062,0.0
781,2017-02-10,"[0.         0.07768604 0.         0.         0.07466197 0.20892531
 0.         0.09326552 0.18404406 0.17016121 0.09247845 0.
 0.09877744]",1.2796699036749313,1.0620349540020273,0.0776860406909072,0.0,0.0,0.07466196612458263,0.20892530910721993,0.0,0.09326552351600854,0.18404406265267717,0.17016120604705634,0.09247845134495047,0.0,0.09877744051659788,0.0
782,2017-02-13,"[0.         0.07805769 0.         0.         0.07498294 0.20868648
 0.         0.09256882 0.18393053 0.1693647  0.09376236 0.
 0.09864648]",1.2790743296308815,1.0702013646380537,0.07805769262878054,0.0,0.0,0.07498293550188374,0.2086864755174739,0.0,0.09256881936411913,0.18393052817096206,0.16936470455022137,0.09376235965738401,0.0,0.09864648460917501,0.0
783,2017-02-14,"[0.         0.07706372 0.         0.         0.07336085 0.20822214
 0.         0.09244696 0.18452822 0.16986319 0.09312079 0.
 0.10139414]",1.3213228996281212,1.0879016391249778,0.07706371773068857,0.0,0.0,0.07336084877341649,0.20822213698289996,0.0,0.09244695896350003,0.18452822362221813,0.16986318799957814,0.09312078505818376,0.0,0.10139414086951491,0.0
784,2017-02-15,"[0.         0.07660542 0.         0.         0.07381433 0.20860526
 0.         0.09301358 0.18457427 0.16962668 0.09252234 0.
 0.10123811]",1.3467167761802097,1.1031320206860424,0.0766054228366075,0.0,0.0,0.07381433408855666,0.2086052618394476,0.0,0.09301357749750441,0.18457427419945574,0.16962667804696205,0.09252233656346391,0.0,0.10123811492800212,0.0
785,2017-02-16,"[0.         0.06313282 0.0632077  0.         0.07033053 0.19614593
 0.         0.08203364 0.17789936 0.14697609 0.07535757 0.
 0.12491635]",1.3451267339970367,1.1067748340174608,0.06313282389954952,0.06320770086008633,0.0,0.07033052580077376,0.1961459346289467,0.0,0.08203363693422626,0.17789936243303348,0.1469760926883444,0.07535756865532914,0.0,0.12491635409971036,0.0
786,2017-02-17,"[0.         0.06795051 0.06324695 0.         0.07425121 0.19497866
 0.         0.08078382 0.1762797  0.14417607 0.08045092 0.
 0.11788216]",1.3442762269837274,1.110210521687676,0.06795050611205437,0.06324695396037118,0.0,0.07425121223552371,0.19497865587886898,0.0,0.08078381939909375,0.1762797033680515,0.1441760674275218,0.08045091849058593,0.0,0.1178821631279287,0.0
787,2017-02-21,"[0.         0.07487209 0.         0.         0.08131585 0.20760836
 0.         0.08482842 0.1871148  0.15278196 0.09068363 0.
 0.12079488]",1.3319865525021979,1.1034987731858206,0.07487209488769511,0.0,0.0,0.0813158492902065,0.20760836378239914,0.0,0.08482842164551532,0.18711480281958262,0.15278195896821037,0.09068362620614806,0.0,0.12079488240024289,0.0
