,Date,Weights,Profit,Base Profit,HDSN,KAMN,WLFC,LAWS,GGG,ITT,FLS,IEX,SPAR,OSK,F,PCAR,cash
1136,2018-07-11,"[0.         0.         0.09626612 0.10040836 0.16886954 0.12379876
 0.         0.07799409 0.21193662 0.12830853 0.         0.
 0.09241797]",1.5678655490532245,1.3660224911430352,0.0,0.09626612261987692,0.10040835910800888,0.1688695408666991,0.12379876173416665,0.0,0.07799409116997576,0.211936616326014,0.12830853478942003,0.0,0.0,0.0924179733858386,0.0
1137,2018-07-12,"[0.         0.         0.0965836  0.09999842 0.16893076 0.12303868
 0.         0.07895103 0.21228336 0.12751243 0.         0.
 0.09270172]",1.549416556487211,1.3540387748703517,0.0,0.09658359900231846,0.09999841652393919,0.16893076101431592,0.12303868446933296,0.0,0.07895103141337854,0.21228335940777424,0.12751243045044885,0.0,0.0,0.09270171771849196,0.0
1138,2018-07-13,"[0.         0.         0.09705227 0.09878329 0.16937664 0.12173414
 0.         0.07954352 0.21310666 0.12781533 0.         0.
 0.09258816]",1.5509172463935537,1.352234395105225,0.0,0.09705226848647719,0.09878328981399617,0.1693766410916744,0.1217341372315478,0.0,0.07954351534583999,0.21310665693423944,0.12781533496370998,0.0,0.0,0.09258815613251507,0.0
1139,2018-07-16,"[0.         0.         0.09682275 0.09929927 0.16943487 0.12215658
 0.         0.07905399 0.21277247 0.12797288 0.         0.
 0.09248719]",1.5496527925092558,1.3523863055301821,0.0,0.09682275162833401,0.0992992714047631,0.16943486843329283,0.12215657741737804,0.0,0.07905398771783578,0.21277246663295896,0.1279728838914665,0.0,0.0,0.09248719287397071,0.0
1140,2018-07-17,"[0.         0.         0.09667798 0.09969456 0.16926051 0.12273074
 0.         0.07874915 0.21242442 0.12802019 0.         0.
 0.09244245]",1.5655673613735024,1.3633058112698244,0.0,0.09667797531752781,0.09969455872810015,0.16926051411487789,0.1227307357586781,0.0,0.07874915422086362,0.2124244228415682,0.1280201857520952,0.0,0.0,0.09244245326628908,0.0
1141,2018-07-18,"[0.         0.         0.09680626 0.09936212 0.16955672 0.12213062
 0.         0.07893919 0.21265632 0.12818485 0.         0.
 0.09236393]",1.553426308722854,1.352942278473332,0.0,0.09680625529050008,0.09936211508144979,0.16955671874885692,0.12213061982641306,0.0,0.07893918937648788,0.2126563217726352,0.1281848539213894,0.0,0.0,0.09236392598226768,0.0
1142,2018-07-19,"[0.         0.         0.096851   0.09934991 0.169398   0.12233424
 0.         0.0789802  0.21263358 0.12802753 0.         0.
 0.09242553]",1.5584097990917802,1.3561266867035455,0.0,0.09685100387828217,0.0993499144037992,0.16939800451780382,0.12233423832193778,0.0,0.0789802014051151,0.2126335758355429,0.12802753092469513,0.0,0.0,0.09242553071282386,0.0
1143,2018-07-20,"[0.         0.         0.09674498 0.09945855 0.1695505  0.12239007
 0.         0.0787178  0.21251404 0.12835886 0.         0.
 0.09226519]",1.5682260048288974,1.364468249112754,0.0,0.09674498401591626,0.0994585512678512,0.1695504999795096,0.12239007495286743,0.0,0.07871780305175076,0.21251403783767062,0.1283588614650485,0.0,0.0,0.09226518742938565,0.0
1144,2018-07-23,"[0.         0.         0.09676526 0.09904816 0.16941663 0.12275458
 0.         0.07838758 0.21250969 0.12910413 0.         0.
 0.09201396]",1.5739063027114426,1.3621916889028782,0.0,0.09676526270196324,0.09904816246538134,0.1694166278375212,0.12275457818631348,0.0,0.0783875799920786,0.21250969318488092,0.12910413218909736,0.0,0.0,0.09201396344276391,0.0
1145,2018-07-24,"[0.         0.         0.09667789 0.09934218 0.16954945 0.12287116
 0.         0.07806444 0.21231743 0.1292155  0.         0.
 0.09196196]",1.569453611904648,1.3617262684784448,0.0,0.09667789031983261,0.09934217918434246,0.16954945126257104,0.12287115712841165,0.0,0.07806443624673381,0.21231743047728682,0.12921549774793334,0.0,0.0,0.09196195763288838,0.0
1146,2018-07-25,"[0.         0.         0.0967747  0.09887944 0.16979198 0.12224518
 0.         0.07847556 0.2125469  0.12939639 0.         0.
 0.09188985]",1.5682892911254118,1.3590405593115356,0.0,0.09677469950982379,0.09887943500094153,0.16979198375979856,0.12224518140259365,0.0,0.07847555688606465,0.2125469006832785,0.12939639318900995,0.0,0.0,0.09188984956848939,0.0
1147,2018-07-26,"[0.         0.         0.09674918 0.09886893 0.16967654 0.12251676
 0.         0.07844083 0.21243678 0.12942742 0.         0.
 0.09188357]",1.5571850542913372,1.3457035059678968,0.0,0.09674918373453834,0.09886892514018612,0.1696765366139448,0.12251675521946252,0.0,0.07844082556465372,0.21243678164362972,0.12942742204048,0.0,0.0,0.09188357004310489,0.0
1148,2018-07-27,"[0.         0.         0.09692633 0.09875431 0.1697477  0.12219146
 0.         0.07896013 0.2125227  0.12881017 0.         0.
 0.0920872 ]",1.5777703213634455,1.353904398122302,0.0,0.0969263308433324,0.09875431080006404,0.16974769585965516,0.1221914583959735,0.0,0.07896012994647268,0.21252269918065478,0.12881017483307386,0.0,0.0,0.09208720014077357,0.0
1149,2018-07-30,"[0.         0.         0.09644411 0.09954738 0.16847033 0.1239353
 0.         0.07897038 0.21203635 0.12839442 0.         0.
 0.09220173]",1.6270924247434333,1.3843811966953037,0.0,0.09644411379803228,0.09954738259481061,0.1684703276233957,0.12393530176922835,0.0,0.07897037757732618,0.21203634893942377,0.12839441595488463,0.0,0.0,0.09220173174289847,0.0
1150,2018-07-31,"[0.         0.         0.0963692  0.0997219  0.16793391 0.12457297
 0.         0.07913733 0.21182139 0.12811098 0.         0.
 0.09233232]",1.6087794301559555,1.3718517805614119,0.0,0.09636920303157734,0.09972189926911654,0.16793390881521664,0.12457297290199561,0.0,0.07913732545553231,0.2118213945957864,0.12811097949543307,0.0,0.0,0.09233231643534204,0.0
1151,2018-08-01,"[0.         0.         0.09666538 0.099371   0.16792215 0.12399708
 0.         0.07969763 0.2122154  0.12755848 0.         0.
 0.09257289]",1.6054300817990255,1.3708305167492818,0.0,0.0966653817048815,0.09937099533461713,0.16792214567545216,0.12399707681420707,0.0,0.07969762550976303,0.21221540035315375,0.12755848051850913,0.0,0.0,0.09257289408941621,0.0
1152,2018-08-02,"[0.         0.         0.09648741 0.10004005 0.1674698  0.12490549
 0.         0.07938365 0.21186281 0.12714031 0.         0.
 0.09271048]",1.6254003948944202,1.3853398096798564,0.0,0.09648741127744101,0.10004005058034648,0.16746979774117463,0.1249054882971055,0.0,0.07938364786290171,0.21186281491925343,0.12714030695494385,0.0,0.0,0.09271048236683335,0.0
