,Date,Weights,Profit,Base Profit,Volume,TTNP,NBIX,BCRX,TECH,JKHY,STRM,UIS,EBIX,FMC,OLN,BCPC,GRA,cash
1307,2019-03-18,"[0.         0.14285714 0.14285714 0.         0.         0.
 0.14285714 0.14285714 0.         0.14285714 0.14285714 0.
 0.14285714]",1.4217086027184378,1.8833118139913392,0.022511792009500993,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0
1308,2019-03-19,"[0.         0.14285714 0.14285714 0.         0.         0.
 0.14285714 0.14285714 0.         0.14285714 0.14285714 0.
 0.14285714]",1.4218598096768806,1.8999938141762107,0.01787943581140249,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0
1309,2019-03-20,"[0.         0.14285714 0.14285714 0.         0.         0.
 0.14285714 0.14285714 0.         0.14285714 0.14285714 0.
 0.14285714]",1.4325128800953089,1.915105876070008,0.006639926227316703,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0
1310,2019-03-21,"[0.         0.14285714 0.14285714 0.         0.         0.
 0.14285714 0.14285714 0.         0.14285714 0.14285714 0.
 0.14285714]",1.4264688210285623,1.9222610738861365,0.009526488387445636,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0
1311,2019-03-22,"[0.         0.14285714 0.14285714 0.         0.         0.
 0.14285714 0.14285714 0.         0.14285714 0.14285714 0.
 0.14285714]",1.4296759162870905,1.8991935159026518,0.023034041869456363,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0
1312,2019-03-25,"[0.         0.14285714 0.14285714 0.         0.         0.
 0.14285714 0.14285714 0.         0.14285714 0.14285714 0.
 0.14285714]",1.4392761536258507,1.935928885674709,0.03839385164868233,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0
1313,2019-03-26,"[0.         0.14285714 0.14285714 0.         0.         0.
 0.14285714 0.14285714 0.         0.14285714 0.14285714 0.
 0.14285714]",1.402797942621462,1.8519428419544999,0.021813414287301183,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0
1314,2019-03-27,"[0.         0.14285714 0.14285714 0.         0.         0.
 0.14285714 0.14285714 0.         0.14285714 0.14285714 0.
 0.14285714]",1.3952216751405735,1.8767555508051026,0.03042470335459903,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0
1315,2019-03-28,"[0.         0.14285714 0.14285714 0.         0.         0.
 0.14285714 0.14285714 0.         0.14285714 0.14285714 0.
 0.14285714]",1.4087362399485708,1.8891890105048927,0.01851458926917417,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0
1316,2019-03-29,"[0.         0.14285714 0.14285714 0.         0.         0.
 0.14285714 0.14285714 0.         0.14285714 0.14285714 0.
 0.14285714]",1.3899064472211689,1.8734070096108426,0.02448751321160823,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0
