,Date,Weights,Profit,Base Profit,Volume,C,JPM,TCF,UMBF,MTH,BZH,PHM,NVR,ENSV,RES,CLB,HLX,cash
29,2014-02-18,[0.1 0.1 0.  0.1 0.1 0.1 0.  0.  0.1 0.1 0.1 0.1 0.1],1.026545374452476,1.0087003317757581,0.011917833313336434,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1
30,2014-02-19,"[0.11111111 0.11111111 0.         0.11111111 0.11111111 0.11111111
 0.         0.         0.         0.11111111 0.11111111 0.11111111
 0.11111111]",1.031042993297014,1.015910068027159,0.1921626685459898,0.11111111111111112,0.0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.0,0.0,0.0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112
31,2014-02-20,"[0.11111111 0.11111111 0.         0.11111111 0.11111111 0.11111111
 0.         0.         0.         0.11111111 0.11111111 0.11111111
 0.11111111]",1.0311880534392879,1.0126404914399336,0.005992582092502838,0.11111111111111112,0.0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.0,0.0,0.0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112
32,2014-02-21,"[0.11111111 0.11111111 0.         0.11111111 0.11111111 0.11111111
 0.         0.         0.         0.11111111 0.11111111 0.11111111
 0.11111111]",1.0307615920284319,1.0103230863135908,0.013480759846094691,0.11111111111111112,0.0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.0,0.0,0.0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112
33,2014-02-24,"[0.11111111 0.11111111 0.         0.11111111 0.11111111 0.11111111
 0.         0.         0.         0.11111111 0.11111111 0.11111111
 0.11111111]",1.031437169451567,1.0124684611583799,0.01578263461147763,0.11111111111111112,0.0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.0,0.0,0.0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112
34,2014-02-25,"[0.11111111 0.11111111 0.         0.11111111 0.11111111 0.11111111
 0.         0.         0.         0.11111111 0.11111111 0.11111111
 0.11111111]",1.0366165730315708,1.021491320690401,0.011468037197211244,0.11111111111111112,0.0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.0,0.0,0.0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112
35,2014-02-26,"[0.11111111 0.11111111 0.         0.11111111 0.11111111 0.11111111
 0.         0.         0.         0.11111111 0.11111111 0.11111111
 0.11111111]",1.048181808928431,1.0294763113555119,0.008690240020591359,0.11111111111111112,0.0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.0,0.0,0.0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112
36,2014-02-27,"[0.11111111 0.11111111 0.         0.11111111 0.11111111 0.11111111
 0.         0.         0.         0.11111111 0.11111111 0.11111111
 0.11111111]",1.040299234375863,1.0243505758626708,0.014787892616142596,0.11111111111111112,0.0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.0,0.0,0.0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112
37,2014-02-28,"[0.11111111 0.11111111 0.         0.11111111 0.11111111 0.11111111
 0.         0.         0.         0.11111111 0.11111111 0.11111111
 0.11111111]",1.044554001646991,1.0352438824497705,0.015293469475803711,0.11111111111111112,0.0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.0,0.0,0.0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112
38,2014-03-03,"[0.11111111 0.11111111 0.         0.11111111 0.11111111 0.11111111
 0.         0.         0.         0.11111111 0.11111111 0.11111111
 0.11111111]",1.045948752066944,1.0361744681148581,0.01670460116222885,0.11111111111111112,0.0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.0,0.0,0.0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112
