,Date,Weights,Profit,Base Profit,AMS,PMD,LH,DGX,WLFC,KAMN,LAWS,HDSN,JNJ,BMY,PFE,ABT,cash
661,2016-08-19,"[0.         0.         0.         0.08094136 0.13436125 0.25280046
 0.         0.         0.08314498 0.         0.11551438 0.19551719
 0.13772038]",1.329630491483042,1.2610118715903476,0.0,0.0,0.08094136032320111,0.13436124993733434,0.25280045841861615,0.0,0.0,0.08314498014060132,0.0,0.1155143805251038,0.19551719327500167,0.1377203773801416,0.0
662,2016-08-22,"[0.         0.         0.         0.07680151 0.13443582 0.25739852
 0.         0.         0.08105305 0.         0.11630322 0.2007261
 0.13328179]",1.331150313385123,1.2766111157294993,0.0,0.0,0.07680151107834533,0.13443581872191396,0.25739852070486396,0.0,0.0,0.08105304635937091,0.0,0.11630321525119142,0.2007260971804091,0.13328179070390522,0.0
663,2016-08-23,"[0.         0.         0.         0.0765423  0.13426874 0.25825188
 0.         0.         0.08057526 0.         0.11609273 0.20140266
 0.13286642]",1.3307541746559983,1.2701396238800011,0.0,0.0,0.07654229986184123,0.13426874383759482,0.258251876690207,0.0,0.0,0.08057526278251732,0.0,0.11609273218965009,0.20140266103858545,0.13286642359960407,0.0
664,2016-08-24,"[0.         0.         0.         0.07617935 0.13446408 0.25896464
 0.         0.         0.08060689 0.         0.11586359 0.20191125
 0.1320102 ]",1.3385579094765971,1.277782914766723,0.0,0.0,0.07617934781832253,0.13446408232162282,0.2589646434135813,0.0,0.0,0.08060689150189516,0.0,0.11586359263783326,0.2019112464110234,0.13201019589572152,0.0
665,2016-08-25,"[0.         0.         0.         0.07662675 0.13356693 0.25867411
 0.         0.         0.08037908 0.         0.11611196 0.20160088
 0.1330403 ]",1.3495667339010338,1.2870055298537597,0.0,0.0,0.07662674608734561,0.13356693109635706,0.25867410927343404,0.0,0.0,0.08037907516253504,0.0,0.11611195610449719,0.20160088224573314,0.1330403000300978,0.0
666,2016-08-26,"[0.         0.         0.         0.07742262 0.13295881 0.25789923
 0.         0.         0.08043995 0.         0.11616156 0.20078449
 0.13433333]",1.3254640969468416,1.2781581065185437,0.0,0.0,0.07742262250541483,0.1329588085059027,0.2578992324524282,0.0,0.0,0.08043995354198166,0.0,0.1161615641712955,0.20078448509618343,0.13433333372679387,0.0
667,2016-08-29,"[0.         0.         0.         0.07766696 0.13316182 0.25731006
 0.         0.         0.08008728 0.         0.11615236 0.20034511
 0.1352764 ]",1.3178257488167993,1.2745773077794438,0.0,0.0,0.07766696198045898,0.13316182072662408,0.2573100615436158,0.0,0.0,0.0800872846662309,0.0,0.11615236047476331,0.2003451061553981,0.13527640445290867,0.0
668,2016-08-30,"[0.         0.         0.         0.07785392 0.13298727 0.25696771
 0.         0.         0.0801446  0.         0.11628845 0.20008878
 0.13566927]",1.3059775417095945,1.269092427099681,0.0,0.0,0.07785392267683054,0.1329872686716628,0.25696770857850376,0.0,0.0,0.08014459687997741,0.0,0.1162884548373001,0.20008877902550948,0.13566926933021592,0.0
669,2016-08-31,"[0.         0.         0.         0.07809719 0.13285917 0.25674317
 0.         0.         0.08026858 0.         0.11625846 0.19983211
 0.13594132]",1.300180128515767,1.2775533333046236,0.0,0.0,0.07809719334693709,0.13285916622598937,0.25674316798592073,0.0,0.0,0.08026857723645624,0.0,0.1162584601079326,0.19983211012180682,0.13594132497495723,0.0
670,2016-09-01,"[0.         0.         0.         0.07869388 0.13279213 0.25607738
 0.         0.         0.08046193 0.         0.11618827 0.19917498
 0.13661143]",1.2993333657939616,1.2660695997463172,0.0,0.0,0.07869387901980891,0.1327921327528714,0.256077377314684,0.0,0.0,0.08046193142599184,0.0,0.11618827096843595,0.199174977672735,0.1366114308454728,0.0
