,Date,Weights,Profit,Base Profit,Volume,DGX,LH,PMD,AMS,IVAC,TRT,VECO,ASYS,UIS,EBIX,STRM,JKHY,cash
1339,2019-05-02,[0.  0.  0.  0.  0.2 0.2 0.  0.2 0.2 0.  0.2 0.  0. ],1.721438260281712,1.2385418976006985,0.7339733536902465,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0
1340,2019-05-03,[0.  0.  0.  0.  0.2 0.2 0.  0.2 0.2 0.  0.2 0.  0. ],1.7154885710767418,1.2246225172408503,0.026079234543679657,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0
1341,2019-05-06,[0.  0.  0.  0.  0.2 0.2 0.  0.2 0.2 0.  0.2 0.  0. ],1.741544336034518,1.235798442675482,0.032928037444774336,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0
1342,2019-05-07,[0.  0.  0.  0.  0.2 0.2 0.  0.2 0.2 0.  0.2 0.  0. ],1.7413338388848902,1.220170386362819,0.02732699675298778,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0
1343,2019-05-08,[0.  0.  0.  0.  0.2 0.2 0.  0.2 0.2 0.  0.2 0.  0. ],1.8228782543690167,1.2336829608420943,0.011778693293045307,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0
1344,2019-05-09,[0.  0.  0.  0.  0.2 0.2 0.  0.2 0.2 0.  0.2 0.  0. ],1.791404922696353,1.2147952104279687,0.08590527896910469,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0
1345,2019-05-10,[0.  0.  0.  0.  0.2 0.2 0.  0.2 0.2 0.  0.2 0.  0. ],1.7990064475624956,1.2197551739137675,0.02924429342687442,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0
1346,2019-05-13,[0.  0.  0.  0.  0.2 0.2 0.  0.2 0.2 0.  0.2 0.  0. ],1.7677132482890807,1.2199695096788241,0.05910508469699132,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0
1347,2019-05-14,[0.  0.  0.  0.  0.2 0.2 0.  0.2 0.2 0.  0.2 0.  0. ],1.776322089540805,1.2246378412725893,0.06925574063459332,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0
1348,2019-05-15,[0.  0.  0.  0.  0.2 0.2 0.  0.2 0.2 0.  0.2 0.  0. ],1.7628275371238098,1.2066272755486316,0.049992616813607414,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0
1349,2019-05-16,[0.  0.  0.  0.  0.2 0.2 0.  0.2 0.2 0.  0.2 0.  0. ],1.7548753696421695,1.20474128456258,0.06638685151282973,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0
