,Date,Weights,Profit,Base Profit,SCON,MSI,BKTI,VSAT,LECO,CVR,SPXC,PFIN,STRM,EBIX,UIS,JKHY,cash
1327,2019-06-04,"[0.27556867 0.         0.08833611 0.         0.         0.26502247
 0.         0.26283724 0.         0.         0.10823551 0.
 0.        ]",0.9638800783735468,1.1687661507966212,0.0,0.08833611107108164,0.0,0.0,0.26502246945979613,0.0,0.26283724340172065,0.0,0.0,0.10823550711072763,0.0,0.0,0.27556866895667387
1328,2019-06-05,"[0.27558434 0.         0.08832343 0.         0.         0.2650266
 0.         0.26283929 0.         0.         0.10822634 0.
 0.        ]",0.9842951668038663,1.184533958916226,0.0,0.0883234322439983,0.0,0.0,0.2650266019650708,0.0,0.26283928857490557,0.0,0.0,0.10822633858705054,0.0,0.0,0.2755843386289748
1329,2019-06-06,"[0.27551528 0.         0.08841248 0.         0.         0.26497703
 0.         0.2628044  0.         0.         0.10829081 0.
 0.        ]",1.004855193837211,1.20665292291583,0.0,0.08841248277334088,0.0,0.0,0.26497702995774947,0.0,0.26280439523407895,0.0,0.0,0.10829081378787574,0.0,0.0,0.2755152782469549
1330,2019-06-07,"[0.27557461 0.         0.08833372 0.         0.         0.26501972
 0.         0.26283604 0.         0.         0.10823591 0.
 0.        ]",1.0088426862183553,1.2054762134823764,0.0,0.08833372218130188,0.0,0.0,0.265019717846595,0.0,0.2628360370306673,0.0,0.0,0.10823591162029238,0.0,0.0,0.27557461132114347
1331,2019-06-10,"[0.27559351 0.         0.08831358 0.         0.         0.26503107
 0.         0.26284249 0.         0.         0.10821934 0.
 0.        ]",1.007219691982749,1.215465219620738,0.0,0.0883135831700616,0.0,0.0,0.26503106690999956,0.0,0.2628424934923946,0.0,0.0,0.10821934355424769,0.0,0.0,0.27559351287329653
1332,2019-06-11,"[0.27559728 0.         0.08831088 0.         0.         0.26503258
 0.         0.26284268 0.         0.         0.10821658 0.
 0.        ]",1.0136495623197446,1.2254468362504383,0.0,0.08831087823247395,0.0,0.0,0.26503258001653995,0.0,0.26284267678289336,0.0,0.0,0.10821658226071992,0.0,0.0,0.2755972827073729
1333,2019-06-12,"[0.27559752 0.         0.08831124 0.         0.         0.26503238
 0.         0.26284219 0.         0.         0.10821667 0.
 0.        ]",1.0252891809326956,1.2385952386564176,0.0,0.0883112380961717,0.0,0.0,0.26503238169825144,0.0,0.26284219323780394,0.0,0.0,0.10821666923169225,0.0,0.0,0.2755975177360806
1334,2019-06-13,"[0.27559823 0.         0.0883105  0.         0.         0.26503274
 0.         0.2628424  0.         0.         0.10821613 0.
 0.        ]",1.0122223067197191,1.2203453260126453,0.0,0.08831049656264738,0.0,0.0,0.26503274419460404,0.0,0.26284239943565957,0.0,0.0,0.10821613214464748,0.0,0.0,0.27559822766244163
1335,2019-06-14,"[0.2754875  0.         0.08844922 0.         0.         0.26495664
 0.         0.26278961 0.         0.         0.10831702 0.
 0.        ]",1.009942250338404,1.2255095700062764,0.0,0.08844922245006234,0.0,0.0,0.26495664479006875,0.0,0.262789614608364,0.0,0.0,0.1083170209275994,0.0,0.0,0.2754874972239055
1336,2019-06-17,"[0.27520995 0.         0.08879063 0.         0.         0.26477038
 0.         0.26266239 0.         0.         0.10856664 0.
 0.        ]",1.009509810930664,1.2287749601117823,0.0,0.08879063457881778,0.0,0.0,0.2647703835344642,0.0,0.2626623926279185,0.0,0.0,0.10856664191830162,0.0,0.0,0.2752099473404978
1337,2019-06-18,"[0.2755042  0.         0.08839891 0.         0.         0.26498292
 0.         0.26282011 0.         0.         0.10829386 0.
 0.        ]",1.0036763830701674,1.2277104424046934,0.0,0.08839890983320832,0.0,0.0,0.26498292437156096,0.0,0.2628201073014113,0.0,0.0,0.10829385512219765,0.0,0.0,0.2755042033716218
