,Date,Weights,Profit,Base Profit,ABT,JNJ,BMY,PFE,BCRX,TECH,NBIX,TTNP,JKHY,STRM,UIS,EBIX,cash
1290,2019-02-21,"[0.         0.06286465 0.14556887 0.16946147 0.         0.10731599
 0.17236031 0.12480619 0.         0.10662956 0.         0.
 0.11099296]",2.164923111641943,1.8571879392557555,0.06286464853170125,0.14556887067367952,0.16946147214942542,0.0,0.1073159932292235,0.17236030670974414,0.12480619351844792,0.0,0.10662955740235712,0.0,0.0,0.11099295778542122,0.0
1291,2019-02-22,"[0.         0.0631011  0.14482275 0.16988155 0.         0.10692526
 0.17250894 0.12484721 0.         0.10713619 0.         0.
 0.11077701]",2.1607602320845096,1.8435838601915782,0.06310109729920013,0.14482274662885583,0.16988154803855998,0.0,0.10692526267207537,0.17250893637372275,0.12484721445871046,0.0,0.1071361858721969,0.0,0.0,0.11077700865667843,0.0
1292,2019-02-25,"[0.         0.0629848  0.14523163 0.16965233 0.         0.10722369
 0.17238342 0.12453543 0.         0.10703284 0.         0.
 0.11095587]",2.1447249339341625,1.8271928557323625,0.0629847966280799,0.14523162622939348,0.1696523260923613,0.0,0.10722368838532587,0.17238342476254578,0.1245354320066573,0.0,0.10703283824953073,0.0,0.0,0.11095586764610553,0.0
1293,2019-02-26,"[0.         0.06293597 0.14521608 0.16973542 0.         0.10708617
 0.17230412 0.12482413 0.         0.10694606 0.         0.
 0.11095204]",2.1816584321733896,1.8611350146997494,0.06293597173899686,0.14521607844948264,0.16973541959595603,0.0,0.10708617271748508,0.17230412341844298,0.12482413141604566,0.0,0.10694606275346427,0.0,0.0,0.11095203991012662,0.0
1294,2019-02-27,"[0.         0.06252417 0.14606868 0.16919996 0.         0.10789162
 0.17261731 0.12385868 0.         0.10697066 0.         0.
 0.11086893]",2.1636427338343447,1.8639322391024826,0.06252416650579401,0.14606868012960594,0.16919995589453923,0.0,0.10789161803788974,0.17261730541718262,0.12385868375072208,0.0,0.1069706576280074,0.0,0.0,0.11086893263625892,0.0
1295,2019-02-28,"[0.         0.06247998 0.14640005 0.16900491 0.         0.10814333
 0.17267526 0.12351334 0.         0.10689118 0.         0.
 0.11089195]",2.1461095668458836,1.8536242579309283,0.06247997593532295,0.14640005367107622,0.16900491213838245,0.0,0.10814333317647266,0.17267526130906094,0.12351333869868679,0.0,0.10689117769826134,0.0,0.0,0.11089194737273664,0.0
1296,2019-03-01,"[0.         0.06246965 0.14703762 0.16849245 0.         0.10830657
 0.17188476 0.12384971 0.         0.1065349  0.         0.
 0.11142435]",2.158648517396826,1.8527322559179982,0.062469647524133635,0.14703761683923533,0.16849244985899753,0.0,0.10830656936863732,0.17188475763668762,0.12384971259167026,0.0,0.10653489976590551,0.0,0.0,0.11142434641473303,0.0
1297,2019-03-04,"[0.         0.06242401 0.14703677 0.16845132 0.         0.10820704
 0.17173216 0.12401986 0.         0.10666561 0.         0.
 0.11146323]",2.178178147064887,1.8670737833412232,0.06242400876437048,0.14703677174931526,0.16845132252551115,0.0,0.10820703587701497,0.1717321585117943,0.12401986275537437,0.0,0.10666560640108817,0.0,0.0,0.11146323341553133,0.0
1298,2019-03-05,"[0.         0.         0.15705827 0.17918434 0.         0.11580577
 0.18300835 0.13142138 0.         0.11475993 0.         0.
 0.11876195]",2.1803600302153296,1.8424112343167307,0.0,0.1570582685569879,0.1791843410123726,0.0,0.11580577000408275,0.1830083546179951,0.13142137732110415,0.0,0.11475993463321142,0.0,0.0,0.11876195385424602,0.0
1299,2019-03-06,"[0.         0.         0.15677663 0.17970014 0.         0.11547032
 0.1832803  0.13146438 0.         0.11454277 0.         0.
 0.11876545]",2.169981202889367,1.8289144337627974,0.0,0.15677662608490492,0.17970014457869754,0.0,0.11547032482428177,0.18328029865012113,0.13146437743207753,0.0,0.11454277488981374,0.0,0.0,0.11876545354010337,0.0
1300,2019-03-07,"[0.         0.         0.15690892 0.17940785 0.         0.1157728
 0.18368121 0.13084286 0.         0.11494004 0.         0.
 0.11844632]",2.16271625687883,1.8141338186066271,0.0,0.1569089176273971,0.17940785474636942,0.0,0.11577280206795494,0.1836812086968019,0.13084285596742154,0.0,0.11494003749138205,0.0,0.0,0.11844632340267305,0.0
1301,2019-03-08,"[0.         0.         0.15715371 0.17907565 0.         0.11601009
 0.18329846 0.1305805  0.         0.1150355  0.         0.
 0.11884609]",2.111795251508579,1.778540237931941,0.0,0.15715371492754762,0.1790756453210739,0.0,0.11601008990050125,0.18329846081665474,0.13058049530295007,0.0,0.1150355014663402,0.0,0.0,0.11884609226493223,0.0
1302,2019-03-11,"[0.         0.         0.15758837 0.17866232 0.         0.11638221
 0.18296935 0.13013813 0.         0.11516486 0.         0.
 0.11909476]",2.086296390130634,1.7663177863175412,0.0,0.15758836663992265,0.1786623168455402,0.0,0.1163822141357666,0.1829693489640804,0.13013813480796835,0.0,0.1151648565915275,0.0,0.0,0.11909476201519431,0.0
