,Date,Weights,Profit,Base Profit,Volume,BKTI,VSAT,MSI,SCON,PHM,BZH,NVR,MTH,OLN,FMC,GRA,BCPC,cash
12,2014-01-23,"[0.08730619 0.12113284 0.0785144  0.08804256 0.         0.09291429
 0.07379425 0.10337158 0.         0.07040039 0.06786136 0.11774942
 0.09891275]",0.9911342486940286,1.0104051101579348,0.007885885623440832,0.12113284319639206,0.07851440459489822,0.08804256469011307,0.0,0.09291429072618484,0.07379424571990967,0.10337157547473907,0.0,0.07040038704872131,0.06786135584115982,0.11774942278862,0.09891274571418762,0.0873061865568161
13,2014-01-24,"[0.08734304 0.12117621 0.07857261 0.08807971 0.         0.09283786
 0.07373901 0.10338183 0.         0.07040917 0.0678303  0.11768769
 0.09894259]",0.9924927876112775,1.010263489390359,0.010985841249123777,0.12117621302604675,0.07857260853052139,0.08807970583438873,0.0,0.092837855219841,0.07373900711536407,0.10338182747364044,0.0,0.07040917128324509,0.06783030182123184,0.11768768727779388,0.0989425927400589,0.08734304457902908
14,2014-01-27,"[0.08728652 0.12112785 0.07856195 0.08813708 0.         0.09285385
 0.07374709 0.10337794 0.         0.07042911 0.06783291 0.11773781
 0.09890789]",0.9812397052905802,1.0002917055476563,0.009111997512236554,0.12112785130739212,0.07856195420026779,0.08813708275556564,0.0,0.0928538516163826,0.07374709099531174,0.10337793827056885,0.0,0.07042910903692245,0.06783290952444077,0.11773781478404999,0.09890788793563843,0.08728652447462082
15,2014-01-28,"[0.08725779 0.12117961 0.07842707 0.08835771 0.         0.09286862
 0.07380725 0.10326303 0.         0.07040822 0.06773474 0.1176425
 0.09905344]",0.9613748308615955,0.9751512568716832,0.011007707432158,0.12117961049079895,0.07842706888914108,0.08835770934820175,0.0,0.0928686186671257,0.0738072544336319,0.10326302796602249,0.0,0.07040821760892868,0.0677347406744957,0.11764249950647354,0.09905344247817993,0.08725778758525848
16,2014-01-29,"[0.08727454 0.12122899 0.07832651 0.08835445 0.         0.09292593
 0.07391275 0.10315007 0.         0.07033657 0.0676543  0.1176267
 0.09920918]",0.96488581320205,0.9685249366902676,0.012087595527759377,0.12122899293899536,0.0783265084028244,0.0883544459939003,0.0,0.09292592853307724,0.07391274720430374,0.10315006971359253,0.0,0.07033656537532806,0.06765430420637131,0.11762669682502747,0.09920918196439743,0.08727453649044037
17,2014-01-30,"[0.08728687 0.12126215 0.07821625 0.0885084  0.         0.09296883
 0.07396678 0.10306861 0.         0.0702908  0.06764308 0.11755371
 0.09923451]",0.9641712368215437,0.9733012927580372,0.011524979754304408,0.12126214802265167,0.07821624726057053,0.08850839734077454,0.0,0.09296882897615433,0.07396677881479263,0.10306861251592636,0.0,0.07029080390930176,0.06764307618141174,0.1175537109375,0.09923450648784637,0.08728687465190887
18,2014-01-31,"[0.08737896 0.12135386 0.07821681 0.08853781 0.         0.09290668
 0.07392343 0.10304454 0.         0.07028218 0.06759723 0.11742894
 0.09932958]",0.9832371910836398,0.9972003772302249,0.014513192509050702,0.1213538646697998,0.0782168060541153,0.08853781223297119,0.0,0.09290668368339539,0.07392343133687973,0.1030445396900177,0.0,0.07028217613697052,0.06759722530841827,0.11742894351482391,0.09932957589626312,0.08737896382808685
19,2014-02-03,"[0.08734044 0.12129973 0.07819649 0.08850159 0.         0.092973
 0.07396805 0.10304242 0.         0.07023218 0.06762114 0.11749929
 0.09932566]",0.9685031904720042,0.9776170550951407,0.013344180351216097,0.12129972875118256,0.07819648832082748,0.08850159496068954,0.0,0.0929730013012886,0.07396805286407471,0.10304242372512817,0.0,0.07023217529058456,0.0676211416721344,0.11749929189682007,0.09932566434144974,0.08734044432640076
20,2014-02-04,"[0.08731087 0.1212682  0.07815394 0.08852349 0.         0.09302343
 0.07401247 0.10300894 0.         0.07021362 0.06762706 0.1175502
 0.09930775]",0.9785527326130444,0.9901843535848704,0.007052342229868531,0.12126819789409637,0.07815393805503845,0.0885234922170639,0.0,0.09302342683076859,0.07401247322559357,0.1030089408159256,0.0,0.07021361589431763,0.06762706488370895,0.11755020171403885,0.09930775314569473,0.08731087297201157
21,2014-02-05,"[0.09381175 0.130283   0.08362262 0.09517597 0.         0.09969613
 0.07937076 0.11027759 0.         0.07521729 0.         0.12570712
 0.10683779]",0.9596150709449206,0.9649493493462887,0.12308260421714504,0.13028299808502197,0.08362261950969696,0.09517596662044525,0.0,0.09969612956047058,0.07937075942754745,0.11027758568525314,0.0,0.07521729171276093,0.0,0.12570711970329285,0.10683779418468475,0.0938117504119873
